,name,sector,year,quarter,Relative Return,자본총계 변화율,비유동부채 변화율,실업률 변화율,GDP 변화율,특정 증권 등 소유 증감 수 변화율,전체 주식 수 변화율,자기주식수 변화율,전체 주주 수 변화율,특정 증권 등 소유 증감 비율 변화율,Label,Code
13,Hite_Jinro,음식료·담배,2021,Q2,0.08779338705173555,-0.02043498266970678,0.03598571093470815,0.11023622047244086,-0.013438380398341998,-0.06484636931282561,-0.06484636931282561,-0.06484636931282561,-0.06484636931282561,-0.06484636931282561,-0.03759449289155107,000080
13,Daesang,음식료·담배,2021,Q2,-0.10196971261908631,-0.028827251725455305,-0.006661666580246806,0.11023622047244086,-0.013438380398341998,-0.06500111209761505,-0.06500111209761528,0.0,-0.06500111209761528,-0.0650011120976155,0.04661056287647527,001680
13,Namyang_Dairy_Products,음식료·담배,2021,Q2,-0.007955909184450848,0.019756586221216565,-0.0029630329431502567,0.11023622047244086,-0.013438380398341998,-0.06501743762489842,-0.06501743762489842,-0.06501743762489842,-0.06501743762489842,-0.06501743762489842,1.438585681109497,003920
13,Nongshim,음식료·담배,2021,Q2,-0.12214362455385658,-0.005741112004963966,0.008412995203829099,0.11023622047244086,-0.013438380398341998,-0.06498256275261238,-0.06498256275261238,-0.06498256275261238,-0.0649825627526126,-0.06498256275261238,0.045674217052751036,004370
13,Binggrae,음식료·담배,2021,Q2,-0.01284716785748937,-0.022687103955693955,-0.054670274970978205,0.11023622047244086,-0.013438380398341998,0.0,-0.06502478570723502,-0.06502478570723502,-0.0650247857072348,0.0,0.009370277913087442,005180
13,Lotte_Chilsung_Beverage,음식료·담배,2021,Q2,0.19249327094289614,-0.017900381264708276,0.17828960930118287,0.11023622047244086,-0.013438380398341998,-0.06497887791454726,-0.06497887791454748,-0.06497887791454726,-0.06497887791454726,-0.06497887791454726,0.021674735960450324,005300
13,SPC_Samlip,음식료·담배,2021,Q2,-0.05862680074169167,-0.03248329014398066,-0.10294537469370124,0.11023622047244086,-0.013438380398341998,0.0,-0.0650229724885436,-0.0650229724885436,-0.06502297248854338,0.0,0.14732517979271234,005610
13,Ottogi,음식료·담배,2021,Q2,-0.07598791185280279,-0.014906855878275893,-0.1744588094347721,0.11023622047244086,-0.013438380398341998,-0.06501307214682162,-0.06501307214682162,-0.06501307214682184,-0.06501307214682184,0.0,-0.09633606922082938,007310
13,KT&G,음식료·담배,2021,Q2,-0.08484835361987106,-0.034064511433770095,-0.02290756875982458,0.11023622047244086,-0.013438380398341998,-0.0643740889146811,-0.06437408891468133,-0.0643740889146811,-0.06437408891468088,0.0,-0.015544301258586891,033780
13,Muhak,음식료·담배,2021,Q2,-0.10735397499115004,-0.018230597521449177,-1.1001419264906245,0.11023622047244086,-0.013438380398341998,0.0,-0.06502485478705333,-0.06502485478705333,-0.06502485478705333,0.0,0.2775425223514925,033920
13,Farmsco,음식료·담배,2021,Q2,0.36735558408215657,-0.029080151696030176,-0.01809128781019753,0.11023622047244086,-0.013438380398341998,-0.06502360178552613,-0.06502360178552613,-0.06502360178552613,-0.06502360178552613,0.0,-0.04254018318404628,036580
13,Dongwon_F&B,음식료·담배,2021,Q2,0.006867114027978641,-0.014134131409135664,0.08105666139459355,0.11023622047244086,-0.013438380398341998,-0.06501526715356087,-0.06501526715356087,0.0,-0.06501526715356087,-0.06501526715356087,0.1320515649380682,049770
13,CJ_CheilJedang,음식료·담배,2021,Q2,0.008938558735432506,-0.009244955702687907,-0.004115917601388297,0.11023622047244086,-0.013438380398341998,-0.0647050376546543,-0.0647050376546543,-0.06470503765465407,-0.0647050376546543,-0.0647050376546543,0.06382342217693315,097950
13,Samyang_Foods,음식료·담배,2021,Q2,-0.12449104878679079,-0.03374784872688763,-0.021674187461683037,0.11023622047244086,-0.013438380398341998,0.0,-0.06501565192900749,-0.06501565192900749,-0.06501565192900749,0.0,0.046731096668984944,145990
