code,name,sector,year,quarter,유동자산,비유동자산,자산총계,유동부채,비유동부채,부채총계,이익잉여금,자본총계,매출액,영업이익,법인세차감전 순이익,당기순이익,당기순이익(손실),자본금,총포괄손익,파생상품자산,파생상품관련손익,파생상품부채,영업비용,이자수익,당기손익-공정가치측정금융자산,기타포괄손익-공정가치측정금융자산,이자비용,차입부채
720,Hyundai_E&C,건설,2019,Q1,"8,028,634,000,000","3,693,295,000,000","11,721,929,000,000","4,259,910,000,000","2,017,807,000,000","6,277,717,000,000","4,281,319,000,000","5,444,212,000,000",2244821000000.0,95058000000.0,139655000000.0,110907000000.0,110907000000.0,"557,273,000,000",,,,,,,,,,
47040,Daewoo_E&C,건설,2019,Q1,"5,646,709,666,230","3,501,742,406,537","9,148,452,072,767","4,808,433,963,790","2,078,435,666,763","6,886,869,630,553","-51,655,951,568","2,261,582,442,214",1933251297778.0,86336625575.0,75727767167.0,53747605410.0,53747605410.0,"2,078,113,190,000",,,,,,,,,,
51600,KEPCO_KPS,건설,2019,Q1,"696,795,583,581","614,758,403,239","1,311,553,986,820","352,187,739,299","47,936,770,656","400,124,509,955","902,809,956,251","911,429,476,865",242676637970.0,18086767613.0,21292381882.0,15872093666.0,15872093666.0,"9,000,000,000",,,,,,,,,,
97230,HHI_Heavy_Industries,건설,2019,Q1,"1,234,026,000,000","1,087,227,000,000","2,321,253,000,000","1,166,364,000,000","899,562,000,000","2,065,926,000,000","-1,740,325,000,000","255,327,000,000",309167000000.0,-29000000.0,-81369000000.0,-72155000000.0,-72155000000.0,"530,263,000,000",,,,,,,,,,
