code,name,year,quarter,sector,F_유동자산 변화율,F_비유동자산 변화율,F_자산총계 변화율,F_유동부채 변화율,F_비유동부채 변화율,F_부채총계 변화율,F_이익잉여금 변화율,F_자본총계 변화율,F_매출액 변화율,F_영업이익 변화율,F_법인세차감전 순이익 변화율,F_당기순이익(손실) 변화율,M_소비자물가지수 변화율,M_환율 변화율,M_GDP 변화율,M_금리 변화율,M_수출액 변화율,M_실업률 변화율,M_국제유가 변화율,M_주택가격 변화율,Relative Return,Label,Code
660,SK하이닉스,2025,Q2,정보기술,0.231563567784002,0.00638474949796386,0.05478899629720191,0.04191403123097848,-0.0669994432657729,-0.004222298477147057,0.0913178606490812,0.08440088063608875,0.22603358708845378,0.2492530646638189,-0.02985370637939866,-0.10336313864090474,0.0399747588653776,-0.03660744169047303,0.047557177658022365,-0.027942221169784176,0.035033265560834304,-0.15000000000000002,-0.10297221245163568,-1.603211399756379,0.09458248508869174,0.09458248508869174,000660
660,SK하이닉스,2025,Q1,정보기술,-0.0726675668388107,0.08157082369288715,0.04423620559193653,0.04771269481753748,-0.15263490902941146,-0.04766858077915925,0.1029845794233204,0.09737812245501498,-0.05799690057451379,-0.06649313206853402,0.1467991413059324,0.21322040013974797,0.03005041948296472,0.037629254856677674,-0.07669212801374647,-0.04532609924268127,-0.008673722441713383,0.2048192771084334,0.016082916368834965,0.3334745762711866,-0.030066302085341168,0.09458248508869174,000660
660,SK하이닉스,2024,Q4,정보기술,0.15608928718009119,0.07879969808073262,0.09654466426501496,0.1710324246205044,0.04532652042738894,0.10762012276807531,0.09888062756825633,0.0902410086796408,0.1441796083321003,0.1625158952314707,0.21727524620519434,0.21171329820569929,0.007965999409355273,0.032773177352413585,0.04107281147273634,-0.03637947935954711,0.022207725701269165,0.27692307692307727,-0.0655032772512838,-0.2998813358196305,0.0445844819477952,-0.030066302085341168,000660
660,SK하이닉스,2024,Q3,정보기술,0.09232457045136844,0.02785444477482013,0.04197389643660232,0.0846504412021456,-0.11181680755630952,-0.024230686680102642,0.09147430673700385,0.08382739687598484,0.08672057855736326,0.2582407687440518,0.3096333659206143,0.2981108288074521,-0.009523107015406373,-0.011538677997511404,-0.001811622634244725,-0.11983510689291532,-0.0051857654838392,-0.2696629213483147,-0.05674568795778523,-0.33225797322919326,0.08992808521243906,0.0445844819477952,000660
660,SK하이닉스,2024,Q2,정보기술,0.1924429838862669,0.004985846139632155,0.040820183541773414,0.07784301434386709,-0.05209893716712133,0.0017396777168101618,0.07474399103729734,0.06713922790504001,0.30875638193665944,0.7073417738972172,0.8467944588810083,0.8403869145759377,0.013806263618664438,0.030762850791552276,0.04194592186420354,0.02546205269366908,0.05808429975732232,-0.101010101010101,0.01979840167061564,-0.372199619805639,0.0056832299734496106,0.08992808521243906,000660
660,SK하이닉스,2024,Q1,정보기술,0.017942458530647576,0.016744415765374887,0.01697321575665689,-0.026939040398898828,0.002079855812495701,-0.010150928682304272,0.039282082296707044,0.03609357235903188,0.06867721615939582,5.606328350051807,-2.498817908099369,-2.986111238152385,-0.025808780059721648,0.006272868624748851,-0.06637393544250225,-0.12136131985833976,0.023680694141577696,0.28571428571428603,-0.008599753155233536,-0.35633748055987535,0.11877857579055068,0.0056832299734496106,000660
660,SK하이닉스,2023,Q4,정보기술,0.010451284536612926,-0.018662999470025365,-0.013233135193769674,0.04042184962622564,-0.02657288232389543,0.0005826025611705976,-0.0258656472611265,-0.02274507169260276,0.2579098194766316,-1.5668166956871927,0.609177266740204,0.478068770085432,0.03288666240551885,0.0065457565880464585,0.044348338917016505,0.00757180156657955,0.05902989272759007,0.10000000000000009,-0.03388722209400741,-0.13710863108453486,0.05821620313011781,0.11877857579055068,000660
660,SK하이닉스,2023,Q3,정보기술,0.026022572535492783,0.01333557454635792,0.015677865297970772,0.10412914957475894,0.04339359761260497,0.0671883444492627,-0.018715603110758483,-0.0169890213724585,0.35146387901434273,-0.6239092728615194,-0.5813158161396179,-0.5667068920066782,0.009601043671432219,-0.0021566395604083466,0.006400632147112617,0.11207897793263655,0.001535787938867772,-0.14634146341463417,0.106533304958502,0.038350409836065635,0.19518738408239644,0.05821620313011781,000660
660,SK하이닉스,2023,Q2,정보기술,-0.012935219960019673,-0.003138212958447406,-0.0049615609093216495,0.1580799919050766,-0.020279968690568362,0.04263118131691046,-0.03635736077997298,-0.0329557895502387,0.2885048301160691,-0.09512765199484652,0.16110563560652746,0.3169558304254947,0.0006212444636284342,0.031973087460080984,0.053659842425016535,0.0022310602386272915,0.03581912791841346,-0.14583333333333348,-0.03519218134034163,0.14383489399603877,0.2757811796600229,0.19518738408239644,000660
660,SK하이닉스,2023,Q1,정보기술,-0.009400535545107558,0.02111640788017044,0.015295222616700688,-0.1767914416013645,0.32624970959348776,0.09108039845611904,-0.027693036304970775,-0.024557408560389682,-0.18484023622613488,0.20816527764215387,-0.611503620130966,-0.7330945985904067,-0.01632782511684827,-0.06294645789640896,-0.07694351182419135,-0.12061758935426237,-0.06497623491867566,0.24675324675324695,-0.08337411073888668,0.6997748959142613,-0.04810355318546664,0.2757811796600229,000660
660,SK하이닉스,2022,Q4,정보기술,-0.3326961011389087,0.06723750747427237,-0.04225502714156815,0.11777337060469639,-0.05109215731985939,0.021018237930078287,-0.07954878391225362,-0.07248113548884094,-0.43736141237453374,-1.8185942895074783,-3.023846281112295,-3.278717069840443,0.0035026345228146294,0.01431559495807777,0.037277113088610925,0.11445954938682568,-0.08414558489005308,0.04054054054054035,-0.12070563315019511,8.140386016023307,-0.03382288162692815,-0.04810355318546664,000660
