,name,year,quarter,sector,Relative Return,당기순이익(손실) 변화율,자본총계 변화율,비유동자산 변화율,법인세차감전 순이익 변화율,이익잉여금 변화율,매출액 변화율,Label,Code
0,조선내화,2025,Q2,철강_소재,-0.26209384428896926,-1.639898241986676,-0.0049892608313463205,0.015156824167495975,-1.8498994076092634,-0.006999987047796585,-0.5670559902696128,-0.26209384428896926,000480
0,SK하이닉스,2025,Q2,정보기술,0.09458248508869174,-0.10336313864090474,0.08440088063608875,0.00638474949796386,-0.02985370637939866,0.0913178606490812,0.22603358708845378,0.09458248508869174,000660
0,영풍,2025,Q2,철강_소재,-0.10956011269972218,-1.8669436430551962,-0.03051188575476993,0.06481319128446095,-1.707125113310017,-0.030712600633499343,0.25190784859460913,-0.10956011269972218,000670
0,동국제강,2025,Q2,철강_소재,-0.20014343847310512,-0.8684414773515984,0.0020140419651593078,0.005351801833262115,-1.031926034253456,0.0019443195916934997,-0.7885867239037492,-0.20014343847310512,001230
0,세아베스틸,2025,Q2,철강_소재,0.3126950890977065,-1.0125007503927208,-0.0005959544800665517,0.008080349098471551,-1.0201716169782384,-0.0008769627335822872,-0.9581235681791289,0.3126950890977065,001430
0,고려제강,2025,Q2,철강_소재,-0.19626976164276805,-0.5676167478032788,0.006788526261388261,0.020020357396899113,-0.5554822898531817,0.009702438321269158,0.09006375600555816,-0.19626976164276805,002240
0,세아제강,2025,Q2,철강_소재,-0.38339165403071496,-1.1235078737336401,-0.0015572337917948431,0.06995323517969965,-1.0924105346987605,-0.002040982962659643,-0.7748303605168362,-0.38339165403071496,003030
0,LG,2025,Q2,정보기술,-0.17024859716539664,-0.8984607163532188,0.010720137012048436,0.012056801896195735,-0.869266112701627,0.004306836762610455,-0.7063846941450554,-0.17024859716539664,003550
0,현대제철,2025,Q2,철강_소재,0.07372108673938901,-0.5200743888968702,0.005109822968107025,-0.0075577115218720126,-0.00026716317402131207,-0.001408339838244177,0.0909222921345687,0.07372108673938901,004020
0,한솔테크닉스,2025,Q2,정보기술,-0.21125377949327379,-0.7211173092881114,0.004931205879712186,0.029692618765876366,-0.7848543364313417,0.016839536247131193,-0.15313064254116981,-0.21125377949327379,004710
0,삼광글라스,2025,Q2,철강_소재,-0.2238999553112057,7.144515811481762,0.009119155248344057,0.019479242593481993,-3.0404651722282123,0.03588575673138372,-0.03707238137497526,-0.2238999553112057,005090
0,POSCO,2025,Q2,철강_소재,-0.01164361692415003,-0.9216221259835562,-0.004938586789088206,0.007978820752085891,-0.923464213255189,-0.00298046324150536,-0.7671605670919095,-0.01164361692415003,005490
0,삼성전자,2025,Q2,정보기술,0.00743668936223188,-0.5691349429178402,-0.002145170036407351,0.008390687499748362,-0.5675419215199482,0.001299174762111166,-0.013855744798614955,0.00743668936223188,005930
0,삼성SDI,2025,Q2,정보기술,0.04787657211982857,0.6147552974982053,0.09316614518401956,0.03802243106932646,0.449373957680413,-0.05199360651468099,0.0053692316892042236,0.04787657211982857,006400
0,대덕전자,2025,Q2,정보기술,-0.22142655105588657,-0.866175769032262,-0.006803052044862756,0.0012199064097551116,-0.8354909518095512,0.03365375938424919,-0.8766348724681587,-0.22142655105588657,008060
0,삼성전기,2025,Q2,정보기술,0.05802344894411346,-1.2171555048536942,0.006978593574906711,-0.011856153772976219,-1.1901370909773743,-0.16212892214498698,0.11927666122420377,0.05802344894411346,009150
