,name,year,quarter,sector,Relative Return,비유동자산 변화율,자산총계 변화율,국제유가 변화율,자본총계 변화율,이익잉여금 변화율,매출액 변화율,Label,Code
35,CJ대한통운,2016,Q1,산업재,0.0780513723270581,0.06028900593284092,0.04040863848193399,-0.22660852268380383,0.00597502232349556,0.032836344014832264,-0.7341767301014472,0.01766947210532885,000120
35,두산,2016,Q1,산업재,0.16268228354300862,0.03659430332533109,0.05211348477622035,-0.22660852268380383,-0.04038805728976935,-0.034903971255490496,-0.7578972371749475,0.1182472760576911,000150
35,LG상사,2016,Q1,산업재,0.07532258975174104,-0.020413409224848245,-0.03296840292433578,-0.22660852268380383,-0.028466438488547796,-0.04352084646316767,-0.7926734536483475,-0.09240016577767951,001120
35,대한항공,2016,Q1,산업재,-0.016368119543064445,-0.002639121736849215,-0.024423577738561297,-0.22660852268380383,-0.05053371003631013,-0.14305065485553092,-0.7514098259914824,-0.038559668537284805,003490
35,S&T중공업,2016,Q1,산업재,-0.2561027425845893,-0.00930790429790851,-0.02924725856118504,-0.22660852268380383,-0.014553227244147426,-0.016377427727392035,-0.7941917189010732,-0.11468788997026425,003570
35,LS,2016,Q1,산업재,0.0730959190561809,-0.0001115263152693391,0.005569568280456183,-0.22660852268380383,-0.00751331996751714,-0.00867997732120751,-0.7758744803067475,0.0594178923702119,006260
35,현대중공업,2016,Q1,중공업,-0.025308210769684588,-0.010154695788428314,-0.008338894929141527,-0.22660852268380383,0.03233848141077722,0.0341930243557198,-0.7730340511325435,0.30707160652611776,009540
35,LS산전,2016,Q1,산업재,0.05913069842068881,-0.01066895557683567,0.0032515358021218965,-0.22660852268380383,-0.014628285524661111,-0.016823095427175416,-0.7806463409651488,-0.15865008329183045,010120
35,삼성중공업,2016,Q1,중공업,-0.17209840243745703,0.08733131398308314,0.06380132585300591,-0.22660852268380383,0.22263418421254122,0.009793807592386239,-0.7444840050589239,-0.05073426959654201,010140
35,현대미포조선,2016,Q1,중공업,0.07554966713593551,0.015779900219003773,-0.014935192330637448,-0.22660852268380383,0.08153123940541218,0.04238936357171008,-0.7533895998702602,0.12352861010544332,010620
35,현대상선,2016,Q1,산업재,-0.31363993851912686,-0.10220984906155228,-0.09905831761926731,-0.22660852268380383,-0.6727955852999883,0.10801932172822859,-0.7892950964613153,-0.4646852423165565,011200
35,한화테크윈,2016,Q1,중공업,0.2646872512391267,-0.17397624953465973,-0.008146952104779115,-0.22660852268380383,-0.028899895762428573,0.18881579243581714,-0.7566759046181224,0.22504868852247512,012450
35,현대엘리베이,2016,Q1,중공업,0.1041648837786755,-0.06204019317317433,-0.08193492105999345,-0.22660852268380383,-0.08836959662052801,-0.5760716529061932,-0.7622577327962473,0.016276732456174878,017800
35,한국단자,2016,Q1,산업재,-0.06174262071043478,0.005360399768115753,0.041076799278754406,-0.22660852268380383,0.01872191132728651,0.02305709167560277,-0.7336973031581204,-0.11560638996363667,025540
35,두산중공업,2016,Q1,중공업,0.12122938807857961,0.014562296978399836,-0.00033708759799799815,-0.22660852268380383,-0.017608386915235474,-0.041317404072099606,-0.8018942023944405,0.1378535400344948,034020
35,대우조선해양,2016,Q1,중공업,-0.04725479318978072,-0.035740497289369566,0.024397300491708407,-0.22660852268380383,0.4244810792885192,-0.12999257056266444,-0.7663598656739505,-0.13829224591521272,042660
35,두산인프라코어,2016,Q1,중공업,-0.017926915823201686,-0.12474900840329473,0.002694297113223554,-0.22660852268380383,0.008768633328532172,-0.0640890043319261,-0.835777937758388,0.25712058863751125,042670
35,대우인터내셔널,2016,Q1,산업재,0.1484735606121953,-0.003132644658842887,-0.003200567600170845,-0.22660852268380383,0.016995098348386417,0.02881483375599303,-0.778136475103941,-0.12234048035172608,047050
35,한국항공우주,2016,Q1,산업재,-0.022292892336223332,0.05614862766910367,-0.024613846160968622,-0.22660852268380383,-0.004807609165585869,-0.010449832363755407,-0.7662314206788284,0.18112626222878564,047810
35,한전KPS,2016,Q1,산업재,0.15254960843014143,0.021679827734130797,0.0266951875631658,-0.22660852268380383,-0.07864282855101279,-0.07955732416518269,-0.7889601986686402,-0.1052709072984652,051600
35,현대로템,2016,Q1,중공업,0.04723877900697922,0.037610934448719435,-0.062349145470290135,-0.22660852268380383,0.007072256921573095,0.018675689410943885,-0.7822795287524389,0.3009329451592211,064350
35,두산엔진,2016,Q1,중공업,0.10576935525346814,-0.00027586122067035923,0.021613108694472416,-0.22660852268380383,-0.0028289537895305195,-0.039872815960435126,-0.7618474932243297,0.22535239893459713,082740
35,현대글로비스,2016,Q1,산업재,-0.012823307087170877,0.051682393186389675,0.06765518968329953,-0.22660852268380383,0.01867406608801936,-0.02527368778522454,-0.7448537083430704,-0.15896171828104827,086280
35,한진중공업,2016,Q1,중공업,0.04918942887095594,-0.019393198949255952,0.003949438392404581,-0.22660852268380383,-0.03155650443656721,-0.3883767143369059,-0.7972441725977994,0.16926032076743514,097230
