,name,year,quarter,sector,Relative Return,비유동자산 변화율,유동부채 변화율,영업이익 변화율,국제유가 변화율,자산총계 변화율,수출액 변화율,Label,Code
34,하이트진로,2016,Q2,생활소비재,-0.21978854970262243,-0.01278768375772199,0.041116649425299245,0.06225300778873777,0.3509743792660007,0.003266126146193704,0.008471446426447704,-0.03598531033709729,000080
34,조선내화,2016,Q2,철강_소재,-0.08654563593707543,-0.0011076032109728073,0.016519942401334697,-0.233012653404286,0.3509743792660007,0.0003177779439109685,0.008471446426447704,0.05567980570589828,000480
34,영풍,2016,Q2,철강_소재,0.06880518513613608,-0.007466203490551271,-0.27019198066969696,0.22930755590233254,0.3509743792660007,-0.00892359034943635,0.008471446426447704,-0.025629221514891963,000670
34,CJ,2016,Q2,생활소비재,-0.18960116914057856,2.998635143214301e-05,-0.18165927953728633,-0.7366765580435821,0.3509743792660007,-0.00865707558108475,0.008471446426447704,-0.1523368496930036,001040
34,동국제강,2016,Q2,철강_소재,-0.005391806288754623,0.014315048798227537,-0.005943160150992055,1.4034243148426198,0.3509743792660007,0.016173916498313012,0.008471446426447704,-0.011003397168905325,001230
34,세아베스틸,2016,Q2,철강_소재,0.0023905876431774414,-0.012458936175213986,-0.2465183062971884,0.4643354617469053,0.3509743792660007,-0.01530884475595018,0.008471446426447704,-0.055046075965483075,001430
34,대상,2016,Q2,생활소비재,0.07967801911387586,0.004025403210617284,0.02067380841002886,-0.07869163330313955,0.3509743792660007,0.01787633863020832,0.008471446426447704,-0.13602207737328315,001680
34,오리온,2016,Q2,생활소비재,-0.15338178941590255,0.006360994631070316,-0.03246192746496923,-0.3052714073143963,0.3509743792660007,-0.003005362623729413,0.008471446426447704,-0.18535685414290062,001800
34,고려제강,2016,Q2,철강_소재,-0.14269111829559356,0.0014759746220831538,-0.07868678045856303,1.1361804949665308,0.3509743792660007,-0.0071924836789222235,0.008471446426447704,0.10708222189381547,002240
34,아모레G,2016,Q2,생활소비재,-0.17744728494812168,0.000231187205032235,-0.8500837054331741,-1.0098850483487791,0.3509743792660007,-0.01763522246513527,0.008471446426447704,0.025949920262107042,002790
34,세아제강,2016,Q2,철강_소재,-0.1667984971551173,0.0008251728475627829,-0.0766317943812449,-0.0511708311687642,0.3509743792660007,-0.015287989617949638,0.008471446426447704,0.2198907026207437,003030
34,남양유업,2016,Q2,생활소비재,-0.09472363552423035,-0.0030317113324968004,0.062064810213878996,2.7223651060540877,0.3509743792660007,0.011209743701231512,0.008471446426447704,0.005181239854440141,003920
34,현대제철,2016,Q2,철강_소재,-0.11226360628855261,-0.0011467623034923102,-0.04957214425179868,0.37694760627465684,0.3509743792660007,-0.0019998833399254012,0.008471446426447704,0.0024716832453822515,004020
34,농심,2016,Q2,생활소비재,-0.1780270453076065,0.008573434334518959,-0.07974602247491547,-0.8281181286527772,0.3509743792660007,-0.020960318144599865,0.008471446426447704,-0.1457451772756213,004370
34,삼광글라스,2016,Q2,철강_소재,-0.1894427391157933,-0.010838916924865827,-0.11480977992719088,-0.09319144429651427,0.3509743792660007,-0.012684919861523314,0.008471446426447704,-0.22475170242234596,005090
34,빙그레,2016,Q2,생활소비재,-0.11018559045260598,-0.02393667263633148,0.36693346247075276,5.715947888773787,0.3509743792660007,0.0472887022087245,0.008471446426447704,-0.015148782523825285,005180
34,롯데칠성,2016,Q2,생활소비재,-0.24769800863879976,-0.007538595202371434,0.21769707643337965,0.18738296545846644,0.3509743792660007,0.03263001430360912,0.008471446426447704,-0.04036610090069271,005300
34,현대그린푸드,2016,Q2,생활소비재,-0.14465697385225118,-0.03262489121738055,-0.07279045280086371,-0.27093477111252984,0.3509743792660007,-0.022239479460086642,0.008471446426447704,-0.06730279186944621,005440
34,POSCO,2016,Q2,철강_소재,0.034913861132760265,0.002368292405464656,-0.12860053227647528,0.2243886393873855,0.3509743792660007,0.00839894874140823,0.008471446426447704,0.13813744713118786,005490
34,삼립식품,2016,Q2,생활소비재,-0.2779688257670116,-0.008557721781451755,-0.015425115142594592,1.2036628476313251,0.3509743792660007,0.0048591167961151704,0.008471446426447704,-0.08257330918951808,005610
34,크라운제과,2016,Q2,생활소비재,0.0,0.005681390398843966,-0.06407885058169505,-0.05339538352747164,0.3509743792660007,-0.00838918583043935,0.008471446426447704,-0.20353549157697867,005740
34,GS리테일,2016,Q2,생활소비재,-0.1831230244588442,0.017635336191169193,-0.022692690880159905,1.3679017101505146,0.3509743792660007,0.00441318445472505,0.008471446426447704,-0.01442743672275524,007070
34,오뚜기,2016,Q2,생활소비재,-0.13600658228746648,0.005306243830301094,-0.01554391415229539,0.18633507939600613,0.3509743792660007,0.016923527960800433,0.008471446426447704,-0.17209549331982874,007310
34,무림P&P,2016,Q2,철강_소재,-0.049888667429554875,-0.012059584049779248,-0.13763605787380284,-0.5844637997638229,0.3509743792660007,-0.008390505373600421,0.008471446426447704,-0.053589572082884056,009580
34,고려아연,2016,Q2,철강_소재,-0.003854981588739842,-0.010646341966422557,-0.2982885660748087,-0.07212825209348683,0.3509743792660007,-0.002947119396096487,0.008471446426447704,-0.021792523997259818,010130
34,한국전력,2016,Q2,생활소비재,-0.07216715727288248,0.01620396328960294,-0.12752027549499512,5.530944557739515,0.3509743792660007,-0.020876361503480267,0.008471446426447704,-0.22526467783428658,015760
34,KT&G,2016,Q2,생활소비재,-0.14872587673188048,0.0074791594414069795,-0.21969892256601764,-0.014085893398914195,0.3509743792660007,-0.013740305975578737,0.008471446426447704,-0.10410088890544986,033780
