,name,year,quarter,sector,Relative Return,이익잉여금 변화율,유동부채 변화율,자본총계 변화율,금리 변화율,Label,Code
21,조선내화,2019,Q3,철강_소재,-0.03144183754940612,0.013453926118402793,0.012191296781716154,-0.0036745920607662574,-0.21649484536082508,-0.0801617267083218,000480
21,영풍,2019,Q3,철강_소재,-0.07773391307052892,0.001026945375974364,-0.16670814961406466,0.001033846607429778,-0.21649484536082508,-0.06864437869804776,000670
21,동국제강,2019,Q3,철강_소재,-0.10926373781301162,-0.04065896588193629,-0.07292720708140521,-0.012232711934238027,-0.21649484536082508,-0.23015265352589184,001230
21,세아베스틸,2019,Q3,철강_소재,-0.022017793378926218,-0.009394106420538062,-0.004775270904328943,-0.006789550468450978,-0.21649484536082508,-0.40263041274606515,001430
21,고려제강,2019,Q3,철강_소재,-0.1426712206449453,0.002726227117547886,-0.06473986643653251,0.002067590525315577,-0.21649484536082508,-0.20833910725425817,002240
21,세아제강,2019,Q3,철강_소재,-0.1571294559099436,0.004590828162763794,2.277147559881106,-0.0014465635751159667,-0.21649484536082508,-0.35538363092121505,003030
21,현대제철,2019,Q3,철강_소재,-0.23592363470412236,-0.004507150868397036,-0.07396689751446983,0.0009447696250997062,-0.21649484536082508,-0.27326187784493083,004020
21,삼광글라스,2019,Q3,철강_소재,-0.20192616725131085,-0.024821525533567534,-0.0992833316553372,-0.021753523595299473,-0.21649484536082508,0.012278646620486292,005090
21,POSCO,2019,Q3,철강_소재,-0.0369371482176359,0.007239720428508178,-0.09033189375992057,-0.0012302400398354063,-0.21649484536082508,-0.07712050684768068,005490
21,현대중공업,2019,Q3,중공업,0.09847951844903076,-0.0006264558783983798,-0.01549210892761077,-0.0009857176845046167,-0.21649484536082508,-0.1571627311565927,009540
21,무림P&P,2019,Q3,철강_소재,0.009717781359828884,0.009909477493208696,-0.20440427640053904,0.0055684609186268386,-0.21649484536082508,-0.24961119541443214,009580
21,고려아연,2019,Q3,철강_소재,-0.14105694574294525,0.02421250824795229,0.05457026412474053,0.02362079357225899,-0.21649484536082508,0.021251591094046646,010130
21,삼성중공업,2019,Q3,중공업,-0.07738286074076976,-0.26854599881736807,0.15366793260084988,-0.08786573451582713,-0.21649484536082508,-0.291525323445354,010140
21,현대미포조선,2019,Q3,중공업,0.002390528022572974,0.012015905488688583,0.04301001513495062,0.009382134815770993,-0.21649484536082508,-0.21085323187779612,010620
21,한화테크윈,2019,Q3,중공업,-0.03619378754854341,0.010742867073479268,-0.0555746272537927,0.0072779959832178776,-0.21649484536082508,-0.3082987403588092,012450
21,현대엘리베이,2019,Q3,중공업,-0.10425607166677874,0.047769969704730686,0.19250644266756933,0.01300915442213646,-0.21649484536082508,-0.1495381476043766,017800
21,두산중공업,2019,Q3,중공업,-0.05537702880235898,-0.1569984614371036,0.1595108855156997,-0.02610506511189048,-0.21649484536082508,-0.200533799474666,034020
21,대우조선해양,2019,Q3,중공업,0.06020263892931456,-0.3449530086852779,0.001295002478813423,-0.07472983412456025,-0.21649484536082508,-0.36940018108676353,042660
21,두산인프라코어,2019,Q3,중공업,-0.1328371482176359,0.0989393859992993,0.36937523578127185,0.013136076161556876,-0.21649484536082508,-0.2919342603118671,042670
21,현대로템,2019,Q3,중공업,-0.0963121482176359,-0.9477945865902585,-0.03658952249545433,-0.11678998044161126,-0.21649484536082508,-0.16266997753340431,064350
21,두산엔진,2019,Q3,중공업,0.4556289310775183,2.0181293417650137,0.06240868179189296,-0.014932762327716786,-0.21649484536082508,-0.31651613137955814,082740
21,한진중공업,2019,Q3,중공업,0.010595607079123673,0.023422965759566594,-0.06351269738703702,-0.12497001880925229,-0.21649484536082508,0.010169528639435182,097230
21,풍산,2019,Q3,철강_소재,-0.08783622014338996,-0.0038486278834268806,0.03227804705335169,0.004758352963772472,-0.21649484536082508,-0.03890384237774755,103140
21,한국철강,2019,Q3,철강_소재,-0.12556780148396757,0.08894705040002115,0.25167889696425316,0.014403644298756513,-0.21649484536082508,-0.17810207629883643,104700
