,name,year,quarter,sector,Relative Return,부채총계 변화율,유동부채 변화율,매출액 변화율,이익잉여금 변화율,Label,Code
16,조선내화,2020,Q4,철강_소재,-0.22696701323501478,0.16558394214611738,0.14252575115337418,-0.04221995992057148,-0.023192781433433396,0.14736283094853636,000480
16,영풍,2020,Q4,철강_소재,-0.04346045509788579,0.04242057119611342,0.05276175368121638,0.07584883770127449,-0.01379571577065608,0.13628434962609204,000670
16,한화,2020,Q4,에너지_화학,-0.15011646954178376,-0.13569847344353614,-0.17309235194271466,0.19345528000050716,0.007656087365969011,0.12267228860599001,000880
16,동국제강,2020,Q4,철강_소재,0.30520921549003,0.015258137268562288,0.023309314406459558,0.08616154650378816,-0.14551649761161867,1.1644862489723582,001230
16,세아베스틸,2020,Q4,철강_소재,0.35570665658451284,0.12824734291049222,0.24462071230351268,0.39454744669324926,-0.21379570140252147,1.0999714744505023,001430
16,고려제강,2020,Q4,철강_소재,0.10423418359646339,-0.027036785551366904,-0.027069215586963513,0.18038828618525748,-0.005797633506063549,0.5463577878128957,002240
16,한국쉘석유,2020,Q4,에너지_화학,-0.2269832838543183,0.28363030672721146,0.2889973768661962,0.022731861170564027,0.017834747736524825,0.11851736075752077,002960
16,세아제강,2020,Q4,철강_소재,-0.23618863397233558,-0.0965956519927279,-0.1731029823991328,-0.2427618293532705,0.007668373060043976,0.580579845566021,003030
16,태광산업,2020,Q4,에너지_화학,-0.07596549548094583,-0.023239414469248265,0.004997103888698895,-0.015659975616812205,-0.016066303209106625,0.27257535663947,003240
16,삼성정밀화학,2020,Q4,에너지_화학,-0.24115246753014588,-0.2458322698846025,-0.23095818492139164,-0.04452590530207834,0.019157601831775395,0.16011992716885942,004000
16,현대제철,2020,Q4,철강_소재,0.0759734546631314,0.0553344327484917,0.025411302795880886,0.06143872368138181,-0.02905327385710943,0.2913822074991597,004020
16,효성,2020,Q4,에너지_화학,-0.20241102860465454,-0.08173255324420647,-0.23943970265790115,0.4406990575778533,0.003880169281304857,0.2699682726809041,004800
16,삼광글라스,2020,Q4,철강_소재,-0.2156833133416598,3.2917469123662544,2.0923655256492486,-3.066383049928563,-0.533081475558923,0.09900104840634069,005090
16,POSCO,2020,Q4,철강_소재,0.010481830291593275,-0.09848071831569782,-0.09866366794402537,0.07593127678136691,0.005712711109495672,0.21377281100309467,005490
16,SK케미칼,2020,Q4,에너지_화학,-0.3461234129235028,0.06614479303209153,0.1039769379461597,0.015370555953943654,0.0047927722432381525,-0.10301953495108428,006120
16,대한유화,2020,Q4,에너지_화학,0.13896321336925743,-0.11407316075991969,-0.22516663660266667,0.1789925572302271,0.03555203350032898,-0.1810546587932857,006650
16,국도화학,2020,Q4,에너지_화학,0.046517820166389556,-0.1423691248262977,-0.09311156261820752,0.21461608204716964,0.011122452801895832,0.2559954823664784,007690
16,무림P&P,2020,Q4,철강_소재,0.3678466441585656,0.039312697091042015,0.12232857767012062,0.1029469960231606,-0.04157202778396174,0.09020125625153456,009580
16,한화케미칼,2020,Q4,에너지_화학,-0.30603407752536355,-0.03545942858372164,0.04277821427060702,0.011533268677354158,-0.0005216716487035367,-0.023538795302231835,009830
16,OCI,2020,Q4,에너지_화학,0.6155195174742902,-0.03491899970600676,0.04416204610557428,0.026204550057041365,-0.12262305131658302,-0.08237336158214913,010060
16,고려아연,2020,Q4,철강_소재,-0.19433020247902077,0.29045672975323256,0.33694423823479513,0.16486641966910898,0.022802788576414157,0.12464930818741818,010130
16,S-Oil,2020,Q4,에너지_화학,-0.00010545919522536584,-0.05069952501991393,0.024986872764909407,0.09978402985551482,0.02947973519414604,0.19124715098543463,010950
16,롯데케미칼,2020,Q4,에너지_화학,-0.11527511149870814,0.10525248312252788,0.29068847044928603,0.05737943298338144,-0.00718019023103178,-0.08086694606002906,011170
16,금호석유,2020,Q4,에너지_화학,0.33631520627344014,-0.013593539338898286,0.05336467979406434,0.21945656592918628,0.07963505446077002,0.07432866185673767,011780
16,SKC,2020,Q4,에너지_화학,0.1843173260795445,-0.17753138688920367,-0.2661139097387516,-0.044234100625165196,-0.006645483900757698,0.0,011790
16,한솔케미칼,2020,Q4,에너지_화학,0.281228904395966,0.11046894999466694,0.06570575430227565,-0.037804949820761435,0.023775813359762976,0.022636875524140513,014680
16,동원시스템즈,2020,Q4,에너지_화학,0.2506190250486827,-0.010137993654940836,0.4985318011285411,-0.0750834246781037,0.04040990789890353,-0.11077918367723082,014820
16,유니드,2020,Q4,에너지_화학,0.15584330930655402,0.011650254288571915,0.07386935557368335,-0.06026111104801657,0.005350834861782561,0.2177878537759266,014830
16,남해화학,2020,Q4,에너지_화학,-0.16711090967505055,0.15630860483911357,0.19556297992822413,-0.06116655796213166,-0.015894865522510293,0.06454391722700863,025860
16,LG화학,2020,Q4,에너지_화학,0.06149337901301097,-0.2884843310176458,-0.26746412433008526,-0.10571029955109235,-0.05964763375930726,-0.03212031700474325,051910
16,휴켐스,2020,Q4,에너지_화학,-0.299890693090354,-0.05732556668489397,-0.09493230238843486,0.10629605379330154,0.00565496441774993,-0.05868527679192422,069260
16,GS,2020,Q4,에너지_화학,-0.16121921322228178,-0.08617288748358687,-0.4411040836607134,0.0330669944683466,-0.06855842608113827,0.23203256335894148,078930
16,휴비스,2020,Q4,에너지_화학,-0.23642944339286215,-0.11684238109861056,-0.10328499751253584,0.2635357575574706,0.29187348481812236,0.27808568937601197,079980
16,후성,2020,Q4,에너지_화학,-0.13026193249190343,-0.018457667501755703,0.3044325232486127,-0.03563632537705297,-0.0033581171422456535,-0.10013185885471829,093370
