,name,year,quarter,sector,Relative Return,이익잉여금 변화율,영업이익 변화율,유동부채 변화율,법인세차감전 순이익 변화율,금리 변화율,실업률 변화율,Label,Code
30,한화,2017,Q2,에너지_화학,0.1553771826005469,0.03583184257602867,0.33188012769901487,-0.14455390787161448,0.05970011486708238,0.01678214010777368,-0.00900900900900925,-0.270728296711916,000880
30,한국쉘석유,2017,Q2,에너지_화학,-0.023805395407978984,0.07840990774454792,-0.0028144766989105507,-0.4479766461922561,-0.02611808820425021,0.01678214010777368,-0.00900900900900925,-0.12203013370833395,002960
30,태광산업,2017,Q2,에너지_화학,0.30673286741334826,0.012243803304738732,0.20253402715148394,-0.06381197716755538,-0.2672623990960836,0.01678214010777368,-0.00900900900900925,-0.07332405841228687,003240
30,삼성정밀화학,2017,Q2,에너지_화학,0.0636927617496209,0.043471101313249605,0.5226971966003249,0.6140556902369347,0.1506877390193022,0.01678214010777368,-0.00900900900900925,-0.04271150331272767,004000
30,효성,2017,Q2,에너지_화학,0.15547593611276173,0.016204556026072625,-0.07341290398194211,-0.00037369898795147627,-0.6950059464489531,0.01678214010777368,-0.00900900900900925,-0.36209392353802594,004800
30,SK케미칼,2017,Q2,에너지_화학,0.0452820539171333,-0.09284836828409038,0.21740203040571782,0.07760299016074002,-0.7912703574282282,0.01678214010777368,-0.00900900900900925,0.0512198171816961,006120
30,대한유화,2017,Q2,에너지_화학,0.03923803748690367,-0.008510378321333834,-1.1106304860149132,-0.21825840591003476,-1.081950744815723,0.01678214010777368,-0.00900900900900925,-0.12299077714426866,006650
30,국도화학,2017,Q2,에너지_화학,0.10416390212727641,0.034509838026015593,2.6191140031983666,0.09711839071031303,2.1795537425420286,0.01678214010777368,-0.00900900900900925,-0.046162078169793834,007690
30,현대중공업,2017,Q2,중공업,-0.022818533710330408,0.3761476700684656,0.07080399911240831,-0.4621478833202749,-1.5791699210578776,0.01678214010777368,-0.00900900900900925,-0.21453709277980884,009540
30,한화케미칼,2017,Q2,에너지_화학,0.16959835652788624,0.038869583942237274,-0.0026975601332194232,-0.08438996606994664,-0.5768385420064327,0.01678214010777368,-0.00900900900900925,-0.1890650109053223,009830
30,OCI,2017,Q2,에너지_화학,0.0574515231408823,0.014628815775110882,-0.1139538544380082,0.062354895926875153,-0.01604505870595796,0.01678214010777368,-0.00900900900900925,0.2743674189940729,010060
30,삼성중공업,2017,Q2,중공업,-0.053459846842630915,0.012286178287865601,1.2745073489053418,-0.0023115417509856906,0.2940799988972358,0.01678214010777368,-0.00900900900900925,0.02278246914957313,010140
30,현대미포조선,2017,Q2,중공업,0.09950869188762608,0.10851808792448936,-0.012766951399351467,0.06735241426623384,0.5212961844101258,0.01678214010777368,-0.00900900900900925,-0.18191416112003664,010620
30,S-Oil,2017,Q2,에너지_화학,0.08028063620310674,0.014765725487583259,-0.6483252512348068,-0.21569770247775788,-0.8666206470460361,0.01678214010777368,-0.00900900900900925,-0.04987968487325701,010950
30,롯데케미칼,2017,Q2,에너지_화학,0.03638178402692498,0.04400527785571362,-0.25910261874289964,-0.08946634980475698,-0.3199962623599283,0.01678214010777368,-0.00900900900900925,-0.14634797684843917,011170
30,금호석유,2017,Q2,에너지_화학,-0.05473734768954864,0.021022691060015752,-0.3101672956177052,-0.10689590640034885,-0.6128657428386629,0.01678214010777368,-0.00900900900900925,-0.09346014937835366,011780
30,SKC,2017,Q2,에너지_화학,0.2452603756268108,0.019919115062161374,0.20832365318807633,0.11637499860738365,0.09610909928054512,0.01678214010777368,-0.00900900900900925,0.028298116562120557,011790
30,한화테크윈,2017,Q2,중공업,-0.2684405808370041,-0.0036810029098141017,-0.27388818382446256,-0.14964958105191695,-0.16987204812002832,0.01678214010777368,-0.00900900900900925,-0.15761322198606276,012450
30,한솔케미칼,2017,Q2,에너지_화학,-0.13533654952092145,0.046725102480275504,-0.3285276055723674,-0.3709796134629788,-0.42475826734864897,0.01678214010777368,-0.00900900900900925,-0.10467554317277449,014680
30,동원시스템즈,2017,Q2,에너지_화학,-0.10020757514207346,0.06632220441052095,-0.07881730804226483,-0.07769453077949118,-0.8534503041316973,0.01678214010777368,-0.00900900900900925,-0.20205359791673527,014820
30,유니드,2017,Q2,에너지_화학,0.00848674192526526,0.026036443501534556,0.5291393098992438,0.004459565455048997,0.47315472863391794,0.01678214010777368,-0.00900900900900925,-0.14713300702971122,014830
30,현대엘리베이,2017,Q2,중공업,-0.23448728770631377,0.18906590919773714,0.31814205719740873,0.033743126060774786,0.24272845005807286,0.01678214010777368,-0.00900900900900925,-0.0012386623707284494,017800
30,남해화학,2017,Q2,에너지_화학,-0.1348697119444019,0.0469669668905055,0.8379260068259453,0.0956529270555686,0.6942148232119967,0.01678214010777368,-0.00900900900900925,-0.14348033349663597,025860
30,두산중공업,2017,Q2,중공업,-0.2578520606673034,-0.0038719486468579145,-0.2594870694850029,0.0026568281987060516,-1.014215949845006,0.01678214010777368,-0.00900900900900925,-0.16326812765249488,034020
30,대우조선해양,2017,Q2,중공업,0.0,-0.9738967618904489,2.0821221906027434,-0.3688638654098235,4.070984641573531,0.01678214010777368,-0.00900900900900925,0.0,042660
30,두산인프라코어,2017,Q2,중공업,-0.11239710964220126,0.031781728187633806,0.7334494168678183,0.022559450992903685,-0.7765866323748987,0.01678214010777368,-0.00900900900900925,0.0199286130108378,042670
30,LG화학,2017,Q2,에너지_화학,0.19258765328568772,0.04518569246202753,0.01311029824407206,-0.2593180257024148,0.2928478345985053,0.01678214010777368,-0.00900900900900925,0.05394589718900125,051910
