,name,year,quarter,sector,Relative Return,법인세차감전 순이익 변화율,비유동부채 변화율,영업이익 변화율,비유동자산 변화율,이익잉여금 변화율,유동자산 변화율,Label,Code
35,하이트진로,2016,Q1,생활소비재,-0.09220073570701287,-0.6738069775656848,0.07972263992679673,-0.7921962925095051,-0.002774170367094375,-0.14283658413234124,-0.0783150762203142,-0.21978854970262243,000080
35,한화,2016,Q1,에너지_화학,0.10161580128443223,1.1490404545343704,0.03968003368066508,-0.6257385034604162,0.006338157262312016,0.01998306374264991,0.03460481377233471,-0.11963789620488255,000880
35,CJ,2016,Q1,생활소비재,0.1658840593286085,-0.12975343627060276,0.0011539542745053755,-0.20218102130330573,-0.0007438857420923872,-0.0007255670168015982,0.1888697401795656,-0.18960116914057856,001040
35,대상,2016,Q1,생활소비재,0.0024987178448997033,-0.7100099332217044,0.3065040728472739,-0.7427104788660766,-0.0015953868439720909,0.017421025547783797,0.30152698028556935,0.07967801911387586,001680
35,오리온,2016,Q1,생활소비재,0.10012761001946362,-0.8567831898883268,-0.15696619219238073,-0.7491739573323553,0.0069245978447773915,-0.0486670575465713,0.04457173338870235,-0.15338178941590255,001800
35,아모레G,2016,Q1,생활소비재,0.17942190353383847,0.13555520696775814,0.015705926833479822,0.32958237574646687,-0.0031676388954510193,0.01672717769163734,0.16421494127837177,-0.17744728494812168,002790
35,한국쉘석유,2016,Q1,에너지_화학,-0.022323686526684993,-0.7635842180744784,1.097098924066211,-0.7736881033765635,-0.017185785571414036,-0.17900404422239447,0.023416568934345294,-0.08564949341191254,002960
35,태광산업,2016,Q1,에너지_화학,0.04299943315248196,-0.864635063440723,0.021836684544982443,-1.6314465465428816,-0.017607829702345423,0.0009353057370362627,0.022647573915358876,-0.06198293431178346,003240
35,남양유업,2016,Q1,생활소비재,-0.06863495201839015,-0.8603411373185472,0.08778523140518835,-0.7955220487716779,-0.048652696455431466,0.0030094677168606143,0.07231703678795376,-0.09472363552423035,003920
35,삼성정밀화학,2016,Q1,에너지_화학,-0.12318272714689013,-2.3090792492949053,-0.01423659849374359,-2.7527736872614748,-0.055910782983590535,-0.11881159969335375,-0.10437772097325348,-0.05296271180271714,004000
35,농심,2016,Q1,생활소비재,-0.005639651422808933,0.042731560974180294,0.0472818448848622,-0.7275599360154745,0.01146604662845796,0.07763551765089205,0.1084976866263403,-0.1780270453076065,004370
35,효성,2016,Q1,에너지_화학,-0.171395948153815,-0.2124263566590212,-0.061464459481702094,-0.6914149430869692,0.00169098091084674,0.05562448194294589,0.1297557911069025,0.1534777984746975,004800
35,빙그레,2016,Q1,생활소비재,-0.009581848014798968,-0.9041210160777806,0.09994805581988464,-0.9419901614504285,-0.009424675253938641,-0.8195465855092996,0.03280074914651876,-0.11018559045260598,005180
35,롯데칠성,2016,Q1,생활소비재,0.1148799477440989,-0.6702925081814122,-0.0746480990131112,-0.7286895738437257,0.01619755471999751,0.008610675607727769,-0.029525238964269285,-0.24769800863879976,005300
35,현대그린푸드,2016,Q1,생활소비재,0.015734933866686868,-0.606665168446219,0.08448443792012084,-0.6699880973106936,0.037447624114595346,0.03013673746034895,0.037917155509090916,-0.14465697385225118,005440
35,삼립식품,2016,Q1,생활소비재,0.09709641899432499,-0.8340990599049598,0.06026523736485334,-0.847272192467714,-0.008244666491319608,-0.013710955167176131,-0.0231607196714384,-0.2779688257670116,005610
35,크라운제과,2016,Q1,생활소비재,-0.06421746058080974,-0.8014394134737872,0.01793515323212791,-0.7994026433476038,-0.0007563018468796923,0.007345332191925902,0.017995455024597984,0.0,005740
35,SK케미칼,2016,Q1,에너지_화학,-0.05323899330776739,-0.90651647624325,-0.11863004751938067,-0.5592145130961783,0.0033311771354656017,0.0071270390944271345,-0.03523585373992433,-0.15460176219070887,006120
35,대한유화,2016,Q1,에너지_화학,-0.1192157813570027,-0.6925154541880818,-0.03571692433947615,-0.7146884735914154,0.002029454282282517,0.05988834564225187,0.11340292452320289,-0.05071435023551498,006650
35,GS리테일,2016,Q1,생활소비재,0.22752201212244957,-0.8648866902065884,0.00876846528346964,-0.8760426314515606,0.01692235033920375,-0.27172821821103166,0.08208852379763054,-0.1831230244588442,007070
35,오뚜기,2016,Q1,생활소비재,-0.037608809036820734,-0.6265725151837966,0.03997772476243289,-0.736795861802686,0.0028205161537535606,0.024285956279546328,0.0884884124364902,-0.13600658228746648,007310
35,국도화학,2016,Q1,에너지_화학,0.010665903373234382,-0.7772069562829917,-0.03845115759940387,-0.7981236219630494,0.051021546374992566,0.008450313512221586,0.043965490521164385,-0.1222520140915675,007690
35,한화케미칼,2016,Q1,에너지_화학,0.025901543881499196,2.3723149121662113,-0.01821187873282859,-0.6548647421653722,0.0015888564198758282,0.03931890268611005,0.20701577410142824,0.02973855793924371,009830
35,OCI,2016,Q1,에너지_화학,0.1354978076313612,-2.661457547334968,-0.26601143534485694,-1.1467997945609112,-0.028012840073528444,0.1402278348683239,0.11606953851124668,-0.21887881235146914,010060
35,S-Oil,2016,Q1,에너지_화학,-0.09629738514744546,-0.28610971282415354,0.009087541003751642,-0.3984814164314264,0.013457560591986661,0.07684092499650608,0.09787113605040365,-0.170820468687368,010950
35,롯데케미칼,2016,Q1,에너지_화학,-0.1401129923463986,-0.6803910426920597,-0.0002431081165940041,-0.7127680802329719,0.12612162110952552,0.030459303713132213,-0.12085044763047248,-0.0007790827229420955,011170
