,name,sector,year,quarter,Relative Return,자본총계변화율,비유동부채변화율,영업이익변화율,비유동자산변화율,이익잉여금변화율,Label,Code
2,Doosan_Corp,Conglomerate,2024,Q1,-0.2952707955787645,0.008458883242011161,-0.0975219364757327,3.863689758255348,-0.0016298607653995045,0.007741589103934188,0.6138203073892234,000150
2,DL_Holdings,Conglomerate,2024,Q1,0.10546200343050109,0.006124110376318659,-0.0012731499266074309,0.3961926624448424,0.00011888274699412005,0.0033493111423231747,-0.009477761175663027,000210
2,Dong-A_Socio_Holdings,Conglomerate,2024,Q1,-0.11947194177878831,-0.03313256589694191,0.005074681039576756,6.956257399214956,-0.015731279158882616,-0.04929815907515778,0.11725491209166372,000640
2,Hanwha_Corp,Conglomerate,2024,Q1,-0.030003449979552885,-0.012040339579108661,0.009656091152948965,-12.616428200756172,-0.005502610582244882,-0.018300451107621685,0.0035189770946552276,000880
2,CJ_Corp,Conglomerate,2024,Q1,-0.01199360160550969,0.01336497416393767,-0.6238143001296939,-1.5041326922124512,0.00016710716567569506,0.021317405139378076,0.33569021716063213,001040
2,LG_International,Conglomerate,2024,Q1,-0.06896005560839094,-0.03181010766914816,0.09204204142200367,1.0105086276403703,-0.05178044870379228,-0.020118772962443687,-0.1248183518385029,001120
2,Orion_Corp,Agriculture_&_Food,2024,Q1,-0.15291834786415823,0.014484603328560941,0.00921173292604116,-9.29627917868436,-0.0012711798063707036,-3.0086459456990564,-0.08621009326483335,001800
2,LG_Corp,Conglomerate,2024,Q1,-0.062107044600404754,0.012343653211819516,0.00846815041279203,-7.163610369805566,0.0006712273122987389,0.009357032896905704,-0.03005841900807404,003550
2,Namyang_Dairy_Products,Agriculture_&_Food,2024,Q1,0.1709226970894172,0.00837334357319841,0.013194016464505354,0.8746556250806425,0.013589851858126112,0.008250651204264714,-0.12477986830945334,003920
2,Hansol_Holdings,Conglomerate,2024,Q1,-0.07169333666585706,0.0022244967135992555,0.010890166341755103,-3.85998910368402,-0.027343614814478334,-0.005081014246350657,0.01002010484130516,004150
2,Nongshim,Agriculture_&_Food,2024,Q1,-0.244630825736197,-0.004565503679954341,-0.04346354167030397,-0.6686663202183576,-0.004738440974621172,-0.004628581425496048,-0.1456565141860992,004370
2,Binggrae,Agriculture_&_Food,2024,Q1,-0.12938128185890638,0.0018150858934200542,-0.21896577675845408,5.81345876094555,-0.03492000151509922,0.6367621316089003,-0.052890073156404066,005180
2,Hyundai_Green_Food,Agriculture_&_Food,2024,Q1,-0.03592170752579507,-0.012786866577686906,-0.04212032724339165,14.440054010232952,-0.01783952668693911,0.001624161929779433,0.11446475619508911,005440
2,SPC_Samlip,Agriculture_&_Food,2024,Q1,-0.15685219068200257,0.01642558140134831,0.05896422380404287,0.4812286001969397,0.011507429320074092,0.017337920060118917,-0.13093412406434807,005610
2,Crown_Confectionery,Agriculture_&_Food,2024,Q1,-0.08488925914821395,-0.00930381904021571,-0.017397446816761475,14.090421421667868,0.0004586533966759454,-0.014585971778762197,-0.00261901301711015,005740
2,LS_Corp,Conglomerate,2024,Q1,-0.18230483613055887,0.013571293888475111,0.009366829510110364,0.7741633088532334,0.02850573926002331,0.0005971759454114212,0.1722390512822818,006260
2,Ottogi,Agriculture_&_Food,2024,Q1,-0.0046956445195531216,-0.00888977482957487,0.17640659161086714,-1.3670356890793403,0.0030574552810636035,-0.009262477206215314,-0.062311919591504616,007310
2,Muhak,Agriculture_&_Food,2024,Q1,-0.16099545383847944,-0.018714030255523095,-0.8384811425237821,-0.23413857144167083,-0.23344205007226604,-0.01896808860610233,-0.10162371734431361,033920
2,SK_Holdings,Conglomerate,2024,Q1,0.11876538213628497,-0.014351133298647234,0.008949551111720133,-3.7406648736552413,0.017787923265153105,-0.023385026222556338,-0.04145197046770586,034730
2,Farmsco,Agriculture_&_Food,2024,Q1,-0.0729854045801768,0.011519737188351198,0.04270861766256917,-0.3966896049591164,0.0015900710692967612,0.016730660221247584,-0.1072241660813642,036580
2,Dongwon_F&B,Agriculture_&_Food,2024,Q1,-0.056527923591803364,-0.02223702918685233,0.022134779183868636,-1.0665710655304168,-0.006764823296287803,0.5571414093272926,-0.03118424375052602,049770
2,Halla_Holdings,Conglomerate,2024,Q1,-0.16364529293743357,-0.058538828504654195,-0.11246864708954729,-2.75318577397055,-0.0564055370282448,-0.033185575698187586,-0.0345454030749881,060980
2,GS_Holdings,Conglomerate,2024,Q1,-0.07291263364488836,-0.028352956344951163,-0.02501186126739996,-2.763721498737272,-0.0018855122259580082,-0.03959195087222622,0.1402961050998534,078930
2,Samyang_Foods,Agriculture_&_Food,2024,Q1,-0.10516351570565635,-0.04494319144233194,0.18388158323508497,-0.05245518992408993,-0.031977158411100826,-0.06444082847711452,0.11261521045333844,145990
