,name,sector,year,quarter,매출액변화율,비유동부채변화율,이익잉여금변화율,Code
7,CJ_Logistics,Trading_&_Logistics,2022,Q4,-0.004804461334060983,-0.0041307367244813875,-0.09948103097008354,000120
7,Daewoo_International,Trading_&_Logistics,2022,Q4,0.13001849061200343,-0.10698902095758545,-0.02081566649762623,047050
