,name,sector,year,quarter,매출액변화율,비유동부채변화율,이익잉여금변화율,Code
24,CJ_Logistics,Trading_&_Logistics,2018,Q3,-0.005236459958047002,0.09745488516310497,-0.10458662032611632,000120
24,Daewoo_International,Trading_&_Logistics,2018,Q3,-0.07223325458805108,0.19735320918170907,-0.014773743903981007,047050
