,name,sector,year,quarter,매출액변화율,비유동부채변화율,이익잉여금변화율,Code
6,CJ_Logistics,Trading_&_Logistics,2023,Q1,0.09172575107490033,-0.18936103094370038,-0.06652504122969449,000120
6,Daewoo_International,Trading_&_Logistics,2023,Q1,-0.08922463754530718,-0.5630030507726163,-0.005383120347427273,047050
