,name,sector,year,quarter,매출액변화율,비유동부채변화율,이익잉여금변화율,Code
11,CJ_Logistics,Trading_&_Logistics,2021,Q4,-0.07553287157585675,0.021633063865422186,-6.189275717805032e-05,000120
11,Daewoo_International,Trading_&_Logistics,2021,Q4,-0.011540739653547183,0.028054410034421884,-0.00823593028188463,047050
