,name,sector,year,quarter,매출액변화율,비유동부채변화율,이익잉여금변화율,Code
3,CJ_Logistics,Trading_&_Logistics,2023,Q4,-0.06616800715562254,0.01444855855543592,-0.04835951692287255,000120
3,Daewoo_International,Trading_&_Logistics,2023,Q4,-0.004672705361339569,0.1691960486890901,-0.014169729816216892,047050
