,name,sector,year,quarter,매출액변화율,비유동부채변화율,이익잉여금변화율,Code
20,CJ_Logistics,Trading_&_Logistics,2019,Q3,-0.007111582786023529,-0.023001297143054877,0.03841082507988558,000120
20,Daewoo_International,Trading_&_Logistics,2019,Q3,0.09938590837780936,-0.0592221731241338,-0.00888639239653588,047050
