,name,sector,year,quarter,매출액변화율,비유동부채변화율,이익잉여금변화율,자본총계변화율,영업이익변화율,Relative Return,특정 증권 등 소유 수변화율,특정 증권 등 소유 증감 수변화율,전체 주주 수변화율,기말 소유주식 수변화율,Label,Code
5,CJ_Logistics,Trading_&_Logistics,2023,Q2,-0.061911959852647414,0.02633032885934805,-0.0370200035630035,-0.0032949348494932806,-0.23102451755927245,-0.2592854945235631,0.9984853203813543,0.9994062670691227,0.0504491677647001,-0.03334900636313742,-0.09070208552509432,000120
5,Daewoo_International,Trading_&_Logistics,2023,Q2,-0.0832045726322228,-0.03178671118444831,-0.12231342365616005,-0.0537811647510551,-0.5064764862363056,-0.10834262736618488,0.6524796253504522,0.4055775971854023,-0.017954730371062988,-0.014982328925924104,0.7059462661232573,047050
