,name,sector,year,quarter,매출액변화율,비유동부채변화율,이익잉여금변화율,Code
10,CJ_Logistics,Trading_&_Logistics,2022,Q1,0.09865796587446496,-0.020243360189777793,-0.09674442852890897,000120
10,Daewoo_International,Trading_&_Logistics,2022,Q1,-0.03389466553746057,-0.32410142655320073,0.004332272951247829,047050
