,name,sector,year,quarter,Relative Return,자본총계변화율,이익잉여금변화율,비유동자산변화율,매출액변화율,영업이익변화율,Label,Code
14,Kyungbang,Materials_&_Chemicals,2021,Q1,-0.09287435685754566,-0.0038431445999105307,-0.007986112516090271,-0.02041790862235171,0.01131079518045841,0.13297432678225707,0.007599486521180948,000050
14,Hite_Jinro,Consumer_Goods_&_Retail,2021,Q1,-0.3857845769560666,0.0026038112669686253,0.009466151554164859,-0.0004980129276397349,-0.03711054583482465,-0.8679218451408715,0.08779338705173555,000080
14,Yuhan_Corporation,Healthcare,2021,Q1,-0.036603733674933026,-0.008900056699730818,-0.000984028613457033,-0.03562878745187725,0.19395761569844483,0.7098335306931465,-0.2333335103611806,000100
14,CJ_Logistics,Trading_&_Logistics,2021,Q1,-0.3247992394866537,-0.021998544000502385,-0.008265266928573434,-0.020382950821737467,0.05922559924847581,0.5167362990037098,0.026966068246699698,000120
14,Doosan_Corp,Conglomerate,2021,Q1,-0.16438860047007242,-0.021080142930058443,-0.020602580306436247,0.12165294205743815,-0.0,2.104767661041598,-0.11414267375756469,000150
14,DL_Holdings,Conglomerate,2021,Q1,-0.19171648502920763,-0.21501002569757688,-0.07629522985208492,0.07226056862978081,1.0020761368179334,0.9877566644656246,0.0,000210
14,Ildong_Pharmaceutical,Healthcare,2021,Q1,0.23848673988851743,0.001949770385688221,0.016148757339399578,-0.008317465499140031,-0.04904079596084321,-0.3544080591735881,-0.03689741006068809,000230
14,Hankook_Tire_Worldwide,Automotive_&_Parts,2021,Q1,-0.390329700358393,0.006980218283333284,0.01691200216273281,-0.00285538027465293,-2.5130985902642813,-9.152134557431804,0.2281350485201576,000240
15,Kia_Corp,Automotive_&_Parts,2021,Q1,0.05787488746684816,-0.015413577479307827,-0.0159053613132929,-0.0017332679161281561,-0.03355623750204506,-0.42010533264314653,0.2629543958395049,000270
15,Chosun_Refractories,Materials_&_Chemicals,2021,Q1,-0.1545944264772704,-0.009528814153178411,0.024829593665782634,-0.06544821361611364,-0.022494598823164624,1.8433681728839626,-0.04696082334990784,000480
14,Dong-A_Socio_Holdings,Conglomerate,2021,Q1,-0.3038862126877278,-0.031077646162066763,-0.04617200999638982,0.027557185740729517,-8.117350019625318,6.537639239890331,-0.19810136566806386,000640
14,S_hynix,Technology,2021,Q1,0.1705172376896572,-0.0033684789603904974,-0.003783213585088152,-0.056414497622612636,-0.09299234168558068,-0.3998664377251222,-0.0013142170736863273,000660
14,Youngpoong,Materials_&_Chemicals,2021,Q1,-0.11372769970983929,-0.027529836172543343,-0.027301152863509426,0.0009320363667354448,0.02289427665969901,1.3606382645264081,0.028413936089019418,000670
14,Hyundai_E&C,Construction_&_Real_Estate,2021,Q1,-0.01708878316741569,-0.019745269450818892,-0.01282270813638875,-0.019909211393017934,0.0003179696131268006,-2.751122964626614,0.09212303643780705,000720
14,Hanwha_Corp,Conglomerate,2021,Q1,-0.15387976552789134,0.01771557273031299,0.024309973372858673,-0.07100429869727298,0.37119150601161777,0.8674092355653699,0.04418485237483949,000880
14,CJ_Corp,Conglomerate,2021,Q1,-0.12989862404368988,0.004444363009906471,0.007214015153665154,0.003895211083354999,-0.09095052822996808,-1.7313009398847683,-0.05045245468937586,001040
14,LG_International,Conglomerate,2021,Q1,0.3261397276494966,-0.059497489546852744,-0.038799655451517534,-0.047606606498153514,-0.05248762266828311,2.195839891256895,0.20030177068687977,001120
14,Dongkuk_Steel,Materials_&_Chemicals,2021,Q1,0.021540430962470825,-0.018517518879397565,-0.07239056888047757,-0.0033717773290133923,-0.07049577404460172,-1.4842628027547136,0.6154245573902136,001230
14,SeAH_Besteel,Materials_&_Chemicals,2021,Q1,-0.17001411850434958,-0.03653376568477018,-0.055994828533661556,0.004170598425673355,-0.1381482981241069,9.15944071139464,0.668073614626948,001430
14,Daesang,Consumer_Goods_&_Retail,2021,Q1,-0.26669930910589,-0.012272920409030386,-0.011178549808208649,-0.006707230929147157,-0.10410747656968011,43.139845947753805,-0.10196971261908631,001680
14,SK_Networks,Consumer_Services,2021,Q1,-0.24573527235050344,-0.012000392123199921,-0.031880205436407794,0.029032643379160672,-0.023336886165972848,0.7379294131476094,0.09286496880563343,001740
14,Orion_Corp,Agriculture_&_Food,2021,Q1,-0.170773852597417,0.00734864241045452,0.17144698001206238,-0.005407977172865008,-2.8611977549904237,65.80098851307947,0.013974209359318424,001800
14,KIS_Wire,Materials_&_Chemicals,2021,Q1,0.017615554621506768,-0.006734033689602015,-0.002548515683694852,0.004937863982648061,0.06359769386635572,0.1590611401998785,0.3871646786838084,002240
