video_id,published_at,view_count
zl2nrpPxUE4,2021-02-24T23:44:59Z,2385
n0wHdTwZ12M,2021-02-24T06:08:26Z,24722
FF_R1mrIau0,2021-02-23T23:38:29Z,1683
5Mye2xkWQYQ,2021-02-23T23:37:33Z,9274
bzAuB01nymQ,2021-02-23T06:09:27Z,2318
b7fFR8v_Z_Q,2021-02-23T01:08:25Z,1325
lHasSc8kn5w,2021-02-22T23:58:28Z,2087
ZHvG2C9TWBc,2021-02-22T23:56:39Z,5905
ts5ksYBpC18,2021-02-22T01:03:16Z,1580
L3v7pGkMLW0,2021-02-21T23:53:28Z,2235
LUVW1EIrb2c,2021-02-19T06:29:09Z,2744
DFtmrFF68_8,2021-02-19T06:22:24Z,36447
TkI5OO0XYxc,2021-02-19T02:47:30Z,1307
OLqGzoaVwG0,2021-02-19T02:34:31Z,1682
P1uKmmOCRGo,2021-02-19T01:05:40Z,3553
3PiameMj9QM,2021-02-19T01:04:03Z,1344
B-kpZAQwXy4,2021-02-18T23:27:06Z,2172
wXQV4qpilMQ,2021-02-18T23:25:26Z,7741
QjAXeJiadx4,2021-02-18T08:59:10Z,13443
pymHBSOMjIk,2021-02-18T05:59:01Z,14834
eCsUwPqOeRY,2021-02-18T04:49:29Z,2609
5VRdPpcoywI,2021-02-18T02:42:17Z,1338
HNK7JKi6Ego,2021-02-18T02:39:57Z,1116
T5xDPWXnPCw,2021-02-18T01:39:20Z,1275
EYq-pCeNonE,2021-02-17T23:42:55Z,1897
EFEQb5SZ9SA,2021-02-17T23:41:04Z,10803
Odv9h-xad7o,2021-02-17T23:39:05Z,2142
zAPPMq-na8g,2021-02-17T06:45:17Z,11115
CIyJS9UGmYs,2021-02-17T01:24:53Z,5845
ZdF02u8YuvM,2021-02-17T01:23:05Z,1165
EanqPgnPlic,2021-02-16T23:32:01Z,2190
BDoD1o5EUx8,2021-02-16T23:30:11Z,6107
mM1jQXDy5d8,2021-02-16T23:27:14Z,4593
DvWc-V-uFOk,2021-02-16T06:32:50Z,40801
nz71T_ADY_Y,2021-02-16T06:31:25Z,1478
Bf_N9Rlt6-4,2021-02-16T04:57:15Z,1552
uUuqFNiudcA,2021-02-16T02:41:44Z,2077
z6BFUGZaX1w,2021-02-16T01:06:53Z,1858
pbRLleec-gQ,2021-02-15T23:48:21Z,1922
82bG-zySdTw,2021-02-15T23:45:21Z,1124
uSSPAf56b5Q,2021-02-15T23:15:42Z,2703
C3wyGNI0LSs,2021-02-15T23:10:42Z,6567
qwTUAi8arP0,2021-02-15T06:10:49Z,1779
yMqnBcLqMWo,2021-02-15T06:11:53Z,3882
bNoWr0N_RJ8,2021-02-15T01:10:55Z,2146
PzgPMzvFbi4,2021-02-15T00:09:04Z,1705
urUm8JaPduU,2021-02-15T00:08:07Z,7785
xj8o88qdljY,2021-02-10T06:46:12Z,10320
tqCML6vem8E,2021-02-10T01:11:31Z,26613
TcWUxjYmHlA,2021-02-09T23:09:06Z,1913
Wx_xix4P2P4,2021-02-09T23:07:16Z,19070
Z5ukCcAfNQ8,2021-02-09T04:45:49Z,1232
_XJjxS2H5Kk,2021-02-09T04:45:53Z,8088
dD7CjOfHcAA,2021-02-09T04:44:31Z,3249
G8stH3woUJw,2021-02-09T01:10:57Z,1599
SRY1gMNXKQg,2021-02-09T01:07:30Z,1759
H708iVDrtek,2021-02-08T23:31:15Z,26845
JjIAApQ7LM8,2021-02-08T23:32:13Z,1410
dW8tr9fTqxQ,2021-02-08T23:29:42Z,10041
fTByFjyI6wQ,2021-02-08T08:39:50Z,1168
jEeHi1nrXww,2021-02-08T06:51:20Z,4743
KdXwdRJjkOI,2021-02-08T06:50:24Z,2006
HY2-DyzobPE,2021-02-08T04:57:19Z,1255
EyN1Mm11PF8,2021-02-08T02:36:51Z,1593
yNjIs8A-TcE,2021-02-08T01:13:10Z,1145
Op8sOYORq6o,2021-02-07T23:34:28Z,1980
2SaWmeb4y-A,2021-02-07T23:33:23Z,15724
