,name,year,quarter,sector,Relative Return,실업률 변화율,GDP 변화율,총포괄손익 변화율,전체 주식 수 변화율,자본총계 변화율,특정 증권 등 소유 증감 수 변화율,영업이익 변화율,이익잉여금 변화율,매출액 변화율,Label,Code
32,Hite_Jinro,2016,Q3,음식료·담배,-0.14231013652254332,-0.08411214953271018,-0.003894683630669471,0.05057959860027539,0.0505795986002755,-0.005556238667820068,0.0505795986002755,0.08459790919232058,-0.019400058661172448,0.03002463541409872,-0.10763656400908422,000080
32,Daesang,2016,Q3,음식료·담배,-0.04917330347607171,-0.08411214953271018,-0.003894683630669471,0.05059790410211118,0.05059790410211118,-0.03265393998615407,0.05059790410211118,-0.06880401883909926,-0.05498587715038128,-0.08654341098848839,0.015756567407986602,001680
32,Namyang_Dairy_Products,2016,Q3,음식료·담배,-0.1499262220562829,-0.08411214953271018,-0.003894683630669471,0.05061649096192333,0.05061649096192311,-0.008852896448488634,0.05061649096192322,0.2689808475024904,-0.008543108875769923,0.03979114635124781,-0.04823750664161107,003920
32,Nongshim,2016,Q3,음식료·담배,-0.0590958508082576,-0.08411214953271018,-0.003894683630669471,0.050591537171897016,0.050591537171897016,-0.011303837397361738,0.050591537171897016,-2.2155567310119544,-0.011822760087215833,-0.040538698252646777,-0.2115790158471797,004370
32,Binggrae,2016,Q3,음식료·담배,-0.017183873896280684,-0.08411214953271018,-0.003894683630669471,0.05061989862279359,0.05061989862279359,-0.02531109305230217,0.0,-1.0318687306605288,-1.2952123035638423,-0.06993706269198419,-0.16966972687906717,005180
32,Lotte_Chilsung_Beverage,2016,Q3,음식료·담배,-0.008986980107381777,-0.08411214953271018,-0.003894683630669471,0.05052565752903493,0.05052565752903504,-0.01065090818784431,0.05052565752903504,-0.13336283085808542,-0.018555124496791864,-0.07508514352341855,-0.155291398154239,005300
32,SPC_Samlip,2016,Q3,음식료·담배,-0.11381416066741251,-0.08411214953271018,-0.003894683630669471,0.050619597679933515,0.05061959767993329,-0.01619459835385828,0.0,0.4663016180226891,-0.02211577162651479,0.011490910736430826,0.004848791639451337,005610
32,Ottogi,2016,Q3,음식료·담배,-0.09069299680167142,-0.08411214953271018,-0.003894683630669471,0.05060214637700844,0.05060214637700855,-0.035328869132002616,0.05060214637700844,-0.13748167236197695,-0.03866694768792689,-0.07027212192090149,-0.14535410691127332,007310
32,KT&G,2016,Q3,음식료·담배,0.23563387892147214,-0.08411214953271018,-0.003894683630669471,0.05020384059821048,0.05020384059821048,-0.035765708985097344,0.05020384059821048,-0.08223300493439889,-0.39259406030563504,-0.011164332424518086,-0.1420602992696396,033780
32,Muhak,2016,Q3,음식료·담배,-0.32048473969714647,-0.08411214953271018,-0.003894683630669471,0.050618457817896645,0.050618457817896534,-0.07823762872071915,0.0,0.15980179054835109,-0.08008946014636709,0.0740072783592427,-0.0676121137103429,033920
32,Farmsco,2016,Q3,음식료·담배,0.11412925741685062,-0.08411214953271018,-0.003894683630669471,0.0506262470551746,0.05062624705517482,-0.05274963635313168,0.05062624705517471,-0.038826853280079954,-0.08412934460294252,0.002040048188361898,-0.020263177472517775,036580
32,Dongwon_F&B,2016,Q3,음식료·담배,-0.1465658346801888,-0.08411214953271018,-0.003894683630669471,0.05061352426878318,0.05061352426878318,-0.03321475765185933,0.05061352426878318,-4.911351553852989,0.050613524268783294,-0.33344590407667996,-0.2486660517494632,049770
32,CJ_CheilJedang,2016,Q3,음식료·담배,0.11590414919174241,-0.08411214953271018,-0.003894683630669471,0.050376786026261944,0.05037678602626183,-0.023995825228603884,0.050376786026261944,-0.5749601078879303,-0.031443136148381345,-0.12472747330064782,-0.11437701481216157,097950
32,Samyang_Foods,2016,Q3,음식료·담배,-0.009802657090980108,-0.08411214953271018,-0.003894683630669471,0.05060123569402797,0.05060123569402797,-0.02614601184460419,0.0,0.05725715714464308,0.05060123569402808,-0.029667727601211613,0.026343483783825006,145990
