,name,sector,year,quarter,자본총계변화율,이익잉여금변화율,비유동부채변화율,비유동자산변화율,영업이익변화율,Relative Return,1인평균급여변화율,특정 증권 등 소유 증감 수변화율,전체 주식 수변화율,주주 수변화율,Label,Code
14,Orion_Corp,Agriculture_&_Food,2021,Q1,0.00734864241045452,0.17144698001206238,-0.025645294177804923,-0.005407977172865008,65.80098851307947,-0.170773852597417,-0.11706405402350195,0.0,0.15232993791581695,0.05477291718472077,0.013974209359318424,001800
14,Taekwang_Industrial,Industrials_&_Machinery,2021,Q1,-0.03227584912624093,-0.02651498556485654,-0.025563184027246555,-0.014678622513178752,8.920383344580488,-0.02298713418922968,0.0673093119291327,0.007451588219442029,0.3382932615886579,0.2579381508933428,0.0730426162000025,003240
15,S&T_Heavy_Industries,Industrials_&_Machinery,2021,Q1,-0.08154410321206118,-0.090339693717983,0.012003994277305474,0.04351907865216553,0.568648142350106,-0.10680298068383676,0.10399368619952476,0.0,0.5355537882939452,0.1062950421408313,0.20777340676632572,003570
14,Namyang_Dairy_Products,Agriculture_&_Food,2021,Q1,0.010517469736314511,0.010311117061419073,0.02134883209970595,0.022214058111613255,0.5368497335056015,-0.1503925587679416,0.05456260752486286,0.015352242830482421,0.18154847595474344,-0.003991595157085692,-0.007955909184450848,003920
14,Nongshim,Agriculture_&_Food,2021,Q1,0.002674479351832182,0.0026145880376763353,0.003652539005622457,-0.004364826228337115,-0.013861044495460328,-0.3078265170762418,0.13749983583576797,-0.016710692204921163,0.295574136017257,0.48035097110000957,-0.12214362455385658,004370
14,Hyosung,Industrials_&_Machinery,2021,Q1,0.0003090599714518083,0.004750984003699443,-0.011351932432649203,-0.01172138868965411,-0.7145011876245537,-0.22196053620274617,0.10578053783589814,-0.00859690236306343,0.20168516030027295,-0.07683125813494729,0.09805677717466112,004800
14,Samkwang_Glass,Industrials_&_Machinery,2021,Q1,0.01871810210411129,0.1601481813500667,0.007701631532087472,0.011606835050143371,-6.0984131238496575,-0.3651481511383822,-2.43553748742976,-0.025355051697558917,0.05722626275647358,-0.40574023467226206,-0.05793765739987658,005090
14,Binggrae,Agriculture_&_Food,2021,Q1,0.013356075448224258,0.8387682230337139,-0.09785690971745198,-0.00032687344172765975,2.072154105862144,-0.30234410735607753,0.10979975895836891,0.0,0.28202434297144174,-0.16000359013599397,-0.01284716785748937,005180
14,Hyundai_Green_Food,Agriculture_&_Food,2021,Q1,-0.07423168875810027,-0.05113421693232012,-0.19257846043024163,-0.154162455203678,-0.8089006820013811,-0.09200782216202738,-0.09506413471546526,-0.22762766506677257,-0.013808963374873695,0.20383772131529776,0.13608907996087183,005440
14,SPC_Samlip,Agriculture_&_Food,2021,Q1,-0.003388878591936484,-0.0035235836746017046,0.01855564649815089,0.010197106758911612,0.5289415994406454,-0.09214506199451636,0.1224397600780952,0.0,0.10169843705552162,0.026451622651530227,-0.05862680074169167,005610
14,Crown_Confectionery,Agriculture_&_Food,2021,Q1,-0.009614555782141654,-0.014968991811266985,-0.0037729178822523135,-0.0001585255520830664,-17.34855086884169,-0.2890617375519686,0.14110637063803544,0.0,0.24515969652641545,-0.10235416682027898,0.04250611545095148,005740
14,Ottogi,Agriculture_&_Food,2021,Q1,-0.004487570008218089,-0.004934930675029925,-0.1863370080731146,-0.002870955682753973,-0.7425709842091932,-0.25371534481427155,0.04458011912932747,-0.05416222896716105,0.18240733344686444,-0.040990730174746304,-0.07598791185280279,007310
14,Hyundai_Heavy_Industries,Industrials_&_Machinery,2021,Q1,-0.0026460640652365974,0.0006079874917795935,-0.11104697116557971,-0.0034371175777883067,1.4127748997223415,0.042207591920953635,0.043759647689081804,0.0004985419405928448,0.2186765241185442,-0.10853303599159592,0.15919939701569874,009540
14,LS_Electric,Industrials_&_Machinery,2021,Q1,0.019908755878273787,0.022236189774900827,-0.0017760444931660402,-0.04666013116591272,0.6391120288116434,-0.16738358841267958,0.10288374706931824,-0.004475519246402104,0.299496172467001,0.2487817876912125,-0.10348593712926409,010120
14,Samsung_Heavy Industries,Industrials_&_Machinery,2021,Q1,0.1066081750304898,-3.645024726220785,-0.08255005269056959,-0.0047125206407405695,-0.8158793579521804,0.06387995296427457,0.17930990073810116,0.09422587607744015,0.1582975102585349,0.20127758010052244,0.03036420012169412,010140
14,Hyundai_Mipo_Dockyard,Industrials_&_Machinery,2021,Q1,-0.011278373949034748,-0.01484695222117427,-0.07584634455637218,0.00950062721487721,1.2759731587031946,0.3348461953111881,0.057955325163753124,0.0024257439862825914,0.3310325069055743,0.27244254925521694,0.326728442639046,010620
