,name,sector,year,quarter,자본총계변화율,이익잉여금변화율,비유동자산변화율,Relative Return,전체 주식 수변화율,전체 주주 수변화율,특정 증권 등 소유 비율변화율,특정 증권 등 소유 수변화율,보유 주식 수변화율,1인평균급여변화율,Label,Code
31,Hite_Jinro,음식료·담배,2016,Q4,-0.003149333770795737,-0.010075903493099059,0.04539864215488432,-0.10763656400908422,0.0020278827705085822,-0.013051060786611668,0.00035574525773562904,0.00035574525773618415,-0.1296752050144827,0.10701991721404036,-0.072411289524463,000080
31,Youngpoong,금속,2016,Q4,-0.003938833725357638,-0.0039462044052551715,0.007239102717696233,0.04552165425256671,0.009173231494292056,0.009775990547961189,0.0,0.0,-0.28564042160778946,-0.12009488569216176,0.016255738858044173,000670
31,Hyundai_E&C,건설,2016,Q4,-0.03617309184826767,-0.011174555149588095,0.024582035243341127,0.11702963652030539,-0.02207680615009,-0.026369652766333518,0.0,-0.03578794208392755,-0.0668711282046126,0.060468912837248534,0.08024371373992047,000720
31,SeAH_Besteel,금속,2016,Q4,-0.011458986916975,-0.015248611007558699,0.004843643745099602,-0.05314324023305862,-0.022139606024203617,-0.030707842748014302,0.0,0.0,0.0838492081299127,0.08566912825484152,0.018033371813653724,001430
31,Daesang,음식료·담배,2016,Q4,-0.014699641968033639,-0.04423961762743356,-0.05000286677985821,0.015756567407986602,-0.08468537562153511,-0.08084146642594381,-0.06149278911571665,-0.06149142314969369,-0.897907567157056,-0.4904412068999362,-0.10852569279823925,001680
31,KIS_Wire,금속,2016,Q4,-0.0058655059996324255,-0.005797279844001357,-0.009361649135027239,0.0002429076201886579,0.02315739044814813,0.030240380182218196,0.07851901003026995,0.07851901003026984,-0.09335782618730182,-0.06523006836097123,0.0356018252653992,002240
31,Namyang_Dairy_Products,음식료·담배,2016,Q4,-0.017232223001516722,-0.016849454203505587,0.03123044619619475,-0.04823750664161107,-0.010000060635904529,-0.010388869478706875,0.00022569249914772271,0.00022566079388430804,-0.01648294585817034,-0.019846347236086137,0.06493197205169922,003920
31,Hyundai_Steel,금속,2016,Q4,-0.006075580076098763,-0.014277709254098214,-0.008428093167250905,0.05199754299667175,-0.013243317739538352,-0.015719244787155695,-0.024608742008321194,-0.024607253256174744,-0.3381771268613085,-0.20184156182226198,0.12902567292571532,004020
31,Nongshim,음식료·담배,2016,Q4,-0.0060661360339018255,-0.00679003193964367,-0.011920345819755651,-0.2115790158471797,-0.00949394343459753,-0.005736496968896443,-0.01455210191954981,-0.01455185630160627,-0.17484482532613965,-0.12542400810115972,0.06377842017846257,004370
31,Binggrae,음식료·담배,2016,Q4,0.004381350905932058,0.04987560642954347,0.011338339105857798,-0.16966972687906717,-0.16585303537040463,-0.15865004965113272,0.0,0.0,-0.08694624268546414,-0.09065349285660074,0.07034219953635958,005180
31,Lotte_Chilsung_Beverage,음식료·담배,2016,Q4,0.027142960925605863,0.039892473532344486,-0.0074899873225373614,-0.155291398154239,-0.0024273646755237355,-0.0068784377281434494,0.01871333905650152,0.018717542036493673,0.7254536096910227,0.11065310036739995,-0.09283410090648932,005300
31,POSCO_Holdings,금속,2016,Q4,-0.011498461190453169,-0.009765042998288509,-0.008141993694010807,0.06983644596043899,-0.012032480120324651,-0.002879307566519662,0.019574644383012707,0.007598728542751676,-0.013026352821734699,0.04823409159947989,0.13243452545351056,005490
31,SPC_Samlip,음식료·담배,2016,Q4,-0.020488702147476667,-0.056744395390283975,-0.03423376449459181,0.004848791639451337,-0.06433876636664615,-0.06572431728107153,0.0,0.0,-0.8027363872149273,-1.1760306756723593,-0.1371307896593187,005610
31,Ottogi,음식료·담배,2016,Q4,-0.024052659967940038,-0.024330755579805352,-0.06412917918282268,-0.14535410691127332,-0.026754790028113096,-0.018021751548480847,0.0,-0.027824573257482443,-0.365574975214525,-0.3835004731327474,-0.11452724421969514,007310
31,Korea_Zinc,금속,2016,Q4,-0.029897096290615766,-0.030541135191520352,-0.18154969073520877,-0.11169808336054866,-0.017978285656953696,-0.015044187216128213,-0.18035793260483324,-0.1809203303695055,-0.46022369466510926,-0.26193572869628334,-0.027567733667691278,010130
31,KT&G,음식료·담배,2016,Q4,-0.05069261936732894,-0.3948981267355227,-0.032014009805027,-0.1420602992696396,-0.07269732864262135,-0.05274883273292108,0.0,-0.2074721712888561,-0.0834468739685239,-0.25354803930481595,-0.20665111747548454,033780
