,name,sector,year,quarter,Relative Return,비유동자산변화율,매출액변화율,유동부채변화율,유동자산변화율,자본총계변화율,Label,Code
18,LG_Corporation,etc,2020,Q1,-0.030688204804200085,0.002173927450284552,-6.1473980120505045,-2.558254138123282,-0.8319551024805734,-0.029675840821208332,-0.021881703195332336,003550
18,S_Oil,Chemistry,2020,Q1,-0.12137890353980327,-0.004073434262453768,0.20464968259085903,-0.08891697591630021,0.013655630856074463,0.14059052253118964,-0.21768675367757673,010950
18,Lotte_Chemical,Chemistry,2020,Q1,-0.13178892980222445,0.0040017269259369215,-0.22201410944141142,-0.303882030927785,-0.24306692845544253,-0.0051957695363045175,0.04350277137371655,011170
18,Samsung_C&T,Distribution,2020,Q1,0.12326203543029318,0.1480845693450873,0.024026869773199344,-0.0954012399080777,-0.10318817258446056,0.1482244986679726,0.0039109850619442055,028260
18,KT&G,Food,2020,Q1,-0.1916451657575316,-0.005586050471261483,0.11578657688434701,-0.4036822835004572,-0.03223928872756465,0.043900722735950914,-0.021732097037388737,033780
18,SK_Inc,etc,2020,Q1,0.18996067365852679,-0.0030395751591605347,-1.5508507190244005,-0.07933157102661514,-1.2952663364754753,-0.05728688291089412,-0.1800121254666709,034730
18,LG_Household_&_Health_Care,Chemistry,2020,Q1,-0.11943485437417276,-0.02882077308649378,-0.03992780856696321,-0.07643514032809762,0.007322188341000291,-0.006164810782124608,0.07503458221161573,051900
18,LG_Chem,Chemistry,2020,Q1,-0.023105589391868284,-0.032958348228744105,0.023631923536644783,-0.07748137162699842,-0.09686761082792494,-0.009095923933019057,0.1320483996779664,051910
18,Celltrion,Medicine_Production,2020,Q1,0.036342230580140356,-0.026058403303498512,-0.0009761006860311561,-0.10652227873779219,-0.12459163100227033,-0.048941836296928054,0.44710173822255916,068270
18,Amorepacific,Chemistry,2020,Q1,0.3385090453931209,-0.0030455811653329334,-0.00953556631838115,0.10308368664781187,0.02067253252014223,-0.008478027610653305,0.013991401870189768,090430
18,SK_Innovation,Chemistry,2020,Q1,-0.1758920696043172,-0.017569894894978066,-4.362094745389844,0.1568185211696118,-0.494474742248318,-0.07823818542025207,-0.24003290531889665,096770
