,name,sector,year,quarter,Relative Return,영업이익변화율,비유동자산변화율,매출액변화율,비유동부채변화율,부채총계변화율,Label,Code
19,CJ_Logistics,Trading_&_Logistics,2019,Q4,0.08021112023401077,0.01769495014950473,0.0012809694310091935,-0.09560294586942941,-5.2054925304245714e-05,0.00994529417091461,-0.0017239662182092497,000120
19,Hankook_Tire_Worldwide,Automotive_&_Parts,2019,Q4,-0.15891269768636876,-0.05534092518312428,0.0004228758137866384,-0.021491689753776466,0.4237431881071866,0.3335355214771518,-0.06386201029032726,000240
20,Kia_Corp,Automotive_&_Parts,2019,Q4,0.05796669798958852,0.05773734549308529,-0.0006546673905734046,-0.06422035947441285,-0.10217286233100897,-0.10049625618601388,-0.09429983050457971,000270
19,Hyundai_E&C,Construction_&_Real_Estate,2019,Q4,-0.15159739353684196,0.2896758680012512,-0.03921586617535744,-0.1390201916364826,0.04560347477712434,0.03254164161482709,-0.16076285991038167,000720
19,SK_Networks,Consumer_Services,2019,Q4,0.11394097911121738,4.8409099583953585,0.22649421287452132,0.4180818432752349,0.09173409442457359,0.12153953987451471,-0.004118055809530674,001740
19,Nexen_Tire,Automotive_&_Parts,2019,Q4,-0.038687998665108136,0.3711018383801691,0.004609779110223644,0.060146093621527896,0.01280653872570603,0.02200622497853577,-0.05541511179408666,002350
19,Korean_Air,Automotive_&_Parts,2019,Q4,-0.18872452824854263,-0.032887197831132475,-0.011900668705179918,0.10485591339545886,0.04101090749645475,0.015103436611101029,0.1756962305054659,003490
19,SsangYong_Motor,Automotive_&_Parts,2019,Q4,-0.277547517524627,0.0996868702621776,0.06822355255776047,-0.09682924097393464,-0.03681579647309041,-0.015424235343825865,-0.3513294852658731,003620
19,SEBANG_Global_Battery,Automotive_&_Parts,2019,Q4,-0.09051471866849858,0.266305934928899,0.04003879529613241,0.02147997878064989,0.35002083872389,0.08913099255447476,-0.11428536597684084,004490
19,Hyundai_Motor,Automotive_&_Parts,2019,Q4,-0.03140047194295244,-53.119188434368326,-0.036197621535773106,-0.19920280831975412,-0.07294570740930006,-0.1449094177185084,-0.17513459473651738,005380
19,Dong-A_Tire,Automotive_&_Parts,2019,Q4,-0.05125668336494038,-0.22034041293750106,0.007842346437961223,-0.17263241596018242,0.3687322952378398,0.08292952333616477,-0.11204385980606159,007340
19,Seoyon,Automotive_&_Parts,2019,Q4,-0.23684624254899816,0.20054436454789326,0.025370856614955084,0.07703563908114353,0.4050362900436685,0.07504831299334513,-0.30292201168085775,007860
19,Seohung,Automotive_&_Parts,2019,Q4,-0.027285827262936733,-0.3808577685097003,0.006053586009644341,-0.05273887578519365,0.11717179686521129,0.07677683051640649,0.026386867718648663,008490
