,name,sector,year,quarter,비유동부채변화율,자본총계변화율,영업이익변화율,비유동자산변화율,매출액변화율,Relative Return,전체 주식 수변화율,전체 주주 수변화율,자기주식수변화율,1인평균급여변화율,Label,Code
27,Kyungbang,유통,2017,Q4,0.3759510680186986,-0.006914499972223487,-0.5369004739430936,0.008554386387983448,-0.12529910569560387,-0.1082178461538461,-0.1415470456790202,-0.14028669826600138,-0.1346407179361011,-0.36068190413001,-0.010737962588315816,000050
27,Hite_Jinro,음식료·담배,2017,Q4,0.08452672996428379,0.013233501701021555,0.5259286216095589,0.0030302297680568913,0.1441622781027092,0.1289338308026031,-0.053139090266268285,-0.08402010880767774,-0.09639156593389808,0.004305131490037639,-0.09438815270238425,000080
28,Kia_Corp,운송장비·부품,2017,Q4,-0.20295803633614184,0.027239060818046723,1.5119067884421813,-0.0009893827140705636,0.09677976547105482,-0.18026373718791058,0.009936063198852985,0.010561779046647568,-0.15496704306575593,-0.12305672515461685,0.04272115690853953,000270
28,Chosun_Refractories,비금속,2017,Q4,0.40333146511995954,0.021686761534230548,5.08741274734501,0.037501053475453516,0.3173780088069069,-0.035475371237458135,-0.43044194800582436,-0.10378632201861149,-0.0817027760692175,-0.11554406936833095,-0.014170456867492017,000480
27,LG_International,유통,2017,Q4,0.08857160672382924,0.0670723559851415,1.6586289812390946,0.03658325896205772,0.033738413134798195,-0.1342504951768488,0.046654820571768285,0.04615438083674972,0.869283809429158,-0.08427509504102582,-0.021666924336949694,001120
27,Daesang,음식료·담배,2017,Q4,0.03258289644425971,0.0170793153509059,0.6762672890457226,-0.006247545486386175,0.1495729973994836,-0.17274452930056705,0.0916091192317895,0.09834325962800117,0.0,-0.8913150225563786,0.23586837225331314,001680
27,SK_Networks,유통,2017,Q4,-988425.4845359089,-981287.2671456479,-1505745.4705142789,-929650.0880939381,-1269899.733075499,0.13602517197452235,0.0,0.0,-464943.8153806292,-1112446.2517774056,-0.08455411857717375,001740
27,Ilshin_Spinning,섬유·의류,2017,Q4,0.0009379363826336196,0.0027570378787729055,0.9872539607927754,0.005110564613561852,0.014098539264189025,-0.037063999999999944,0.0017409382714247412,0.0030232214368113297,0.7646756480944903,-0.14162581023443943,-0.05835701020736343,003200
27,Hanil_Cement,비금속,2017,Q4,0.03709779717454509,0.005684413745210892,0.3782433052052029,0.0047064637445362045,0.3044179783158534,-0.007703534883720871,-0.003895423969924705,-0.0025995390935780183,-0.1336365709076175,-0.07508401092041583,0.22750101260125938,003300
27,Ssangyong_Cement,비금속,2017,Q4,0.06887547572571517,-0.061047532705782226,-0.45000377029250305,-5.0378853013732794e-05,-0.056138260501775505,-0.20030665165728573,-0.011360557265391868,0.00870973363858285,0.9997314148820214,0.019672363844285168,0.5565807946038591,003410
28,S&T_Heavy_Industries,운송장비·부품,2017,Q4,0.17431701871485017,0.0732445088320739,-17.791374006998385,0.023768753345824067,-0.1231353478702788,-0.1986403546798029,0.05567058300898653,0.05246777076485265,0.35564408213518095,-0.14898777042339173,-0.10074169718311228,003570
27,SsangYong_Motor,운송장비·부품,2017,Q4,0.027286847451600593,0.01597084839703422,-0.4144081006420568,-0.02475443249257192,-0.002647168154669366,-0.2547674856843467,-0.0256348880782844,-0.04467695535726235,0.0,0.99540415285719,-0.008757764568513836,003620
27,Namyang_Dairy_Products,음식료·담배,2017,Q4,0.18084116939856332,-0.0008264127413166733,-4.726440073137165,-0.039206243256012296,0.05919045157517555,-0.13918979428902886,-0.009648462689814785,-0.008614164216745879,-0.06450196182445045,-0.06645136786009265,0.04533238825144399,003920
27,Shinsegae,유통,2017,Q4,0.0035230687503451374,-0.02395984507793858,-1.3160088780298285,-0.00916166567068144,-0.10877857887056641,-0.16790815584415578,-0.014813748755178713,-0.015187890162846163,0.7871843857060168,-0.3202241155057495,0.523788891631633,004170
27,Nongshim,음식료·담배,2017,Q4,0.04251798088753578,-0.0062015034877642705,0.5568154639094658,0.005549012165146805,0.04050508507010464,0.010290694485842087,0.0009885290570421645,-0.009982005384415293,-0.20922608540720078,-0.12826503394495803,0.021332008257165233,004370
27,Chokwang_Leather,섬유·의류,2017,Q4,0.062358461055114334,-0.00013255435580661334,0.5196489799188833,-0.06494207026467014,0.2341039531098884,-0.057109045045044986,-0.013089624697074864,-0.013309125410637446,-0.2853898229090899,-0.021172674025603522,0.09168791342246585,004700
27,Binggrae,음식료·담배,2017,Q4,0.29628455634469064,0.005056071239829096,1.0877371668512497,0.008048803070420663,0.3716402266828225,-0.13358669399707168,-0.17894563510900086,-0.17061080561125208,-0.17730327657908074,-0.20176712216299553,0.042684408029380345,005180
27,Lotte_Chilsung_Beverage,음식료·담배,2017,Q4,-0.10632506453339707,-0.03877999663676235,1.3451299656681173,-0.02053853853605281,0.30645669884694204,-0.22439567553732942,0.15045964309657733,0.1488587648686004,0.7831356730578256,0.24637446861784584,0.0,005300
27,Hyundai_Motor,운송장비·부품,2017,Q4,0.027441939299205798,0.007583249996618635,0.977489965776785,-0.001333767925536966,-0.007823851811280758,-0.06253718611987376,-0.02208296836554835,-0.024702936546575183,-0.3536236797078447,-0.15355971571803995,0.0327402982812494,005380
27,SPC_Samlip,음식료·담배,2017,Q4,-0.28827825767032067,-0.05139114824842106,-3.9986521870142484,0.04317309691810711,0.032156731250339576,-0.2985653774104683,-0.012882338156006146,-0.01701242125770097,-0.9744561394188411,0.9983886889516329,0.18849575388677997,005610
