,name,sector,year,quarter,영업이익변화율,비유동부채변화율,비유동자산변화율,Code
32,Doosan_Corp,Conglomerate,2016,Q3,0.9021789715628148,-0.05024879376702929,0.004659983266886991,000150
32,DL_Holdings,Conglomerate,2016,Q3,0.09446807252938172,-0.0019616425353685685,-0.003322343301099373,000210
32,Dong-A_Socio_Holdings,Conglomerate,2016,Q3,0.08711871448354458,-0.33947578993123817,-0.002670239737982083,000640
32,Hanwha_Corp,Conglomerate,2016,Q3,0.2994510955154962,0.05179550599005367,-0.0063181787942987455,000880
32,CJ_Corp,Conglomerate,2016,Q3,-0.008895097874344726,-0.007249193258550113,0.0006186861606024552,001040
32,LG_International,Conglomerate,2016,Q3,1.1556157372176994,-0.0508048093844895,0.0263766007389582,001120
32,LG_Corp,Conglomerate,2016,Q3,-0.20150399017802334,-0.027276347225909214,-0.026969752263637625,003550
32,Hansol_Holdings,Conglomerate,2016,Q3,0.38010329499499473,0.003425317004541628,-0.042781494767143435,004150
32,LS_Corp,Conglomerate,2016,Q3,-0.9619613018972768,0.3071623268141337,-0.0015907608906207127,006260
32,SK_Holdings,Conglomerate,2016,Q3,-0.5629651438572387,-0.04834124630297687,-6.01106992268452e-05,034730
32,Halla_Holdings,Conglomerate,2016,Q3,0.16773282390185884,0.12900500314672658,0.012606668496476403,060980
32,GS_Holdings,Conglomerate,2016,Q3,-0.15347400326416416,0.1456064407620833,0.0002769455594732184,078930
