,name,sector,year,quarter,영업이익변화율,비유동부채변화율,비유동자산변화율,Code
12,Doosan_Corp,Conglomerate,2021,Q3,0.32463265320774515,-0.031189862762240672,-0.0017528624222209466,000150
12,DL_Holdings,Conglomerate,2021,Q3,0.23927399922491577,0.08773736847822,0.003138432443374972,000210
12,Dong-A_Socio_Holdings,Conglomerate,2021,Q3,4.800034460419558,-0.05183279952251141,-0.09099367516834778,000640
12,Hanwha_Corp,Conglomerate,2021,Q3,0.21052096856126878,0.021760732779741887,-0.0013626407233666704,000880
12,CJ_Corp,Conglomerate,2021,Q3,-1.1887310916577118,-0.0010053258070599203,0.0010171429316341296,001040
12,LG_International,Conglomerate,2021,Q3,3.1878867644879967,0.04650335529882188,-0.0773227055196466,001120
12,LG_Corp,Conglomerate,2021,Q3,-1.0305742898017578,-0.06164604093224457,-0.01272905006349423,003550
12,Hansol_Holdings,Conglomerate,2021,Q3,-0.9495800198773685,0.02274568617361028,0.0017994113745762874,004150
12,LS_Corp,Conglomerate,2021,Q3,0.3932590942835932,0.01791869087189979,-0.09276690958248524,006260
12,SK_Holdings,Conglomerate,2021,Q3,-5.302931145727717,-0.05791785909871594,-0.027718665290909383,034730
12,Halla_Holdings,Conglomerate,2021,Q3,-0.028657392300766693,0.10011295717775215,-0.12586710600952644,060980
12,GS_Holdings,Conglomerate,2021,Q3,-0.3650803655846202,0.022971239488341788,-0.03361469407815565,078930
