,name,sector,year,quarter,영업이익변화율,비유동부채변화율,비유동자산변화율,Code
22,Doosan_Corp,Conglomerate,2019,Q1,-0.49706804449368036,0.02944075989614714,-0.007640216997817362,000150
22,DL_Holdings,Conglomerate,2019,Q1,-0.7732320624704767,-0.1483738311835281,-0.07040961484134511,000210
22,Dong-A_Socio_Holdings,Conglomerate,2019,Q1,12.08258559574809,-0.34781123798336266,-0.033636546570900316,000640
22,Hanwha_Corp,Conglomerate,2019,Q1,0.7103351020603279,-0.049483831911554255,-0.014600014645917092,000880
22,CJ_Corp,Conglomerate,2019,Q1,-4.275578278197231,-0.03278340876927266,-0.006704233237018853,001040
22,LG_International,Conglomerate,2019,Q1,1.2765498748323334,0.014857522496701914,-0.019185810007892545,001120
22,LG_Corp,Conglomerate,2019,Q1,-10.039025728698368,-0.001021045550643862,0.00019484830051963442,003550
22,Hansol_Holdings,Conglomerate,2019,Q1,-2.734365851195463,-0.8329049743771935,-0.008994592567741488,004150
22,LS_Corp,Conglomerate,2019,Q1,0.39193216213686144,-0.4172034861690035,-0.007091943615963547,006260
22,SK_Holdings,Conglomerate,2019,Q1,-23.48893118081988,-0.008011116021723552,-0.023801410333540662,034730
22,Halla_Holdings,Conglomerate,2019,Q1,2.3632634905021206,-0.05679150893311302,-0.03869727066320139,060980
22,GS_Holdings,Conglomerate,2019,Q1,0.36799823924287445,-0.0018928978472769753,0.0002482408843986761,078930
