,name,sector,year,quarter,영업이익변화율,비유동부채변화율,비유동자산변화율,Code
14,Doosan_Corp,Conglomerate,2021,Q1,2.104767661041598,0.1722301268323353,0.12165294205743815,000150
14,DL_Holdings,Conglomerate,2021,Q1,0.9877566644656246,0.4410104661536678,0.07226056862978081,000210
14,Dong-A_Socio_Holdings,Conglomerate,2021,Q1,6.537639239890331,0.1222322407554286,0.027557185740729517,000640
14,Hanwha_Corp,Conglomerate,2021,Q1,0.8674092355653699,-0.01830424213874582,-0.07100429869727298,000880
14,CJ_Corp,Conglomerate,2021,Q1,-1.7313009398847683,-123.34687381617577,0.003895211083354999,001040
14,LG_International,Conglomerate,2021,Q1,2.195839891256895,0.07551590209028214,-0.047606606498153514,001120
14,LG_Corp,Conglomerate,2021,Q1,-52.066253390158856,0.013652575093253017,0.000825341305360161,003550
14,Hansol_Holdings,Conglomerate,2021,Q1,-4.479305597605201,-6.001271609383496,-0.01904946410010555,004150
14,LS_Corp,Conglomerate,2021,Q1,0.10364013744265954,-7.381451714461029e-05,0.007817621759851234,006260
14,SK_Holdings,Conglomerate,2021,Q1,-15.646810538498197,-0.006678552375102065,-0.04738562180467909,034730
14,Halla_Holdings,Conglomerate,2021,Q1,0.5223897242169888,-0.5332366991251813,0.015364155750294373,060980
14,GS_Holdings,Conglomerate,2021,Q1,-4.556241203854065,-0.24651711168121238,-0.0004969072856362278,078930
