,name,sector,year,quarter,영업이익변화율,비유동부채변화율,비유동자산변화율,Code
0,Doosan_Corp,Conglomerate,2024,Q3,-0.5109359954514094,-0.03356570808673642,0.0026689140665191458,000150
0,DL_Holdings,Conglomerate,2024,Q3,0.5112673289453944,0.007008765025585895,-8.802334861779393e-05,000210
0,Dong-A_Socio_Holdings,Conglomerate,2024,Q3,4.805455803231825,0.00378197968592342,-0.00404058227454418,000640
0,Hanwha_Corp,Conglomerate,2024,Q3,3.7098154709861486,0.09599025573427344,0.041729297853612346,000880
0,CJ_Corp,Conglomerate,2024,Q3,0.704023394002781,0.02617929554325016,6.314511009308799e-05,001040
0,LG_International,Conglomerate,2024,Q3,-0.7486641129985223,0.0041006752566593585,-0.03415793284259494,001120
0,LG_Corp,Conglomerate,2024,Q3,-1.6321918670527507,0.06365281280842194,0.0045883768820113024,003550
0,Hansol_Holdings,Conglomerate,2024,Q3,-0.7481310902264278,0.08058597674307533,0.002928194391581096,004150
0,LS_Corp,Conglomerate,2024,Q3,0.7030805849065527,0.195411003520775,-0.005982618939186057,006260
0,SK_Holdings,Conglomerate,2024,Q3,0.049874012973983084,-0.026272594697892115,0.006009727154304589,034730
0,Halla_Holdings,Conglomerate,2024,Q3,0.9457965288707891,-0.06504434224780953,0.0194801790289576,060980
0,GS_Holdings,Conglomerate,2024,Q3,-0.6329479768786128,0.0023026494013111964,-0.0020275508196048175,078930
