,name,sector,year,quarter,영업이익변화율,비유동부채변화율,비유동자산변화율,Code
33,Doosan_Corp,Conglomerate,2016,Q2,-1.1675538538679602,-0.056462947506525696,-0.018185832399669977,000150
33,DL_Holdings,Conglomerate,2016,Q2,-1.016410796698589,-0.06521745957130287,0.001192477415282167,000210
33,Dong-A_Socio_Holdings,Conglomerate,2016,Q2,1.495702784089724,0.862868708618763,-0.005932208172638731,000640
33,Hanwha_Corp,Conglomerate,2016,Q2,-0.05351073597396949,0.13896463459713082,-0.01130099412211294,000880
33,CJ_Corp,Conglomerate,2016,Q2,0.7366765580435821,-0.0072292199775858546,-2.998635143214301e-05,001040
33,LG_International,Conglomerate,2016,Q2,-3.3174136296871914,-0.2393885654418182,-0.058116076750714285,001120
33,LG_Corp,Conglomerate,2016,Q2,0.893057958122573,-0.04739992075684163,0.00012569422252217688,003550
33,Hansol_Holdings,Conglomerate,2016,Q2,0.04547276840648984,-2.419968383612693,-0.02499546362570082,004150
33,LS_Corp,Conglomerate,2016,Q2,0.08564458140729325,-0.01122546513437217,-0.008259044757631395,006260
33,SK_Holdings,Conglomerate,2016,Q2,0.9051713173364768,-0.020108293981125236,-0.0005737407023194141,034730
33,Halla_Holdings,Conglomerate,2016,Q2,0.6173112373672325,-0.0015159219947704639,0.03758915009099961,060980
33,GS_Holdings,Conglomerate,2016,Q2,0.37368574766355145,0.0003742552972355595,-0.012405108040069335,078930
