,name,sector,year,quarter,영업이익변화율,비유동부채변화율,비유동자산변화율,Code
1,Doosan_Corp,Conglomerate,2024,Q2,0.4547439021147267,-0.02137027107148648,-0.006085550271659468,000150
1,DL_Holdings,Conglomerate,2024,Q2,0.1408770941064056,0.6988832508962397,0.0016719761976460301,000210
1,Dong-A_Socio_Holdings,Conglomerate,2024,Q2,1.1463868187413606,0.3268231025111954,-0.00014498803666929128,000640
1,Hanwha_Corp,Conglomerate,2024,Q2,1.118314168735572,0.06445141484056305,0.0027387968531801254,000880
1,CJ_Corp,Conglomerate,2024,Q2,0.6213239832164139,0.12451928963161796,-0.04897929944839419,001040
1,LG_International,Conglomerate,2024,Q2,-60.72725208579178,0.0014272511612470895,-0.0465708756635983,001120
1,LG_Corp,Conglomerate,2024,Q2,0.888717913992103,-0.11576744954330498,-0.028751681469092016,003550
1,Hansol_Holdings,Conglomerate,2024,Q2,0.6533267519351176,0.04948722904194047,-0.0416287539144633,004150
1,LS_Corp,Conglomerate,2024,Q2,-3.3646600160532047,-0.00982263564640129,-0.0520086698787845,006260
1,SK_Holdings,Conglomerate,2024,Q2,0.784663972952915,0.021018877371066114,0.0025055215402191022,034730
1,Halla_Holdings,Conglomerate,2024,Q2,0.5948009720721993,-0.20598512503502553,-0.0053639130305258576,060980
1,GS_Holdings,Conglomerate,2024,Q2,0.9652990367211267,0.4207963514071873,-0.0017587171313580008,078930
