,name,year,quarter,sector,Relative Return,자본금 변화율,Label,Code
33,경방,2016,Q3,경기소비재,0.05179556550348005,-0.0005512123303055283,-0.2813695647129345,000050
33,한국타이어월드와이드,2016,Q3,경기소비재,0.07960487395138752,-0.002078902399166749,-0.19368253315611283,000240
33,기아차,2016,Q3,경기소비재,-0.08762965356279914,-0.04407307368740632,-0.15636195899343341,000270
33,SK네트웍스,2016,Q3,경기소비재,0.10632868286939529,0.0,-0.058738377608712575,001740
33,넥센타이어,2016,Q3,경기소비재,0.0014462235565562281,0.008442731541142612,-0.12315621736663916,002350
33,일신방직,2016,Q3,경기소비재,0.12247796958830226,0.0,-0.3281529472554554,003200
33,쌍용차,2016,Q3,경기소비재,0.03183520841879381,-0.02955715399747616,-0.021960996984554046,003620
33,한솔홀딩스,2016,Q3,경기소비재,-0.10595135441227563,0.06332632588957421,-0.10450812581784394,004150
33,신세계,2016,Q3,경기소비재,0.027715898034637036,0.010042490786640323,-0.1250910976894108,004170
33,세방전지,2016,Q3,경기소비재,-0.006007403880872824,-0.016259750841913445,-0.15849834835393145,004490
33,조광피혁,2016,Q3,경기소비재,-0.1192573210191688,0.0,-0.14332937753979935,004700
33,현대차,2016,Q3,경기소비재,-0.013784868880418563,0.0026991468153247933,0.08123772202730022,005380
33,에스엘,2016,Q3,경기소비재,0.039512190933739505,-0.04876949326076174,0.15441191175498448,005850
33,동아타이어,2016,Q3,경기소비재,-0.0994539219401365,0.0,-0.08110160236504049,007340
33,서연,2016,Q3,경기소비재,-0.034268062157729484,0.0006054621431503815,-0.13856747277789458,007860
33,호텔신라,2016,Q3,경기소비재,-0.1358966335863009,0.0,-0.2686594330801799,008770
33,한샘,2016,Q3,경기소비재,0.06692241403274671,0.04217265070003973,0.07566731204512554,009240
33,모토닉,2016,Q3,경기소비재,0.015020711167446407,-0.0027705147272877317,-0.16967993910914425,009680
33,화신,2016,Q3,경기소비재,-0.15055245051399357,-0.02406644616748621,-0.17611509157120483,010690
33,현대위아,2016,Q3,경기소비재,-0.15839698201835667,-0.029281644964440523,-0.17593734315199627,011210
33,현대모비스,2016,Q3,경기소비재,-0.04558212976950702,0.031244433147011863,-0.1661729977465027,012330
33,에스원,2016,Q3,경기소비재,-0.1134069139601327,0.0,-0.163558521829094,012750
33,한온시스템,2016,Q3,경기소비재,-0.08414490944836989,0.0034573174383543126,-0.24842980633691059,018880
33,대교,2016,Q3,경기소비재,0.03858047484743403,-0.0035754071961899836,-0.1781660375548701,019680
33,한섬,2016,Q3,경기소비재,0.030681368942144092,0.02540346764152046,-0.41664844299369624,020000
33,코웨이,2016,Q3,경기소비재,-0.01503139753479877,0.00409782479350973,-0.07569962901117441,021240
33,롯데쇼핑,2016,Q3,경기소비재,0.1746984284120808,0.02527555131609094,-0.16984539693873774,023530
33,삼성물산,2016,Q3,경기소비재,0.036664477524810196,-0.03830402170981584,-0.24877155441054766,028260
33,세종공업,2016,Q3,경기소비재,-0.08892174181140913,0.0,-0.16439790251076333,033530
33,강원랜드,2016,Q3,경기소비재,-0.10749089195950665,0.08587855154673485,-0.07717012695431924,035250
33,한라홀딩스,2016,Q3,경기소비재,-0.014371596983079833,-0.016891503296560195,-0.15128989911605464,060980
33,S&T모티브,2016,Q3,경기소비재,-0.2884021113361442,0.0,0.04238933021718386,064960
33,현대백화점,2016,Q3,경기소비재,-0.028696633586300917,0.0,-0.28201985373027555,069960
33,금호타이어,2016,Q3,경기소비재,0.07491613675355491,-0.02630462257431032,-0.3108242015563625,073240
33,현대리바트,2016,Q3,경기소비재,-0.0625471673941301,0.03483228896978119,-0.07144293065335244,079430
33,베이직하우스,2016,Q3,경기소비재,-0.07913835349014044,0.025256278471925908,-0.2527052033418183,084870
33,LF,2016,Q3,경기소비재,-0.009312502563270288,0.012877938500517105,-0.1551495562911765,093050
33,한세실업,2016,Q3,경기소비재,-0.29947739538864576,0.0,0.007692724563312409,105630
33,영원무역,2016,Q3,경기소비재,-0.2686219547384475,0.0,0.07130583434311898,111770
33,GKL,2016,Q3,경기소비재,-0.16222562260594148,0.0,-0.12587372545490988,114090
33,한국타이어,2016,Q3,경기소비재,0.03831477325780555,0.004302947266108248,-0.10650870131391865,161390
