,name,year,quarter,sector,Relative Return,매출액 변화율,이익잉여금 변화율,부채총계 변화율,비유동자산 변화율,국제유가 변화율,소비자물가지수 변화율,Label,Code
22,하이트진로,2019,Q2,생활소비재,0.0872777002159705,0.24456856353846068,-0.0878920854988211,-0.01672934742321086,0.008919837650565476,0.09107698802174014,0.17798441463015324,0.2802798329144396,000080
22,대림산업,2019,Q2,건설,0.03625771104643578,0.053251434093519956,0.011620136696281147,-0.08411621431253069,0.025820789985082637,0.09107698802174014,0.17798441463015324,-0.12059862893574436,000210
22,현대건설,2019,Q2,건설,-0.0772442790625539,0.19118629057728875,0.016660753379974746,-0.028300734168169694,-0.0036005788868747057,0.09107698802174014,0.17798441463015324,-0.035704372441128854,000720
22,CJ,2019,Q2,생활소비재,-0.22322779129095355,0.05873144857267798,-0.004868252584626087,-0.29766981456041075,-0.0036122138302684403,0.09107698802174014,0.17798441463015324,0.0876596259759125,001040
22,대상,2019,Q2,생활소비재,-0.045225165199967235,0.09291803865894521,0.06559151610804537,0.12220706118341185,0.11112133734988205,0.09107698802174014,0.17798441463015324,-0.016678527527980727,001680
22,오리온,2019,Q2,생활소비재,-0.10415342262919178,-0.8178953119476994,-0.06903521523804668,-0.43867130600904636,0.008681741168615309,0.09107698802174014,0.17798441463015324,0.02043666881706442,001800
22,KCC,2019,Q2,건설,-0.1411779606192035,0.13262146470118608,-0.021583996869031008,0.07200359772182785,0.06527151422286392,0.09107698802174014,0.17798441463015324,-0.0627374078954682,002380
22,아모레G,2019,Q2,생활소비재,-0.1419193800760003,0.05876486030781369,0.0013689733315693786,-0.36681787899778684,0.0014901365615946904,0.09107698802174014,0.17798441463015324,0.3027252659402598,002790
22,한일시멘트,2019,Q2,건설,-0.08813786747095828,0.058782496396432515,0.008557792771527462,-0.06363537466372393,-0.0038919479906682763,0.09107698802174014,0.17798441463015324,-0.03312599588747128,003300
22,남양유업,2019,Q2,생활소비재,-0.03722636073201374,0.04790871502192107,0.020509228010219926,-0.09491002480399857,0.06330375332307248,0.09107698802174014,0.17798441463015324,-0.21883060991489223,003920
22,농심,2019,Q2,생활소비재,-0.10368408595835324,-0.03392451703382682,0.0019037648127704365,0.0169932151565948,0.019369633897381666,0.09107698802174014,0.17798441463015324,-0.00952486751588151,004370
22,빙그레,2019,Q2,생활소비재,-0.08456857949375865,0.39200467014781126,2.0977947743894143,0.08304238923886587,0.016973113005845253,0.09107698802174014,0.17798441463015324,-0.14858969059051724,005180
22,롯데칠성,2019,Q2,생활소비재,-0.06691938007600029,0.1579799958523036,-0.022721708531054263,0.042902341124973375,-0.005501694686671277,0.09107698802174014,0.17798441463015324,-0.10676315554364323,005300
22,현대그린푸드,2019,Q2,생활소비재,-0.063978033141956,-0.019725755613630214,0.017211213136663295,-0.06702400435770217,-0.012090807276796012,0.09107698802174014,0.17798441463015324,-0.10379415904414765,005440
