year,quarter,min_disclosure_date,max_disclosure_date
2015,Q4,2016-03-16,2016-10-28
2016,Q1,2016-04-28,2016-10-28
2016,Q2,2016-08-03,2016-10-28
2016,Q3,2016-10-31,2016-12-30
2016,Q4,2017-03-08,2017-10-19
2017,Q1,2017-05-04,2017-09-08
2017,Q2,2017-08-02,2017-12-05
2017,Q3,2017-11-08,2017-12-06
2017,Q4,2018-03-09,2018-09-21
2018,Q1,2018-04-30,2018-11-09
2018,Q2,2018-02-28,2018-11-14
2018,Q3,2018-11-06,2018-11-21
2018,Q4,2019-02-28,2019-10-02
2019,Q1,2019-05-07,2019-10-02
2019,Q2,2019-04-17,2019-10-02
2019,Q3,2019-11-08,2019-11-18
2019,Q4,2020-03-02,2020-12-30
2020,Q1,2020-05-11,2020-08-14
2020,Q2,2020-08-11,2020-11-04
2020,Q3,2020-11-05,2020-11-25
2020,Q4,2021-02-09,2021-12-10
2021,Q1,2021-05-11,2021-08-17
2021,Q2,2021-02-10,2021-08-26
2021,Q3,2021-11-10,2021-11-19
2021,Q4,2022-02-17,2022-12-15
2022,Q1,2022-05-12,2022-08-18
2022,Q2,2022-03-16,2022-09-05
2022,Q3,2022-11-09,2022-12-15
2022,Q4,2023-02-20,2023-11-14
2023,Q1,2023-05-10,2023-06-30
2023,Q2,2023-08-10,2023-11-29
2023,Q3,2023-11-09,2023-12-29
2023,Q4,2024-02-21,2024-12-20
2024,Q1,2024-05-09,2024-07-25
2024,Q2,2024-08-08,2024-12-27
2024,Q3,2024-11-07,2024-12-31
2024,Q4,2025-02-21,2025-12-20
