corp_code,corp_name
000050,경방
000070,삼양홀딩스
000080,하이트진로
000100,유한양행
000120,CJ대한통운
000140,하이트진로홀딩스
000150,두산
000210,대림산업
000230,일동제약
000240,한국타이어월드와이드
000270,기아차
000480,조선내화
000640,동아쏘시오홀딩스
000660,SK하이닉스
000670,영풍
000720,현대건설
000880,한화
001040,CJ
001120,LG상사
001230,동국제강
001430,세아베스틸
001680,대상
001740,SK네트웍스
001800,오리온
002240,고려제강
002350,넥센타이어
002380,KCC
002790,아모레G
002960,한국쉘석유
003000,부광약품
003030,세아제강
003200,일신방직
003240,태광산업
003300,한일시멘트
003410,쌍용양회
003490,대한항공
003520,영진약품
003550,LG
003570,S&T중공업
003620,쌍용차
003920,남양유업
004000,삼성정밀화학
004020,현대제철
004150,한솔홀딩스
004170,신세계
004370,농심
004490,세방전지
004700,조광피혁
004710,한솔테크닉스
004800,효성
005090,삼광글라스
005180,빙그레
005300,롯데칠성
005380,현대차
005440,현대그린푸드
005490,POSCO
005610,삼립식품
005740,크라운제과
005850,에스엘
005930,삼성전자
006120,SK케미칼
006260,LS
006280,녹십자
006400,삼성SDI
006650,대한유화
007070,GS리테일
007310,오뚜기
007340,동아타이어
007570,일양약품
007690,국도화학
007860,서연
008060,대덕전자
008490,서흥
008770,호텔신라
009150,삼성전기
009240,한샘
009290,광동제약
009540,현대중공업
009580,무림P&P
009680,모토닉
009830,한화케미칼
010060,OCI
010120,LS산전
010130,고려아연
010140,삼성중공업
010620,현대미포조선
010690,화신
010780,아이에스동서
010950,S-Oil
011070,LG이노텍
011170,롯데케미칼
011200,현대상선
011210,현대위아
011780,금호석유
011790,SKC
012330,현대모비스
012450,한화테크윈
012630,현대산업
012750,에스원
014680,한솔케미칼
014820,동원시스템즈
014830,유니드
015760,한국전력
017670,SK텔레콤
017800,현대엘리베이
018260,삼성에스디에스
018880,한온시스템
019680,대교
020000,한섬
020150,일진머티리얼즈
021240,코웨이
023530,롯데쇼핑
025540,한국단자
025860,남해화학
028050,삼성엔지니어링
028260,삼성물산
029530,신도리코
030000,제일기획
030200,KT
032640,LG유플러스
033530,세종공업
033780,KT&G
033920,무학
034020,두산중공업
034120,SBS
034220,LG디스플레이
034730,SK
035250,강원랜드
035420,NAVER
036460,한국가스공사
036570,엔씨소프트
036580,팜스코
042660,대우조선해양
042670,두산인프라코어
042700,한미반도체
047040,대우건설
047050,대우인터내셔널
047810,한국항공우주
049770,동원F&B
051600,한전KPS
051900,LG생활건강
051910,LG화학
052690,한전기술
060980,한라홀딩스
064350,현대로템
064960,S&T모티브
066570,LG전자
069260,휴켐스
069620,대웅제약
069960,현대백화점
073240,금호타이어
078520,에이블씨엔씨
078930,GS
079430,현대리바트
079980,휴비스
082740,두산엔진
084870,베이직하우스
086280,현대글로비스
090430,아모레퍼시픽
093050,LF
093370,후성
096770,SK이노베이션
097230,한진중공업
097950,CJ제일제당
103140,풍산
104700,한국철강
105630,한세실업
108670,LG하우시스
111770,영원무역
114090,GKL
115390,락앤락
120110,코오롱인더
128940,한미약품
139480,이마트
145990,삼양사
161390,한국타이어
161890,한국콜마
170900,동아에스티
185750,종근당
192820,코스맥스
