code,name,year,quarter,disclosure_date
50,경방,2015,Q4,2016-03-30
50,경방,2016,Q1,2016-05-16
50,경방,2016,Q2,2016-08-12
50,경방,2016,Q3,2016-11-14
50,경방,2016,Q4,2017-03-31
50,경방,2017,Q1,2017-05-15
50,경방,2017,Q2,2017-08-14
50,경방,2017,Q3,2017-11-14
50,경방,2017,Q4,2018-03-30
50,경방,2018,Q1,2018-05-15
50,경방,2018,Q2,2018-08-14
50,경방,2018,Q3,2018-11-14
50,경방,2018,Q4,2019-04-01
50,경방,2019,Q1,2019-05-15
50,경방,2019,Q2,2019-08-14
50,경방,2019,Q3,2019-11-14
50,경방,2019,Q4,2020-03-30
50,경방,2020,Q1,2020-05-15
50,경방,2020,Q2,2020-08-13
50,경방,2020,Q3,2020-11-13
50,경방,2020,Q4,2021-03-16
50,경방,2021,Q1,2021-05-13
50,경방,2021,Q2,2021-08-13
50,경방,2021,Q3,2021-11-12
50,경방,2021,Q4,2022-08-05
50,경방,2022,Q1,2022-05-13
50,경방,2022,Q2,2022-08-12
50,경방,2022,Q3,2022-11-14
50,경방,2022,Q4,2023-03-17
50,경방,2023,Q1,2023-05-15
50,경방,2023,Q2,2023-08-11
50,경방,2023,Q3,2023-11-14
50,경방,2023,Q4,2024-03-20
50,경방,2024,Q1,2024-05-16
50,경방,2024,Q2,2024-08-14
50,경방,2024,Q3,2024-11-14
50,경방,2024,Q4,2025-03-20
80,하이트진로,2015,Q4,2016-03-31
80,하이트진로,2016,Q1,2016-05-16
80,하이트진로,2016,Q2,2016-08-12
80,하이트진로,2016,Q3,2016-11-13
80,하이트진로,2016,Q4,2017-03-31
80,하이트진로,2017,Q1,2017-05-16
80,하이트진로,2017,Q2,2017-08-12
80,하이트진로,2017,Q3,2017-11-13
80,하이트진로,2017,Q4,2018-03-31
80,하이트진로,2018,Q1,2018-05-16
80,하이트진로,2018,Q2,2018-08-12
80,하이트진로,2018,Q3,2018-11-13
80,하이트진로,2018,Q4,2019-03-31
80,하이트진로,2019,Q1,2019-05-16
80,하이트진로,2019,Q2,2019-08-12
80,하이트진로,2019,Q3,2019-11-13
80,하이트진로,2019,Q4,2020-03-30
80,하이트진로,2020,Q1,2020-05-15
80,하이트진로,2020,Q2,2020-08-14
80,하이트진로,2020,Q3,2020-11-13
80,하이트진로,2020,Q4,2021-02-10
80,하이트진로,2021,Q1,2021-05-14
80,하이트진로,2021,Q2,2021-02-10
80,하이트진로,2021,Q3,2021-11-12
80,하이트진로,2021,Q4,2022-03-17
80,하이트진로,2022,Q1,2022-05-13
80,하이트진로,2022,Q2,2022-08-12
80,하이트진로,2022,Q3,2022-11-11
80,하이트진로,2022,Q4,2023-03-16
80,하이트진로,2023,Q1,2023-05-12
80,하이트진로,2023,Q2,2023-08-11
80,하이트진로,2023,Q3,2023-11-13
80,하이트진로,2023,Q4,2024-03-14
80,하이트진로,2024,Q1,2024-05-14
80,하이트진로,2024,Q2,2024-08-13
80,하이트진로,2024,Q3,2024-11-13
80,하이트진로,2024,Q4,2025-03-14
100,유한양행,2015,Q4,2016-03-30
100,유한양행,2016,Q1,2016-05-13
100,유한양행,2016,Q2,2016-10-20
100,유한양행,2016,Q3,2016-11-14
100,유한양행,2016,Q4,2017-03-31
100,유한양행,2017,Q1,2017-05-15
100,유한양행,2017,Q2,2017-08-11
100,유한양행,2017,Q3,2017-11-14
100,유한양행,2017,Q4,2018-04-02
100,유한양행,2018,Q1,2018-05-15
100,유한양행,2018,Q2,2018-08-14
100,유한양행,2018,Q3,2018-11-14
100,유한양행,2018,Q4,2019-04-01
100,유한양행,2019,Q1,2019-05-15
100,유한양행,2019,Q2,2019-08-14
100,유한양행,2019,Q3,2019-11-14
100,유한양행,2019,Q4,2020-03-30
100,유한양행,2020,Q1,2020-05-15
100,유한양행,2020,Q2,2020-08-14
100,유한양행,2020,Q3,2020-11-16
100,유한양행,2020,Q4,2021-03-11
100,유한양행,2021,Q1,2021-05-17
100,유한양행,2021,Q2,2021-08-17
100,유한양행,2021,Q3,2021-11-15
100,유한양행,2021,Q4,2022-03-10
100,유한양행,2022,Q1,2022-05-16
100,유한양행,2022,Q2,2022-08-16
100,유한양행,2022,Q3,2022-11-14
100,유한양행,2022,Q4,2023-03-15
100,유한양행,2023,Q1,2023-05-15
100,유한양행,2023,Q2,2023-08-14
100,유한양행,2023,Q3,2023-11-14
100,유한양행,2023,Q4,2024-03-07
100,유한양행,2024,Q1,2024-05-16
100,유한양행,2024,Q2,2024-08-14
100,유한양행,2024,Q3,2024-11-14
100,유한양행,2024,Q4,2025-03-07
120,CJ대한통운,2015,Q4,2016-03-30
120,CJ대한통운,2016,Q1,2016-05-16
120,CJ대한통운,2016,Q2,2016-08-16
120,CJ대한통운,2016,Q3,2016-11-14
120,CJ대한통운,2016,Q4,2017-03-31
120,CJ대한통운,2017,Q1,2017-05-15
120,CJ대한통운,2017,Q2,2017-08-14
120,CJ대한통운,2017,Q3,2017-11-14
120,CJ대한통운,2017,Q4,2018-04-02
120,CJ대한통운,2018,Q1,2018-05-15
120,CJ대한통운,2018,Q2,2018-08-14
120,CJ대한통운,2018,Q3,2018-11-14
120,CJ대한통운,2018,Q4,2019-10-02
120,CJ대한통운,2019,Q1,2019-10-02
120,CJ대한통운,2019,Q2,2019-10-02
120,CJ대한통운,2019,Q3,2019-11-14
120,CJ대한통운,2019,Q4,2020-03-30
120,CJ대한통운,2020,Q1,2020-05-15
120,CJ대한통운,2020,Q2,2020-08-14
120,CJ대한통운,2020,Q3,2020-11-16
120,CJ대한통운,2020,Q4,2021-03-19
120,CJ대한통운,2021,Q1,2021-05-14
120,CJ대한통운,2021,Q2,2021-08-17
120,CJ대한통운,2021,Q3,2021-11-15
120,CJ대한통운,2021,Q4,2022-03-18
120,CJ대한통운,2022,Q1,2022-05-16
120,CJ대한통운,2022,Q2,2022-08-16
120,CJ대한통운,2022,Q3,2022-11-14
120,CJ대한통운,2022,Q4,2023-03-17
120,CJ대한통운,2023,Q1,2023-05-15
120,CJ대한통운,2023,Q2,2023-08-14
120,CJ대한통운,2023,Q3,2023-11-14
120,CJ대한통운,2023,Q4,2024-03-20
120,CJ대한통운,2024,Q1,2024-05-16
120,CJ대한통운,2024,Q2,2024-08-14
120,CJ대한통운,2024,Q3,2024-11-14
120,CJ대한통운,2024,Q4,2025-03-20
150,두산,2015,Q4,2016-03-30
150,두산,2016,Q1,2016-05-16
150,두산,2016,Q2,2016-08-16
150,두산,2016,Q3,2016-11-14
150,두산,2016,Q4,2017-03-31
150,두산,2017,Q1,2017-05-15
150,두산,2017,Q2,2017-08-11
150,두산,2017,Q3,2017-11-14
150,두산,2017,Q4,2018-03-31
150,두산,2018,Q1,2018-05-16
150,두산,2018,Q2,2018-08-12
150,두산,2018,Q3,2018-11-13
150,두산,2018,Q4,2019-03-31
150,두산,2019,Q1,2019-05-16
150,두산,2019,Q2,2019-08-12
150,두산,2019,Q3,2019-11-13
150,두산,2019,Q4,2020-03-31
150,두산,2020,Q1,2020-05-16
150,두산,2020,Q2,2020-08-12
150,두산,2020,Q3,2020-11-13
150,두산,2020,Q4,2021-03-31
150,두산,2021,Q1,2021-05-16
150,두산,2021,Q2,2021-08-12
150,두산,2021,Q3,2021-11-13
150,두산,2021,Q4,2022-03-22
150,두산,2022,Q1,2022-05-16
150,두산,2022,Q2,2022-08-16
150,두산,2022,Q3,2022-11-14
150,두산,2022,Q4,2023-03-21
150,두산,2023,Q1,2023-05-15
150,두산,2023,Q2,2023-09-22
150,두산,2023,Q3,2023-11-14
150,두산,2023,Q4,2024-03-20
150,두산,2024,Q1,2024-05-16
150,두산,2024,Q2,2024-08-30
150,두산,2024,Q3,2024-11-14
150,두산,2024,Q4,2025-03-20
210,대림산업,2015,Q4,2016-03-30
210,대림산업,2016,Q1,2016-05-16
210,대림산업,2016,Q2,2016-08-16
210,대림산업,2016,Q3,2016-11-14
210,대림산업,2016,Q4,2017-03-31
210,대림산업,2017,Q1,2017-05-16
210,대림산업,2017,Q2,2017-08-12
210,대림산업,2017,Q3,2017-11-13
210,대림산업,2017,Q4,2018-04-02
210,대림산업,2018,Q1,2018-05-15
210,대림산업,2018,Q2,2018-02-28
210,대림산업,2018,Q3,2018-11-14
210,대림산업,2018,Q4,2019-04-01
210,대림산업,2019,Q1,2019-05-17
210,대림산업,2019,Q2,2019-08-14
210,대림산업,2019,Q3,2019-11-14
210,대림산업,2019,Q4,2020-05-15
210,대림산업,2020,Q1,2020-05-15
210,대림산업,2020,Q2,2020-08-14
210,대림산업,2020,Q3,2020-11-05
210,대림산업,2020,Q4,2021-04-05
210,대림산업,2021,Q1,2021-05-17
210,대림산업,2021,Q2,2021-08-12
210,대림산업,2021,Q3,2021-11-15
210,대림산업,2021,Q4,2022-03-31
210,대림산업,2022,Q1,2022-05-16
210,대림산업,2022,Q2,2022-08-12
210,대림산업,2022,Q3,2022-11-13
210,대림산업,2022,Q4,2023-07-28
210,대림산업,2023,Q1,2023-05-15
210,대림산업,2023,Q2,2023-08-11
210,대림산업,2023,Q3,2023-11-14
210,대림산업,2023,Q4,2024-03-29
210,대림산업,2024,Q1,2024-05-16
210,대림산업,2024,Q2,2024-08-14
210,대림산업,2024,Q3,2024-11-14
210,대림산업,2024,Q4,2025-03-29
230,일동제약,2015,Q4,2016-03-30
230,일동제약,2016,Q1,2016-05-16
230,일동제약,2016,Q2,2016-08-16
230,일동제약,2016,Q3,2016-11-14
230,일동제약,2016,Q4,2017-03-31
230,일동제약,2017,Q1,2017-05-15
230,일동제약,2017,Q2,2017-08-11
230,일동제약,2017,Q3,2017-11-14
230,일동제약,2017,Q4,2018-04-02
230,일동제약,2018,Q1,2018-05-15
230,일동제약,2018,Q2,2018-08-14
230,일동제약,2018,Q3,2018-11-14
230,일동제약,2018,Q4,2019-03-31
230,일동제약,2019,Q1,2019-05-16
230,일동제약,2019,Q2,2019-08-12
230,일동제약,2019,Q3,2019-11-13
230,일동제약,2019,Q4,2020-03-30
230,일동제약,2020,Q1,2020-05-15
230,일동제약,2020,Q2,2020-08-14
230,일동제약,2020,Q3,2020-11-16
230,일동제약,2020,Q4,2021-03-19
230,일동제약,2021,Q1,2021-05-17
230,일동제약,2021,Q2,2021-08-17
230,일동제약,2021,Q3,2021-11-15
230,일동제약,2021,Q4,2022-03-17
230,일동제약,2022,Q1,2022-05-16
230,일동제약,2022,Q2,2022-08-16
230,일동제약,2022,Q3,2022-11-14
230,일동제약,2022,Q4,2023-03-16
230,일동제약,2023,Q1,2023-05-15
230,일동제약,2023,Q2,2023-08-11
230,일동제약,2023,Q3,2023-11-14
230,일동제약,2023,Q4,2024-03-14
230,일동제약,2024,Q1,2024-05-14
230,일동제약,2024,Q2,2024-08-14
230,일동제약,2024,Q3,2024-11-14
230,일동제약,2024,Q4,2025-03-14
240,한국타이어월드와이드,2015,Q4,2016-03-31
240,한국타이어월드와이드,2016,Q1,2016-05-16
240,한국타이어월드와이드,2016,Q2,2016-08-12
240,한국타이어월드와이드,2016,Q3,2016-11-13
240,한국타이어월드와이드,2016,Q4,2017-08-14
240,한국타이어월드와이드,2017,Q1,2017-08-14
240,한국타이어월드와이드,2017,Q2,2017-08-14
240,한국타이어월드와이드,2017,Q3,2017-11-14
240,한국타이어월드와이드,2017,Q4,2018-04-02
240,한국타이어월드와이드,2018,Q1,2018-05-15
240,한국타이어월드와이드,2018,Q2,2018-08-14
240,한국타이어월드와이드,2018,Q3,2018-11-14
240,한국타이어월드와이드,2018,Q4,2019-04-01
240,한국타이어월드와이드,2019,Q1,2019-05-15
240,한국타이어월드와이드,2019,Q2,2019-08-14
240,한국타이어월드와이드,2019,Q3,2019-11-14
240,한국타이어월드와이드,2019,Q4,2020-03-31
240,한국타이어월드와이드,2020,Q1,2020-05-16
240,한국타이어월드와이드,2020,Q2,2020-08-12
240,한국타이어월드와이드,2020,Q3,2020-11-13
240,한국타이어월드와이드,2020,Q4,2021-03-31
240,한국타이어월드와이드,2021,Q1,2021-05-16
240,한국타이어월드와이드,2021,Q2,2021-08-12
240,한국타이어월드와이드,2021,Q3,2021-11-13
240,한국타이어월드와이드,2021,Q4,2022-12-15
240,한국타이어월드와이드,2022,Q1,2022-05-16
240,한국타이어월드와이드,2022,Q2,2022-08-16
240,한국타이어월드와이드,2022,Q3,2022-12-15
240,한국타이어월드와이드,2022,Q4,2023-03-24
240,한국타이어월드와이드,2023,Q1,2023-05-15
240,한국타이어월드와이드,2023,Q2,2023-08-11
240,한국타이어월드와이드,2023,Q3,2023-11-14
240,한국타이어월드와이드,2023,Q4,2024-03-20
240,한국타이어월드와이드,2024,Q1,2024-05-16
240,한국타이어월드와이드,2024,Q2,2024-08-14
240,한국타이어월드와이드,2024,Q3,2024-11-14
240,한국타이어월드와이드,2024,Q4,2025-03-20
270,기아차,2015,Q4,2016-03-31
270,기아차,2016,Q1,2016-05-16
270,기아차,2016,Q2,2016-08-12
270,기아차,2016,Q3,2016-11-13
270,기아차,2016,Q4,2017-03-31
270,기아차,2017,Q1,2017-05-16
270,기아차,2017,Q2,2017-08-12
270,기아차,2017,Q3,2017-11-13
270,기아차,2017,Q4,2018-03-31
270,기아차,2018,Q1,2018-05-16
270,기아차,2018,Q2,2018-08-12
270,기아차,2018,Q3,2018-11-13
270,기아차,2018,Q4,2019-03-31
270,기아차,2019,Q1,2019-05-16
270,기아차,2019,Q2,2019-08-12
270,기아차,2019,Q3,2019-11-13
270,기아차,2019,Q4,2020-03-31
270,기아차,2020,Q1,2020-05-16
270,기아차,2020,Q2,2020-08-12
270,기아차,2020,Q3,2020-11-13
270,기아차,2020,Q4,2021-12-10
270,기아차,2021,Q1,2021-05-17
270,기아차,2021,Q2,2021-08-17
270,기아차,2021,Q3,2021-11-15
270,기아차,2021,Q4,2022-03-21
270,기아차,2022,Q1,2022-05-16
270,기아차,2022,Q2,2022-08-16
270,기아차,2022,Q3,2022-11-14
270,기아차,2022,Q4,2023-03-09
270,기아차,2023,Q1,2023-05-15
270,기아차,2023,Q2,2023-08-14
270,기아차,2023,Q3,2023-11-14
270,기아차,2023,Q4,2024-03-12
270,기아차,2024,Q1,2024-05-16
270,기아차,2024,Q2,2024-08-14
270,기아차,2024,Q3,2024-11-14
270,기아차,2024,Q4,2025-03-12
480,조선내화,2015,Q4,2016-03-30
480,조선내화,2016,Q1,2016-05-13
480,조선내화,2016,Q2,2016-08-12
480,조선내화,2016,Q3,2016-11-11
480,조선내화,2016,Q4,2017-03-31
480,조선내화,2017,Q1,2017-05-12
480,조선내화,2017,Q2,2017-09-12
480,조선내화,2017,Q3,2017-11-14
480,조선내화,2017,Q4,2018-04-06
480,조선내화,2018,Q1,2018-05-15
480,조선내화,2018,Q2,2018-08-21
480,조선내화,2018,Q3,2018-11-13
480,조선내화,2018,Q4,2019-04-01
480,조선내화,2019,Q1,2019-05-15
480,조선내화,2019,Q2,2019-08-14
480,조선내화,2019,Q3,2019-11-14
480,조선내화,2019,Q4,2020-04-02
480,조선내화,2020,Q1,2020-05-14
480,조선내화,2020,Q2,2020-08-13
480,조선내화,2020,Q3,2020-11-13
480,조선내화,2020,Q4,2021-03-12
480,조선내화,2021,Q1,2021-05-14
480,조선내화,2021,Q2,2021-08-13
480,조선내화,2021,Q3,2021-11-12
480,조선내화,2021,Q4,2022-03-14
480,조선내화,2022,Q1,2022-05-16
480,조선내화,2022,Q2,2022-08-12
480,조선내화,2022,Q3,2022-11-14
480,조선내화,2022,Q4,2023-03-15
480,조선내화,2023,Q1,2023-05-12
480,조선내화,2023,Q2,2023-08-14
480,조선내화,2023,Q3,2023-11-14
480,조선내화,2023,Q4,2024-03-15
480,조선내화,2024,Q1,2024-05-14
480,조선내화,2024,Q2,2024-08-14
480,조선내화,2024,Q3,2024-11-14
480,조선내화,2024,Q4,2025-03-15
640,동아쏘시오홀딩스,2015,Q4,2016-04-15
640,동아쏘시오홀딩스,2016,Q1,2016-05-13
640,동아쏘시오홀딩스,2016,Q2,2016-08-12
640,동아쏘시오홀딩스,2016,Q3,2016-11-14
640,동아쏘시오홀딩스,2016,Q4,2017-03-31
640,동아쏘시오홀딩스,2017,Q1,2017-05-18
640,동아쏘시오홀딩스,2017,Q2,2017-08-14
640,동아쏘시오홀딩스,2017,Q3,2017-11-22
640,동아쏘시오홀딩스,2017,Q4,2018-04-02
640,동아쏘시오홀딩스,2018,Q1,2018-05-15
640,동아쏘시오홀딩스,2018,Q2,2018-08-14
640,동아쏘시오홀딩스,2018,Q3,2018-11-14
640,동아쏘시오홀딩스,2018,Q4,2019-04-01
640,동아쏘시오홀딩스,2019,Q1,2019-05-15
640,동아쏘시오홀딩스,2019,Q2,2019-08-14
640,동아쏘시오홀딩스,2019,Q3,2019-11-14
640,동아쏘시오홀딩스,2019,Q4,2020-03-30
640,동아쏘시오홀딩스,2020,Q1,2020-05-15
640,동아쏘시오홀딩스,2020,Q2,2020-08-14
640,동아쏘시오홀딩스,2020,Q3,2020-11-16
640,동아쏘시오홀딩스,2020,Q4,2021-03-19
640,동아쏘시오홀딩스,2021,Q1,2021-05-17
640,동아쏘시오홀딩스,2021,Q2,2021-08-17
640,동아쏘시오홀딩스,2021,Q3,2021-11-15
640,동아쏘시오홀딩스,2021,Q4,2022-03-18
640,동아쏘시오홀딩스,2022,Q1,2022-05-16
640,동아쏘시오홀딩스,2022,Q2,2022-08-16
640,동아쏘시오홀딩스,2022,Q3,2022-11-14
640,동아쏘시오홀딩스,2022,Q4,2023-03-21
640,동아쏘시오홀딩스,2023,Q1,2023-05-15
640,동아쏘시오홀딩스,2023,Q2,2023-08-14
640,동아쏘시오홀딩스,2023,Q3,2023-11-14
640,동아쏘시오홀딩스,2023,Q4,2024-03-20
640,동아쏘시오홀딩스,2024,Q1,2024-05-16
640,동아쏘시오홀딩스,2024,Q2,2024-08-14
640,동아쏘시오홀딩스,2024,Q3,2024-11-14
640,동아쏘시오홀딩스,2024,Q4,2025-03-20
660,SK하이닉스,2015,Q4,2016-05-16
660,SK하이닉스,2016,Q1,2016-05-16
660,SK하이닉스,2016,Q2,2016-08-16
660,SK하이닉스,2016,Q3,2016-11-14
660,SK하이닉스,2016,Q4,2017-03-31
660,SK하이닉스,2017,Q1,2017-08-14
660,SK하이닉스,2017,Q2,2017-08-14
660,SK하이닉스,2017,Q3,2017-11-14
660,SK하이닉스,2017,Q4,2018-06-15
660,SK하이닉스,2018,Q1,2018-05-15
660,SK하이닉스,2018,Q2,2018-08-14
660,SK하이닉스,2018,Q3,2018-11-14
660,SK하이닉스,2018,Q4,2019-04-04
660,SK하이닉스,2019,Q1,2019-05-15
660,SK하이닉스,2019,Q2,2019-08-14
660,SK하이닉스,2019,Q3,2019-11-14
660,SK하이닉스,2019,Q4,2020-03-30
660,SK하이닉스,2020,Q1,2020-05-15
660,SK하이닉스,2020,Q2,2020-08-14
660,SK하이닉스,2020,Q3,2020-11-16
660,SK하이닉스,2020,Q4,2021-03-30
660,SK하이닉스,2021,Q1,2021-05-17
660,SK하이닉스,2021,Q2,2021-08-17
660,SK하이닉스,2021,Q3,2021-11-15
660,SK하이닉스,2021,Q4,2022-03-22
660,SK하이닉스,2022,Q1,2022-05-16
660,SK하이닉스,2022,Q2,2022-08-16
660,SK하이닉스,2022,Q3,2022-11-14
660,SK하이닉스,2022,Q4,2023-03-21
660,SK하이닉스,2023,Q1,2023-05-15
660,SK하이닉스,2023,Q2,2023-08-14
660,SK하이닉스,2023,Q3,2023-11-14
660,SK하이닉스,2023,Q4,2024-03-19
660,SK하이닉스,2024,Q1,2024-05-16
660,SK하이닉스,2024,Q2,2024-08-14
660,SK하이닉스,2024,Q3,2024-11-14
660,SK하이닉스,2024,Q4,2025-03-19
670,영풍,2015,Q4,2016-05-16
670,영풍,2016,Q1,2016-05-16
670,영풍,2016,Q2,2016-08-16
670,영풍,2016,Q3,2016-11-14
670,영풍,2016,Q4,2017-03-31
670,영풍,2017,Q1,2017-05-16
670,영풍,2017,Q2,2017-08-12
670,영풍,2017,Q3,2017-11-13
670,영풍,2017,Q4,2018-04-02
670,영풍,2018,Q1,2018-05-15
670,영풍,2018,Q2,2018-08-14
670,영풍,2018,Q3,2018-11-14
670,영풍,2018,Q4,2019-04-01
670,영풍,2019,Q1,2019-05-15
670,영풍,2019,Q2,2019-08-14
670,영풍,2019,Q3,2019-11-14
670,영풍,2019,Q4,2020-03-30
670,영풍,2020,Q1,2020-05-15
670,영풍,2020,Q2,2020-08-14
670,영풍,2020,Q3,2020-11-16
670,영풍,2020,Q4,2021-03-16
670,영풍,2021,Q1,2021-05-17
670,영풍,2021,Q2,2021-08-17
670,영풍,2021,Q3,2021-11-15
670,영풍,2021,Q4,2022-03-15
670,영풍,2022,Q1,2022-05-16
670,영풍,2022,Q2,2022-08-16
670,영풍,2022,Q3,2022-11-14
670,영풍,2022,Q4,2023-07-13
670,영풍,2023,Q1,2023-05-15
670,영풍,2023,Q2,2023-08-14
670,영풍,2023,Q3,2023-11-14
670,영풍,2023,Q4,2024-08-14
670,영풍,2024,Q1,2024-05-16
670,영풍,2024,Q2,2024-08-14
670,영풍,2024,Q3,2024-11-14
670,영풍,2024,Q4,2025-08-14
720,현대건설,2015,Q4,2016-03-31
720,현대건설,2016,Q1,2016-05-16
720,현대건설,2016,Q2,2016-08-12
720,현대건설,2016,Q3,2016-11-13
720,현대건설,2016,Q4,2017-06-22
720,현대건설,2017,Q1,2017-05-15
720,현대건설,2017,Q2,2017-08-11
720,현대건설,2017,Q3,2017-11-14
720,현대건설,2017,Q4,2018-04-02
720,현대건설,2018,Q1,2018-05-15
720,현대건설,2018,Q2,2018-08-14
720,현대건설,2018,Q3,2018-11-14
720,현대건설,2018,Q4,2019-04-01
720,현대건설,2019,Q1,2019-05-15
720,현대건설,2019,Q2,2019-08-14
720,현대건설,2019,Q3,2019-11-14
720,현대건설,2019,Q4,2020-03-30
720,현대건설,2020,Q1,2020-05-15
720,현대건설,2020,Q2,2020-08-14
720,현대건설,2020,Q3,2020-11-16
720,현대건설,2020,Q4,2021-03-17
720,현대건설,2021,Q1,2021-05-17
720,현대건설,2021,Q2,2021-08-17
720,현대건설,2021,Q3,2021-11-15
720,현대건설,2021,Q4,2022-03-25
720,현대건설,2022,Q1,2022-05-16
720,현대건설,2022,Q2,2022-08-16
720,현대건설,2022,Q3,2022-11-14
720,현대건설,2022,Q4,2023-03-15
720,현대건설,2023,Q1,2023-05-15
720,현대건설,2023,Q2,2023-08-11
720,현대건설,2023,Q3,2023-11-14
720,현대건설,2023,Q4,2024-03-29
720,현대건설,2024,Q1,2024-05-16
720,현대건설,2024,Q2,2024-08-14
720,현대건설,2024,Q3,2024-11-14
720,현대건설,2024,Q4,2025-03-29
880,한화,2015,Q4,2016-03-30
880,한화,2016,Q1,2016-05-16
880,한화,2016,Q2,2016-08-17
880,한화,2016,Q3,2016-11-14
880,한화,2016,Q4,2017-04-19
880,한화,2017,Q1,2017-05-15
880,한화,2017,Q2,2017-08-11
880,한화,2017,Q3,2017-11-14
880,한화,2017,Q4,2018-06-11
880,한화,2018,Q1,2018-05-15
880,한화,2018,Q2,2018-08-14
880,한화,2018,Q3,2018-11-14
880,한화,2018,Q4,2019-04-01
880,한화,2019,Q1,2019-05-15
880,한화,2019,Q2,2019-08-14
880,한화,2019,Q3,2019-11-14
880,한화,2019,Q4,2020-03-30
880,한화,2020,Q1,2020-05-15
880,한화,2020,Q2,2020-08-13
880,한화,2020,Q3,2020-11-16
880,한화,2020,Q4,2021-03-19
880,한화,2021,Q1,2021-05-14
880,한화,2021,Q2,2021-08-26
880,한화,2021,Q3,2021-11-12
880,한화,2021,Q4,2022-03-24
880,한화,2022,Q1,2022-05-16
880,한화,2022,Q2,2022-08-12
880,한화,2022,Q3,2022-11-11
880,한화,2022,Q4,2023-03-21
880,한화,2023,Q1,2023-06-30
880,한화,2023,Q2,2023-09-26
880,한화,2023,Q3,2023-12-29
880,한화,2023,Q4,2024-04-30
880,한화,2024,Q1,2024-07-03
880,한화,2024,Q2,2024-09-30
880,한화,2024,Q3,2024-12-31
880,한화,2024,Q4,2025-04-30
1040,CJ,2015,Q4,2016-03-30
1040,CJ,2016,Q1,2016-05-16
1040,CJ,2016,Q2,2016-08-16
1040,CJ,2016,Q3,2016-11-14
1040,CJ,2016,Q4,2017-03-31
1040,CJ,2017,Q1,2017-05-15
1040,CJ,2017,Q2,2017-08-14
1040,CJ,2017,Q3,2017-11-14
1040,CJ,2017,Q4,2018-03-30
1040,CJ,2018,Q1,2018-05-15
1040,CJ,2018,Q2,2018-08-14
1040,CJ,2018,Q3,2018-11-14
1040,CJ,2018,Q4,2019-03-29
1040,CJ,2019,Q1,2019-05-15
1040,CJ,2019,Q2,2019-08-14
1040,CJ,2019,Q3,2019-11-14
1040,CJ,2019,Q4,2020-03-30
1040,CJ,2020,Q1,2020-05-18
1040,CJ,2020,Q2,2020-08-14
1040,CJ,2020,Q3,2020-11-16
1040,CJ,2020,Q4,2021-03-23
1040,CJ,2021,Q1,2021-05-17
1040,CJ,2021,Q2,2021-08-17
1040,CJ,2021,Q3,2021-11-15
1040,CJ,2021,Q4,2022-03-21
1040,CJ,2022,Q1,2022-05-16
1040,CJ,2022,Q2,2022-08-16
1040,CJ,2022,Q3,2022-11-14
1040,CJ,2022,Q4,2023-03-21
1040,CJ,2023,Q1,2023-05-15
1040,CJ,2023,Q2,2023-08-14
1040,CJ,2023,Q3,2023-11-14
1040,CJ,2023,Q4,2024-03-20
1040,CJ,2024,Q1,2024-05-16
1040,CJ,2024,Q2,2024-08-14
1040,CJ,2024,Q3,2024-11-14
1040,CJ,2024,Q4,2025-03-20
1120,LG상사,2015,Q4,2016-03-30
1120,LG상사,2016,Q1,2016-05-16
1120,LG상사,2016,Q2,2016-08-16
1120,LG상사,2016,Q3,2016-11-14
1120,LG상사,2016,Q4,2017-03-31
1120,LG상사,2017,Q1,2017-06-08
1120,LG상사,2017,Q2,2017-08-14
1120,LG상사,2017,Q3,2017-11-14
1120,LG상사,2017,Q4,2018-03-30
1120,LG상사,2018,Q1,2018-08-14
1120,LG상사,2018,Q2,2018-08-14
1120,LG상사,2018,Q3,2018-11-14
1120,LG상사,2018,Q4,2019-04-01
1120,LG상사,2019,Q1,2019-05-15
1120,LG상사,2019,Q2,2019-08-14
1120,LG상사,2019,Q3,2019-11-14
1120,LG상사,2019,Q4,2020-03-30
1120,LG상사,2020,Q1,2020-05-18
1120,LG상사,2020,Q2,2020-08-14
1120,LG상사,2020,Q3,2020-11-16
1120,LG상사,2020,Q4,2021-03-16
1120,LG상사,2021,Q1,2021-05-17
1120,LG상사,2021,Q2,2021-08-17
1120,LG상사,2021,Q3,2021-11-15
1120,LG상사,2021,Q4,2022-03-16
1120,LG상사,2022,Q1,2022-05-16
1120,LG상사,2022,Q2,2022-08-16
1120,LG상사,2022,Q3,2022-11-14
1120,LG상사,2022,Q4,2023-03-15
1120,LG상사,2023,Q1,2023-05-15
1120,LG상사,2023,Q2,2023-08-14
1120,LG상사,2023,Q3,2023-11-14
1120,LG상사,2023,Q4,2024-03-20
1120,LG상사,2024,Q1,2024-05-16
1120,LG상사,2024,Q2,2024-08-14
1120,LG상사,2024,Q3,2024-11-14
1120,LG상사,2024,Q4,2025-03-20
