code,name,sector
50,Kyungbang,
80,Hite_Jinro,
100,Yuhan_Corporation,
120,CJ_Logistics,
150,Doosan_Corp,
210,DL_Holdings,
230,Ildong_Pharmaceutical,
240,Hankook_Tire_Worldwide,
270,Kia_Corp,
480,Chosun_Refractories,
640,Dong-A_Socio_Holdings,
660,S_hynix,
670,Youngpoong,
720,Hyundai_E&C,
880,Hanwha_Corp,
1040,CJ_Corp,
1120,LG_International,
1230,Dongkuk_Steel,
1430,SeAH_Besteel,
1680,Daesang,
1740,SK_Networks,
1800,Orion_Corp,
2240,KIS_Wire,
2350,Nexen_Tire,
2380,KCC,
2790,AmoreG,
2960,Korea_Shell_Petroleum,
3000,Bukwang_Pharmaceutical,
3030,SeAH_Steel,
3200,Ilshin_Spinning,
3240,Taekwang_Industrial,
3300,Hanil_Cement,
3410,Ssangyong_Cement,
3490,Korean_Air,
3520,Youngjin_Pharmaceutical,
3550,LG_Corp,
3570,S&T_Heavy_Industries,
3620,SsangYong_Motor,
3920,Namyang_Dairy_Products,
4000,Samsung_Fine Chemicals,
4020,Hyundai_Steel,
4150,Hansol_Holdings,
4170,Shinsegae,
4370,Nongshim,
4490,SEBANG_Global_Battery,
4700,Chokwang_Leather,
4710,Hansol_Technics,
4800,Hyosung,
5090,Samkwang_Glass,
5180,Binggrae,
5300,Lotte_Chilsung_Beverage,
5380,Hyundai_Motor,
5440,Hyundai_Green_Food,
5490,POSCO_Holdings,
5610,SPC_Samlip,
5740,Crown_Confectionery,
5850,SL_Corp,
5930,Samsung_Electronics,
6120,SK_Chemicals,
6260,LS_Corp,
6280,GC_Biopharma,
6400,Samsung_SDI,
6650,Korea_Petrochemical_Ind,
7070,GS_Retail,
7310,Ottogi,
7340,Dong-A_Tire,
7570,Ilyang_Pharmaceutical,
7690,Kukdo_Chemical,
7860,Seoyon,
8060,Daeduck_Electronics,
8490,Seohung,
8770,Hotel_Shilla,
9150,Samsung_Electro-Mechanics,
9240,Hanssem,
9290,Kwang_Dong_Pharmaceutical,
9540,Hyundai_Heavy_Industries,
9580,Moorim_P&P,
9680,Motonic,
9830,Hanwha_Solutions,
10060,OCI,
10120,LS_Electric,
10130,Korea_Zinc,
10140,Samsung_Heavy Industries,
10620,Hyundai_Mipo_Dockyard,
10690,Hwashin,
10780,IS_Dongseo,
10950,S-Oil,
11070,LG_Innotek,
11170,Lotte_Chemical,
11200,Hyundai_Merchant_Marine,
11210,Hyundai_WIA,
11780,Kumho_Petrochemical,
11790,SKC,
12330,Hyundai_Mobis,
12450,Hanwha_Aerospace,
12630,Hyundai_Development_Company,
12750,S-1_Corporation,
14680,Hansol_Chemical,
14820,Dongwon_Systems,
14830,UNID,
15760,Korea_Electric_Power_Corporation_(KEPCO),
17670,SK_Telecom,
17800,Hyundai_Elevator,
18260,Samsung_SDS,
18880,Hanon_Systems,
19680,Daekyo,
20000,Hansum,
20150,Iljin_Materials,
21240,Coway,
23530,Lotte_Shopping,
25540,Korea_Electric_Terminal,
25860,Namhae_Chemical,
28050,Samsung_Engineering,
28260,Samsung_C&T,
29530,Sindoh,
30000,Cheil_Worldwide,
30200,KT_Corp,
32640,LG_Uplus,
33530,Sejong_Industrial,
33780,KT&G,
33920,Muhak,
34020,Doosan_Heavy_Industries,
34120,SBS_Media,
34220,LG_Display,
34730,SK_Holdings,
35250,Kangwon_Land,
35420,NAVER_Corp,
36460,Korea_Gas_Corporation,
36570,NCSOFT,
36580,Farmsco,
42660,Daewoo_Shipbuilding_&_Marine_Engineering,
42670,Doosan_Infracore,
42700,Hanmi_Semiconductor,
47040,Daewoo_E&C,
47050,Daewoo_International,
47810,Korea_Aerospace_Industries,
49770,Dongwon_F&B,
51600,KEPCO_KPS,
51900,LG_Household & Health Care,
51910,LG_Chem,
52690,KEPCO_E&C,
60980,Halla_Holdings,
64350,Hyundai_Rotem,
64960,S&T_Motiv,
66570,LG_Electronics,
69260,Huchems,
69620,Daewoong_Pharmaceutical,
69960,Hyundai_Department_Store,
73240,Kumho_Tire,
78520,Able_C&C,
78930,GS_Holdings,
79430,Hyundai_Livart,
79980,Huvepharma,
82740,Doosan_Engine,
84870,Basic_House,
86280,Hyundai_Glovis,
90430,Amorepacific,
93050,LF_Corp,
93370,Huvis,
96770,SK_Innovation,
97230,HHI_Heavy_Industries,
97950,CJ_CheilJedang,
103140,Poongsan,
104700,Korea_Steel,
105630,Hansea,
108670,LG_Hausys,
111770,Youngone_Corporation,
114090,GKL,
115390,Lock_&_Lock,
120110,Kolon_Industries,
128940,Hanmi_Pharmaceutical,
139480,Emart,
145990,Samyang_Foods,
161390,Hankook_Tire_&_Technology,
161890,KOLMAR_Korea,
170900,Dong-A_ST,
185750,Jongkundang,
192820,COSMAX,
