날짜,시가,고가,저가,종가,거래량,등락률,SMA_20,SMA_60,EMA_20,RSI,BB_UPPER,BB_MIDDLE,BB_LOWER,MACD,MACD_SIGNAL,MACD_HIST,STOCH_SLOWK,STOCH_SLOWD,OBV
2020-03-02,60300,61200,59600,60100,711979,-0.4966887417218543,,,,,,,,,,,,,711979.0
2020-03-03,61500,61700,60000,60200,587763,0.1663893510815307,,,,,,,,,,,,,1299742.0
2020-03-04,60100,61200,60100,60600,520867,0.6644518272425249,,,,,,,,,,,,,1820609.0
2020-03-05,61300,61900,60800,61500,573595,1.4851485148514851,,,,,,,,,,,,,2394204.0
2020-03-06,60900,61100,60200,60300,542438,-1.951219512195122,,,,,,,,,,,,,1851766.0
2020-03-09,59000,59300,57500,57800,1001568,-4.1459369817578775,,,,,,,,,,,,,850198.0
2020-03-10,58800,61400,58400,60000,1500440,3.8062283737024223,,,,,,,,,,,,,2350638.0
2020-03-11,60000,61000,58100,59000,938290,-1.6666666666666667,,,,,,,,,,,,,1412348.0
2020-03-12,58900,58900,55000,55500,1649095,-5.932203389830509,,,,,,,,,,,32.90719696969697,32.28000109793587,-236747.0
2020-03-13,51100,54500,50600,52500,1968749,-5.405405405405405,,,,,,,,,,,19.832000561167224,28.43831836887392,-2205496.0
2020-03-16,53100,54200,50400,50400,948845,-4.0,,,,,,,,,,,8.46836419753086,20.402520576131682,-3154341.0
2020-03-17,48000,52000,48000,49450,1004008,-1.8849206349206349,,,,,,,,,,,9.582146248812911,12.627503669170329,-4158349.0
2020-03-18,50200,50800,47700,48000,886739,-2.932254802831143,,,,,,,,,,,4.610805860805857,7.553772102383206,-5045088.0
2020-03-19,48900,49600,43650,43650,1601945,-9.0625,,,,,,,,,,,4.610805860805857,6.267919323474872,-6647033.0
2020-03-20,44600,45700,43550,45100,1539670,3.3218785796105386,,,,20.119521912350596,,,,,,,5.744187346300019,4.988599689303908,-5107363.0
2020-03-23,42350,42850,41600,41850,1186795,-7.206208425720622,,,,17.65734265734266,,,,,,,5.652612254724928,5.335868487276932,-6294158.0
2020-03-24,42700,44450,42200,44400,1316623,6.093189964157706,,,,25.374071851796298,,,,,,,15.797539790956812,9.06477979732725,-4977535.0
2020-03-25,48400,48850,46800,48500,1506779,9.234234234234236,,,,35.7929190141719,,,,,,,39.69620958751393,20.38212054439855,-3470756.0
2020-03-26,49450,51300,48600,49000,1377158,1.0309278350515465,,,,36.94901169319837,,,,,,,64.32448080083668,39.93941005976914,-2093598.0
2020-03-27,51300,51500,48000,49400,1110394,0.8163265306122449,52862.5,,52862.5,37.91215515380761,65834.77331657794,52862.5,39890.226683422065,,,,80.44217952723106,61.48762330519389,-983204.0
2020-03-30,48400,49200,47100,48500,937027,-1.8218623481781373,52282.5,,52447.02380952381,36.55896095441887,64942.05271721714,52282.5,39622.94728278286,,,,74.27282468852138,73.01316167219638,-1920231.0
2020-03-31,49100,49500,47600,48200,1106424,-0.6185567010309279,51682.5,,52042.54535147392,36.09646308890902,63914.436682308326,51682.5,39450.563317691674,,,,58.772349438100974,71.16245121795114,-3026655.0
2020-04-01,48250,50800,47850,48100,1298461,-0.2074688796680498,51057.5,,51667.06484180974,35.933279615050914,62664.4063492388,51057.5,39450.5936507612,,,,40.08548075123229,57.71021829261823,-4325116.0
2020-04-02,49100,50000,48500,49300,1071663,2.494802494802495,50447.5,,51441.630094970715,39.46959533237316,61032.41733552983,50447.5,39862.58266447017,,,,34.17150225660863,44.34311081531397,-3253453.0
2020-04-03,50100,51200,49200,49850,963015,1.1156186612576064,49925.0,,51290.04627640208,41.074999047116165,59496.07621952725,49925.0,40353.92378047275,,,,46.60014781966001,40.28571027583365,-2290438.0
2020-04-06,50400,51100,49900,51100,868309,2.507522567703109,49590.0,,51271.94663103045,44.66692596056327,58479.859391463964,49590.0,40700.140608536036,,,,71.43179765130985,50.73448257585951,-1422129.0
2020-04-07,52500,55600,50900,54500,2123508,6.653620352250488,49315.0,,51579.38028521802,53.050225617636336,57181.07271769083,49315.0,41448.92728230917,,,,83.3672815222776,67.13307566441583,701379.0
2020-04-08,54800,54800,53300,53300,1593974,-2.201834862385321,49030.0,,51743.248829482975,50.16161681387834,55809.852505770315,49030.0,42250.147494229685,,,,83.54476921264745,79.44794946207831,-892595.0
2020-04-09,54200,54300,53300,54200,926771,1.6885553470919326,48965.0,,51977.22513143698,52.26113449312334,55516.572330364674,48965.0,42413.427669635326,,,,77.1790284719067,81.36369306894392,34176.0
2020-04-10,54100,54100,53300,53800,687486,-0.7380073800738007,49030.0,,52150.82273796679,51.22821381914695,55744.3428568997,49030.0,42315.6571431003,,,,71.38389547813195,77.36923105422869,-653310.0
2020-04-13,53800,54100,52800,53200,626957,-1.1152416356877324,49170.0,,52250.74438196995,49.64323255696841,56105.87773825346,49170.0,42234.12226174654,,,,65.16074094811496,71.24122163271785,-1280267.0
2020-04-14,53600,53900,53000,53600,922591,0.7518796992481203,49377.5,,52379.24491702043,50.737503235920336,56577.741315400475,49377.5,42177.258684599525,,,,52.452407614781634,62.99901468034284,-357676.0
2020-04-16,53100,53600,52500,53500,788724,-0.1865671641791044,49652.5,,52485.983496351815,50.44239096047413,57039.00627834296,49652.5,42265.99372165704,,,,48.1639085894405,55.259019050779024,-1146400.0
2020-04-17,54300,55900,53900,54500,1414373,1.8691588785046729,50195.0,,52677.79459193736,53.36363322415993,57327.804497531106,50195.0,43062.195502468894,-604.7902614221239,-2042.56186081901,1437.7715993968861,51.45969498910676,50.69200373110962,267973.0
