날짜,시가,고가,저가,종가,거래량,등락률,SMA_20,SMA_60,EMA_20,RSI,BB_UPPER,BB_MIDDLE,BB_LOWER,MACD,MACD_SIGNAL,MACD_HIST,STOCH_SLOWK,STOCH_SLOWD,OBV
2020-03-02,6940,7260,6910,7140,390256,2.145922746781116,,,,,,,,,,,,,390256.0
2020-03-03,7360,7430,7130,7180,391003,0.5602240896358543,,,,,,,,,,,,,781259.0
2020-03-04,7100,7500,7100,7500,335806,4.456824512534819,,,,,,,,,,,,,1117065.0
2020-03-05,7610,7630,7360,7500,319350,0.0,,,,,,,,,,,,,1117065.0
2020-03-06,7470,7500,7310,7410,169123,-1.2,,,,,,,,,,,,,947942.0
2020-03-09,7160,7330,6930,6980,316809,-5.802968960863698,,,,,,,,,,,,,631133.0
2020-03-10,6750,7030,6730,7030,298366,0.7163323782234957,,,,,,,,,,,,,929499.0
2020-03-11,7030,7080,6520,6560,469648,-6.685633001422476,,,,,,,,,,,,,459851.0
2020-03-12,6420,6560,5890,5980,617372,-8.841463414634147,,,,,,,,,,,14.175666349579387,21.836380894351905,-157521.0
2020-03-13,5350,5540,4875,5390,1411872,-9.866220735785951,,,,,,,,,,,10.057087485583006,12.975339509475694,-1569393.0
2020-03-16,5500,5720,5020,5020,688543,-6.864564007421151,,,,,,,,,,,11.047874190655426,11.760209341939273,-2257936.0
2020-03-17,4610,5050,4610,4900,705262,-2.3904382470119523,,,,,,,,,,,13.098150382808049,11.401037353015495,-2963198.0
2020-03-18,4910,5040,4400,4400,596551,-10.20408163265306,,,,,,,,,,,6.105618135693317,10.083880903052265,-3559749.0
2020-03-19,4455,4600,3600,3695,1126339,-16.022727272727273,,,,,,,,,,,5.407340921243596,8.203703146581654,-4686088.0
2020-03-20,3740,4390,3735,4390,776204,18.80920162381597,,,,22.278225806451616,,,,,,,13.915094339622634,8.476017798853183,-3909884.0
2020-03-23,3905,4070,3795,3890,571291,-11.389521640091116,,,,20.096530498041414,,,,,,,20.5817610062893,13.30139875571851,-4481175.0
2020-03-24,4080,4280,3955,4210,487117,8.226221079691516,,,,25.148695511915808,,,,,,,33.20842068483577,22.56842534358257,-3994058.0
