,name,sector,year,quarter,자본총계변화율,Relative Return,매출액변화율,이익잉여금변화율,비유동부채변화율,유동자산변화율,Label,Code
9,Kyungbang,Materials_&_Chemicals,2022,Q2,-7.319994111187889e-05,0.23943901702084805,0.05819065838904869,-7.355989265178664e-05,0.02764048822019749,-0.13124569751590376,-0.06870915080982809,000050
10,Chosun_Refractories,Materials_&_Chemicals,2022,Q2,0.024254162971195314,0.07203160961344064,-0.014276027974252203,-0.03162022344809268,0.04901056267699688,0.027155860927306152,0.1498791080107003,000480
9,S_hynix,Technology,2022,Q2,-0.051842287960773836,-0.026621589039758017,-0.13763873936646442,-0.057146376239387564,-0.15923209782299397,-0.044008105368629424,-0.06624782872825283,000660
9,Youngpoong,Materials_&_Chemicals,2022,Q2,-0.00497141778870791,0.1377216530485017,-0.24917427425803074,-0.00494612295622221,0.02287231757590713,0.09163862649213894,-0.07794422946288784,000670
9,Dongkuk_Steel,Materials_&_Chemicals,2022,Q2,-0.006597337102825618,0.13295764505159907,-0.08558858085986665,-0.053176349932853695,0.04303944109175972,-0.14748868348829403,-0.0722320016496743,001230
9,SeAH_Besteel,Materials_&_Chemicals,2022,Q2,0.04771753002406187,0.011599821040948546,0.9980958200082215,0.06736778900573648,0.6936278318644902,0.9882052636649443,-0.014295876776300898,001430
9,KIS_Wire,Materials_&_Chemicals,2022,Q2,-0.009800740773093342,0.19968876187286222,-0.07264133659083005,-0.01009503734190087,-0.012320131143208846,-0.01066493566184179,0.11261730040216382,002240
9,KCC,Materials_&_Chemicals,2022,Q2,-0.02125855527996756,0.16515330273513376,-0.168135728245687,-0.02804075131072792,-0.08171780989344146,-0.04189333186959532,0.0015626287880870227,002380
9,Korea_Shell_Petroleum,Energy_&_Utilities,2022,Q2,-0.08431382282525246,0.06390503643832378,-0.12047931662687072,-0.09059022257352622,-0.06101481589752433,0.06498825292343624,0.1245402088181344,002960
9,SeAH_Steel,Materials_&_Chemicals,2022,Q2,-0.001158832316958236,0.2168797753146869,0.8585160428707439,-0.0014438648254975206,0.012354146905841024,0.5291974772633765,0.31497020939355097,003030
9,Ilshin_Spinning,Materials_&_Chemicals,2022,Q2,-0.00794987904810851,0.16355116655355834,0.13028562311322778,-0.008221071333779806,-0.04458951373456643,0.003100763620665359,-0.05268361516403927,003200
9,Hanil_Cement,Materials_&_Chemicals,2022,Q2,-0.07127913255417839,0.04240197998381101,0.8856495078718127,-0.03212962944536213,0.838905669970986,-0.02646986391251538,-0.00877656436043675,003300
9,Ssangyong_Cement,Materials_&_Chemicals,2022,Q2,0.021074826255025214,0.1468838938042462,-0.2573516556082076,0.020961009496457628,0.025357354821666345,0.12979998745180354,0.0015626287880870227,003410
