,name,sector,year,quarter,자본총계변화율,Relative Return,매출액변화율,이익잉여금변화율,비유동부채변화율,유동자산변화율,Label,Code
13,Kyungbang,Materials_&_Chemicals,2021,Q2,-0.0007203299771900706,0.007599486521180948,-0.1724515818260095,-0.005165816576468973,0.013420883212363122,-0.04803341267092942,0.027146116431830798,000050
14,Chosun_Refractories,Materials_&_Chemicals,2021,Q2,-0.08379124596242193,-0.04696082334990784,0.030128934925684248,-0.057775907998172116,-0.09517545068511257,0.20325461622947116,0.049418843704558076,000480
13,S_hynix,Technology,2021,Q2,-0.04681215169030373,-0.0013142170736863273,-0.22714935382507973,-0.04327359385995133,-0.07775509357663934,-0.07651393693350261,-0.12848629463536287,000660
13,Youngpoong,Materials_&_Chemicals,2021,Q2,-0.00721359424695156,0.028413936089019418,-0.08741492933003858,-0.007155265214077167,-0.006496172225048724,-0.019424154484484424,0.059284748425178925,000670
13,Dongkuk_Steel,Materials_&_Chemicals,2021,Q2,-0.08176790630498898,0.6154245573902136,-0.30966612494297596,-0.19448464363902374,-0.14934233073009828,-0.20459893344617974,0.580043838794163,001230
13,SeAH_Besteel,Materials_&_Chemicals,2021,Q2,-0.03152837834780531,0.668073614626948,-0.21970481129551356,-0.047450050783380826,0.006008102501117163,-0.15882835088921854,0.647332565371631,001430
13,KIS_Wire,Materials_&_Chemicals,2021,Q2,-0.008509185793398988,0.3871646786838084,-0.1323529623701749,-0.007799811136542045,-0.035674625560887296,-0.005583083190845439,0.13439311471656493,002240
13,KCC,Materials_&_Chemicals,2021,Q2,-0.03844894841836388,0.13696040038348412,-0.15143499928712467,-0.0402725420436425,-0.10630147564705195,0.10463709999244508,0.3969677504939712,002380
13,Korea_Shell_Petroleum,Energy_&_Utilities,2021,Q2,-0.08019102175010406,-0.08882705913962449,-0.07682486690074675,-0.08781133263257668,-0.10954859550185447,0.07927028799707814,0.0910269567070934,002960
13,SeAH_Steel,Materials_&_Chemicals,2021,Q2,-0.0011747466088687375,0.16847130800535326,0.7265619356291466,-0.0009958155317673079,-0.03717646770863703,0.6368113011184764,0.3250961246812946,003030
13,Ilshin_Spinning,Materials_&_Chemicals,2021,Q2,-0.024772888379403613,0.11435134190338815,-0.02730741923580693,-0.02571060664298619,0.023805691442498778,-0.05864336259130476,0.07577862798807117,003200
