,name,sector,year,quarter,자본총계변화율,Relative Return,매출액변화율,이익잉여금변화율,비유동부채변화율,유동자산변화율,Label,Code
24,Kyungbang,Materials_&_Chemicals,2018,Q3,-0.006049755725894501,0.03967232855875262,0.08114584122550939,-0.008435571417007237,-0.6713314452576229,-0.04722125325241344,-0.07274732285193074,000050
25,Chosun_Refractories,Materials_&_Chemicals,2018,Q3,-0.011008759022308467,0.0765148803062925,0.022489216885257735,-0.021014121050420442,0.12849725385843436,0.05052484395798962,-0.02567500181216923,000480
24,S_hynix,Technology,2018,Q3,-0.07269134859195692,0.09934622259617176,-0.10544827720045191,-0.1421800767848882,-0.035655263194535936,-0.19006029360466092,-0.14464696442899166,000660
24,Youngpoong,Materials_&_Chemicals,2018,Q3,0.009318252174369324,-0.07502151268878574,0.09156337497093014,0.009274575163597198,0.023222067654639078,0.059612395935268236,-0.033539199608361915,000670
24,Dongkuk_Steel,Materials_&_Chemicals,2018,Q3,0.003367725988569603,-0.10982856523812995,0.0050210825001894,0.006474887996020695,0.15981936181078416,-0.0021475234566092904,0.11586222934752885,001230
24,SeAH_Besteel,Materials_&_Chemicals,2018,Q3,0.0006856717223764353,-0.11335607578544118,0.019749552039205698,0.0009494716715194862,-0.029471880362411662,0.0036084112504508603,-0.09555605533808258,001430
24,KIS_Wire,Materials_&_Chemicals,2018,Q3,-0.001934955950746886,0.00935756126793743,0.06826315338651623,-0.0022517277539828573,-0.030229243750469648,-0.012602394499126701,-0.08933341459696478,002240
24,KCC,Materials_&_Chemicals,2018,Q3,-0.05616902516580091,-0.0002613620167328315,0.08466384177925235,-0.06113559254257672,-0.06386701103660775,-0.014899388471498964,0.028891833688835154,002380
24,Korea_Shell_Petroleum,Energy_&_Utilities,2018,Q3,-0.03257876690316985,0.09162372767510019,0.07118820604153486,-0.03554635867310085,-2.4275870233597403,-0.16651756967002762,-0.030287990070017305,002960
24,SeAH_Steel,Materials_&_Chemicals,2018,Q3,0.4691293139478039,-0.034948636389568105,1.4192583394448137,-0.09916028609696825,0.8532609817106427,0.9081122925650839,-0.09856035868527144,003030
