code
000050
000480
000670
001230
001430
002240
002380
003030
003200
003300
003410
004000
004020
005490
006650
007690
009580
009830
010060
010130
011170
011780
011790
014680
020150
025860
051910
069260
093370
103140
104700
108670
120110
