observation_date,IRLTLT01KRQ156N
2015-10-01,2.1743333333333301
2016-01-01,1.9016666666666699
2016-04-01,1.7380000000000002
2016-07-01,1.4433333333333302
2016-10-01,1.9066666666666696
2017-01-01,2.1650000000000000
2017-04-01,2.2013333333333303
2017-07-01,2.2749999999999999
2017-10-01,2.4889999999999999
2018-01-01,2.7013333333333303
2018-04-01,2.6893333333333302
2018-07-01,2.4406666666666696
2018-10-01,2.1796666666666700
2019-01-01,1.9773333333333301
2019-04-01,1.7783333333333302
2019-07-01,1.3933333333333302
2019-10-01,1.6599999999999999
2020-01-01,1.5603333333333302
2020-04-01,1.4299999999999999
2020-07-01,1.4110000000000000
2020-10-01,1.5973333333333302
2021-01-01,1.8720000000000001
2021-04-01,2.0916666666666699
2021-07-01,1.9806666666666699
2021-10-01,2.3136666666666699
2022-01-01,2.6553333333333300
2022-04-01,3.3846666666666700
2022-07-01,3.5063333333333300
2022-10-01,3.9076666666666697
2023-01-01,3.4363333333333301
2023-04-01,3.4440000000000000
2023-07-01,3.8300000000000001
2023-10-01,3.8590000000000000
2024-01-01,3.3906666666666667
2024-04-01,3.4770000000000003
2024-07-01,3.0603333333333338
