연도,분기,소비자물가지수,환율,GDP,금리,수출액,실업률,국제유가,주택가격
2015,Q4,97.92304,1155.5391666666667,486072500,2.17433333333333,147369600000000.0,3.1,43.57,3.3948
2016,Q1,91.74012,1200.3731333333333,450098900,1.9016666666666695,143777100000000.0,4.266666666666667,33.696666666666665,3.2943
2016,Q2,91.0499,1161.5964999999999,474126600,1.7380000000000002,144995100000000.0,3.6999999999999997,45.52333333333333,2.1363
2016,Q3,87.68356,1119.7490333333333,474405100,1.4433333333333302,137655100000000.0,3.533333333333333,45.78666666666667,1.272
2016,Q4,92.08331,1157.9813333333334,499920500,1.9066666666666696,149859900000000.0,3.1999999999999997,49.18666666666667,0.0535
2017,Q1,94.06654,1151.1521666666667,465693600,2.165,158474900000000.0,4.233333333333333,53.68,-0.9442
2017,Q2,93.64363,1130.0526,488383000,2.2013333333333303,164924200000000.0,3.8666666666666667,49.669999999999995,-0.6753
2017,Q3,92.81679,1131.205,493865800,2.275,170572100000000.0,3.4333333333333336,52.10999999999999,-0.7092
2017,Q4,94.46662,1104.5267666666666,515789600,2.489,156766900000000.0,3.1999999999999997,61.53,-0.2158
2018,Q1,95.18025,1071.3525,480607400,2.7013333333333303,160576000000000.0,4.266666666666667,66.80666666666666,0.5301
2018,Q2,95.62005,1079.6866333333335,504711600,2.6893333333333302,164210000000000.0,3.9333333333333336,74.5,0.4589
2018,Q3,95.47661,1120.8166333333331,506697600,2.4406666666666696,172194300000000.0,3.766666666666667,75.22333333333334,0.5646
2018,Q4,97.34011,1126.4614666666666,534085800,2.17966666666667,170772500000000.0,3.3666666666666667,67.71333333333332,1.4221
2019,Q1,90.16705,1124.5879333333332,489586800,1.97733333333333,153896500000000.0,4.5,63.169999999999995,2.1048
2019,Q2,94.31666000000001,1166.3007333333333,516735400,1.7783333333333302,162944900000000.0,4.133333333333334,68.92333333333333,1.2178
2019,Q3,92.89355,1193.9090666666668,517949800,1.3933333333333302,160682200000000.0,3.3333333333333335,61.93,1.0566
2019,Q4,96.27648,1175.1504666666667,548710300,1.66,156763100000000.0,3.1666666666666665,63.410000000000004,-0.2114
2020,Q1,96.24832,1193.6642333333332,495398300,1.5603333333333302,159581200000000.0,4.133333333333333,50.44,0.1183
2020,Q2,87.45537,1219.4035999999999,503114200,1.43,136760400000000.0,4.333333333333333,29.343333333333334,2.4209
2020,Q3,85.23268,1187.4455666666665,513715600,1.411,153347500000000.0,3.5666666666666664,42.96333333333333,3.7773
2020,Q4,86.69669,1117.8845000000001,546238300,1.5973333333333302,155704800000000.0,3.733333333333333,44.29,6.6525
2021,Q1,91.24876,1113.4349,508120900,1.872,166965100000000.0,4.966666666666667,60.82,8.742499999999998
2021,Q2,94.1264,1121.3731,538355500,2.0916666666666694,177822200000000.0,3.9333333333333336,68.83333333333333,10.2629
2021,Q3,95.71191,1160.0694333333333,537521300,1.9806666666666697,190159000000000.0,2.8333333333333335,73.47,12.2699
2021,Q4,101.4672,1183.2790333333332,569425300,2.3136666666666694,205794800000000.0,2.966666666666667,79.58666666666666,11.7368
2022,Q1,104.6649,1205.3326666666665,525232600,2.65533333333333,213748100000000.0,3.5,100.29666666666667,8.3505
2022,Q2,118.3152,1260.4557,554270000,3.38466666666667,225835700000000.0,3.0,113.54333333333334,3.7923
2022,Q3,115.9413,1341.2715333333333,555965800,3.50633333333333,232112000000000.0,2.466666666666667,100.71333333333332,-0.5492
2022,Q4,116.3474,1360.4726333333333,576690600,3.9076666666666697,212580800000000.0,2.5666666666666664,88.55666666666667,-5.0199
2023,Q1,114.4477,1274.8356999999999,532318000,3.43633333333333,198768100000000.0,3.1999999999999997,81.17333333333333,-8.5327
2023,Q2,114.5188,1315.5961333333335,560882100,3.444,205887800000000.0,2.733333333333333,78.31666666666666,-9.76
2023,Q3,115.6183,1312.7588666666668,564472100,3.83,206204000000000.0,2.3333333333333335,86.66000000000001,-10.1343
2023,Q4,119.4206,1321.3518666666666,589505500,3.859,218376200000000.0,2.5666666666666664,83.72333333333333,-8.744799999999998
2024,Q1,116.3385,1329.6405333333332,550377700,3.3906666666666667,223547500000000.0,3.3000000000000003,83.00333333333333,-5.6287
2024,Q2,117.9447,1370.5440666666666,573463800,3.4770000000000003,236532100000000.0,2.966666666666667,84.64666666666666,-3.5337
2024,Q3,116.8215,1354.7298,572424900,3.060333333333334,235305500000000.0,2.1666666666666665,79.84333333333333,-2.3596
2024,Q4,117.7521,1399.1286,595936000,2.949,240531100000000.0,2.766666666666667,74.61333333333333,-1.652
2025,Q1,121.2906,1451.7767666666666,550232400,2.815333333333333,238444800000000.0,3.3333333333333335,75.81333333333333,-2.2029
2025,Q2,,1398.6309333333331,576399900,2.7366666666666672,246798300000000.0,2.8333333333333335,68.00666666666666,
