,name,year,quarter,sector,Relative Return,국제유가 변화율,보유 주식 수 변화율,1인평균급여 변화율,실업률 변화율,기초 소유 주식 수 변화율,금리 변화율,Label,Code
1,하이트진로,2024,Q3,생활소비재,0.06823672954739804,-0.05674568795778523,0.0,0.0,-0.09523809523809512,0.0,-0.11983510689291532,-0.09038091063838459,000080
1,조선내화,2024,Q3,철강_소재,0.08784612279377998,-0.05674568795778523,0.0,0.0,-0.09523809523809512,0.0,-0.11983510689291532,-0.09158966033966043,000480
1,영풍,2024,Q3,철강_소재,0.5465368830365995,-0.05674568795778523,0.0,0.0,-0.09523809523809512,0.0,-0.11983510689291532,0.06005069000824606,000670
1,CJ,2024,Q3,생활소비재,-0.059163245803340925,-0.05674568795778523,0.0,0.0,-0.09523809523809512,0.0,-0.11983510689291532,0.2627874954263843,001040
1,동국제강,2024,Q3,철강_소재,0.049555744786907135,-0.05674568795778523,0.0,0.0,-0.09523809523809512,0.0,-0.11983510689291532,-0.057277013527013546,001230
1,세아베스틸,2024,Q3,철강_소재,0.3329772278839628,-0.05674568795778523,0.0,0.0,-0.09523809523809512,0.0,-0.11983510689291532,-0.17445068944508407,001430
1,대상,2024,Q3,생활소비재,-0.09678073320051425,-0.05674568795778523,0.0,0.0,-0.09523809523809512,0.0,-0.11983510689291532,0.20304523791053117,001680
1,오리온,2024,Q3,생활소비재,0.12731873388248122,-0.05674568795778523,0.0,0.0,-0.09523809523809512,0.0,-0.11983510689291532,-0.12474259231334706,001800
1,고려제강,2024,Q3,철강_소재,0.06741695319321186,-0.05674568795778523,0.0,0.0,-0.09523809523809512,0.0,-0.11983510689291532,-0.06569340174750632,002240
1,아모레G,2024,Q3,생활소비재,0.0063917608834866135,-0.05674568795778523,0.0,0.0,-0.09523809523809512,0.0,-0.11983510689291532,-0.09334782864194635,002790
1,세아제강,2024,Q3,철강_소재,0.19260601248470607,-0.05674568795778523,0.0,0.0,-0.09523809523809512,0.0,-0.11983510689291532,0.4299323864541255,003030
1,남양유업,2024,Q3,생활소비재,0.4641145683163189,-0.05674568795778523,0.0,0.0,-0.09523809523809512,0.0,-0.11983510689291532,0.0,003920
1,현대제철,2024,Q3,철강_소재,-0.043175915444753105,-0.05674568795778523,0.0,0.0,-0.09523809523809512,0.0,-0.11983510689291532,0.2755988197848662,004020
1,농심,2024,Q3,생활소비재,-0.07293287864881526,-0.05674568795778523,0.0,0.0,-0.09523809523809512,0.0,-0.11983510689291532,0.04113043818926176,004370
1,삼광글라스,2024,Q3,철강_소재,0.05594463367579603,-0.05674568795778523,0.0,0.0,-0.09523809523809512,0.0,-0.11983510689291532,-0.11843156843156838,005090
1,빙그레,2024,Q3,생활소비재,-0.11972007385289135,-0.05674568795778523,0.0,0.0,-0.09523809523809512,0.0,-0.11983510689291532,0.45924619934520927,005180
1,롯데칠성,2024,Q3,생활소비재,-0.12846413187448424,-0.05674568795778523,0.0,0.0,-0.09523809523809512,0.0,-0.11983510689291532,-0.06301574313110829,005300
1,현대그린푸드,2024,Q3,생활소비재,0.18270638957002555,-0.05674568795778523,0.0,0.0,-0.09523809523809512,0.0,-0.11983510689291532,0.05270023692154836,005440
1,POSCO,2024,Q3,철강_소재,-0.0031877864155281654,-0.05674568795778523,0.0,0.0,-0.09523809523809512,0.0,-0.11983510689291532,-0.019752738610870058,005490
1,삼립식품,2024,Q3,생활소비재,-0.032944255213092855,-0.05674568795778523,0.0,0.0,-0.09523809523809512,0.0,-0.11983510689291532,0.08493895810072279,005610
1,크라운제과,2024,Q3,생활소비재,-0.007127261749040575,-0.05674568795778523,0.0,0.0,-0.09523809523809512,0.0,-0.11983510689291532,-0.08419982794982804,005740
1,GS리테일,2024,Q3,생활소비재,0.08145056787194851,-0.05674568795778523,0.0,0.0,-0.09523809523809512,0.0,-0.11983510689291532,-0.18960436985019197,007070
1,오뚜기,2024,Q3,생활소비재,0.03902453230191315,-0.05674568795778523,0.0,0.0,-0.09523809523809512,0.0,-0.11983510689291532,-0.04256229881229883,007310
1,무림P&P,2024,Q3,철강_소재,-0.07226464356260742,-0.05674568795778523,0.0,0.0,-0.09523809523809512,0.0,-0.11983510689291532,0.08373467084097,009580
1,고려아연,2024,Q3,철강_소재,1.3240690380008862,-0.05674568795778523,0.0,0.0,-0.09523809523809512,0.0,-0.11983510689291532,-0.36534667158399414,010130
1,한국전력,2024,Q3,생활소비재,0.2649357861519537,-0.05674568795778523,0.0,0.0,-0.09523809523809512,0.0,-0.11983510689291532,-0.10036977220997267,015760
1,KT&G,2024,Q3,생활소비재,0.31822761978690717,-0.05674568795778523,0.0,0.0,-0.09523809523809512,0.0,-0.11983510689291532,-0.3040799139884506,033780
1,무학,2024,Q3,생활소비재,0.06045197120200148,-0.05674568795778523,0.0,0.0,-0.09523809523809512,0.0,-0.11983510689291532,0.04132659007659005,033920
1,한국가스공사,2024,Q3,생활소비재,-0.027917800186637837,-0.05674568795778523,0.0,0.0,-0.09523809523809512,0.0,-0.11983510689291532,-0.20923502173502176,036460
1,팜스코,2024,Q3,생활소비재,-0.08207382290383906,-0.05674568795778523,0.0,0.0,-0.09523809523809512,0.0,-0.11983510689291532,0.004793129953240036,036580
1,동원F&B,2024,Q3,생활소비재,-0.02768518294209326,-0.05674568795778523,0.0,0.0,-0.09523809523809512,0.0,-0.11983510689291532,0.008644421260993278,049770
1,LG생활건강,2024,Q3,생활소비재,0.11555424328540564,-0.05674568795778523,0.0,0.0,-0.09523809523809512,0.0,-0.11983510689291532,-0.0760206560810791,051900
