,name,year,quarter,sector,Relative Return,국제유가 변화율,보유 주식 수 변화율,1인평균급여 변화율,실업률 변화율,기초 소유 주식 수 변화율,금리 변화율,Label,Code
13,하이트진로,2021,Q3,생활소비재,0.08553042000862286,0.06736077481840197,0.0,0.0,-0.1504424778761062,0.0,-0.05306772908366497,0.20334813704858318,000080
13,조선내화,2021,Q3,철강_소재,0.07722297134182479,0.06736077481840197,0.0,0.0,-0.1504424778761062,0.0,-0.05306772908366497,-0.015945313905378677,000480
13,영풍,2021,Q3,철강_소재,0.0676530318612917,0.06736077481840197,0.0,0.0,-0.1504424778761062,0.0,-0.05306772908366497,0.051367048840005515,000670
13,CJ,2021,Q3,생활소비재,0.019682560711275984,0.06736077481840197,0.0,0.0,-0.1504424778761062,0.0,-0.05306772908366497,-0.049183820687011576,001040
13,동국제강,2021,Q3,철강_소재,-0.05809848383616125,0.06736077481840197,0.0,0.0,-0.1504424778761062,0.0,-0.05306772908366497,0.06570784103928433,001230
13,세아베스틸,2021,Q3,철강_소재,-0.21023237478733556,0.06736077481840197,0.0,0.0,-0.1504424778761062,0.0,-0.05306772908366497,-0.04342548840018298,001430
13,대상,2021,Q3,생활소비재,-0.029237376103471387,0.06736077481840197,0.0,0.0,-0.1504424778761062,0.0,-0.05306772908366497,0.017341955966959574,001680
13,오리온,2021,Q3,생활소비재,0.05424610026085463,0.06736077481840197,0.0,0.0,-0.1504424778761062,0.0,-0.05306772908366497,-0.041456974598205895,001800
13,고려제강,2021,Q3,철강_소재,-0.03614379296018116,0.06736077481840197,0.0,0.0,-0.1504424778761062,0.0,-0.05306772908366497,0.024999428476657454,002240
13,아모레G,2021,Q3,생활소비재,-0.08556041872996603,0.06736077481840197,0.0,0.0,-0.1504424778761062,0.0,-0.05306772908366497,-0.00833068060234668,002790
13,세아제강,2021,Q3,철강_소재,0.7001081532030333,0.06736077481840197,0.0,0.0,-0.1504424778761062,0.0,-0.05306772908366497,0.0568436038234696,003030
13,남양유업,2021,Q3,생활소비재,-0.1549867908396843,0.06736077481840197,0.0,0.0,-0.1504424778761062,0.0,-0.05306772908366497,0.0018168583606366084,003920
13,현대제철,2021,Q3,철강_소재,-0.11740833226314312,0.06736077481840197,0.0,0.0,-0.1504424778761062,0.0,-0.05306772908366497,0.042357343369467206,004020
