접수번호,법인구분,회사코드,회사명,구분,주주 수,전체 주주 수,주주 비율,보유 주식 수,전체 주식 수,보유 주식 비율,결제일시,연도,분기
20160602000002,Y,00165413,롯데케미칼,소액주주,"34,231",-,99.98%,"13,932,887",-,40.64%,2015-12-31,2015,Q4
20170331005370,Y,00165413,롯데케미칼,소액주주,"24,908",-,99.65%,"11,883,408",-,34.67%,2016-12-31,2016,Q4
20180402004475,Y,00165413,롯데케미칼,소액주주,"31,947",-,99.98%,"14,953,069",-,43.62%,2017-12-31,2017,Q4
20190726000472,Y,00165413,롯데케미칼,소액주주,"36,459",-,99.98%,"14,598,070",-,42.59%,2018-12-31,2018,Q4
20200331002363,Y,00165413,롯데케미칼,소액주주,"40,025",-,99.99%,"14,399,989",-,42.01%,2019-12-31,2019,Q4
20210315001080,Y,00165413,롯데케미칼,소액주주,"66,413","66,476",99.90%,"11,874,710","34,275,419",34.64%,2020-12-31,2020,Q4
20220316001034,Y,00165413,롯데케미칼,소액주주,"124,798","124,804",99.99%,"13,779,432","34,275,419",40.20%,2021-12-31,2021,Q4
20230321001511,Y,00165413,롯데케미칼,소액주주,"112,762","112,787",99.98%,"14,099,660","34,275,419",41.14%,2022-12-31,2022,Q4
20240401004380,Y,00165413,롯데케미칼,소액주주,"104,581","104,589",99.99%,"16,127,324","42,775,419",37.7%,2023-12-31,2023,Q4
20250317000991,Y,00165413,롯데케미칼,소액주주,"108,117","108,125",99.99%,"16,539,788","42,155,652",39.24%,2024-12-31,2024,Q4
