접수번호,법인구분,회사코드,회사명,구분,주주 수,전체 주주 수,주주 비율,보유 주식 수,전체 주식 수,보유 주식 비율,결제일시,연도,분기
20160516001446,Y,00426086,티케이지휴켐스,소액주주,"12,006",-,99.89%,"14,387,630",-,35.20%,2015-12-31,2015,Q4
20170331004578,Y,00426086,티케이지휴켐스,소액주주,"10,112",-,99.86%,"14,679,239",-,35.91%,2016-12-31,2016,Q4
20180402004142,Y,00426086,티케이지휴켐스,소액주주,"9,441",-,99.84%,"13,478,275",-,32.97%,2017-12-31,2017,Q4
20190401002595,Y,00426086,티케이지휴켐스,소액주주,"10,034",-,99.85%,"15,009,114",-,36.72%,2018-12-31,2018,Q4
20200330001051,Y,00426086,티케이지휴켐스,소액주주,"10,714",-,99.87%,"14,606,873",-,35.73%,2019-12-31,2019,Q4
20210318001017,Y,00426086,티케이지휴켐스,소액주주,"20,729","20,736",99.97%,"14,877,927","40,878,588",36.40%,2020-12-31,2020,Q4
20220317001002,Y,00426086,티케이지휴켐스,소액주주,"52,504","52,510",99.98%,"15,919,447","40,878,588",38.94%,2021-12-31,2021,Q4
20230316001190,Y,00426086,티케이지휴켐스,소액주주,"40,103","40,109",99.9%,"14,013,534","40,878,588",34.3%,2022-12-31,2022,Q4
20240314001436,Y,00426086,티케이지휴켐스,소액주주,"31,265","31,272",99.9%,"14,183,111","40,878,588",34.7%,2023-12-31,2023,Q4
20250313001222,Y,00426086,티케이지휴켐스,소액주주,"29,955","29,960",99.9%,"13,719,021","40,870,588",33.6%,2024-12-31,2024,Q4
