접수번호,법인구분,회사코드,회사명,구분,주주 수,전체 주주 수,주주 비율,보유 주식 수,전체 주식 수,보유 주식 비율,결제일시,연도,분기
20160330003515,Y,00158149,한국쉘석유,소액주주,"5,139",-,99.88%,"451,778",-,34.75%,2015-12-31,2015,Q4
20170331002624,Y,00158149,한국쉘석유,소액주주,"6,233",-,99.91%,"481,635",-,37.04%,2016-12-31,2016,Q4
20180406000885,Y,00158149,한국쉘석유,소액주주,"7,254",-,99.92%,"484,422",-,37.56%,2017-12-31,2017,Q4
20190401001204,Y,00158149,한국쉘석유,소액주주,"7,058",-,99.90%,"478,849",-,36.83%,2018-12-31,2018,Q4
20200403002403,Y,00158149,한국쉘석유,소액주주,"7,195",-,99.92%,"499,143",-,38.38%,2019-12-31,2019,Q4
20210318001135,Y,00158149,한국쉘석유,소액주주,"9,848","9,852",99.96%,"536,553","1,300,000",41.28%,2020-12-31,2020,Q4
20220317000845,Y,00158149,한국쉘석유,소액주주,"10,929","10,932",99.97%,"542,736","1,300,000",41.75%,2021-12-31,2021,Q4
20230323000970,Y,00158149,한국쉘석유,소액주주,"11,153","11,157",99.96%,"546,889","1,300,000",42.06%,2022-12-31,2022,Q4
20240321000514,Y,00158149,한국쉘석유,소액주주,"12,798","12,799",99.99%,"600,000","1,300,000",46.15%,2023-12-31,2023,Q4
20250320000876,Y,00158149,한국쉘석유,소액주주,"12,781","12,782",100%,"600,000","1,300,000",46.16%,2024-12-31,2024,Q4
