,video,text,mix,total
accuracy,0.5330882352941176,0.5316176470588235,0.5392156862745098,0.5188725490196079
precision,0.5678832116788322,0.5636896046852123,0.5857558139534884,0.5156110615521855
recall,0.1946946946946947,0.19269269269269268,0.2017017017017017,0.28928928928928926
f1,0.2899739098024599,0.28720626631853785,0.30007446016381234,0.37063161269637707
