,name,year,quarter,sector,Relative Return,국제유가 변화율,법인세차감전 순이익 변화율,비유동부채 변화율,이익잉여금 변화율,유동부채 변화율,비유동자산 변화율,Label,Code
17,하이트진로,2020,Q3,생활소비재,-0.24613265477294238,0.464159945473134,-0.03460499329030353,0.019741914986538545,0.09873222789059177,-0.1684215139751929,-0.011292835037684745,-0.14532814872049518,000080
17,유한양행,2020,Q3,헬스케어,-0.056977511654584076,0.464159945473134,-0.39023782288026054,0.27126779266716694,0.01197353040624094,-0.19022865290111646,0.060360220546778365,-0.23386316947637756,000100
17,일동제약,2020,Q3,헬스케어,-0.07199364085817223,0.464159945473134,0.775870939059625,-0.00033086373848267847,0.013065887467869297,-0.0034342223774270764,-0.0005763238097494794,0.3699180242814153,000230
17,동아쏘시오홀딩스,2020,Q3,헬스케어,0.14036300650534914,0.464159945473134,-1.8464740176339265,0.0022935980690121927,0.018600461224819398,-0.0005516987741369661,-0.03269294231066311,-0.3998505686067466,000640
17,CJ,2020,Q3,생활소비재,-0.15509078929638534,0.464159945473134,-0.3344038402106567,0.16877726657579273,0.004145719267162118,0.1194935278021283,0.028091312762146492,-0.08034132147644424,001040
17,대상,2020,Q3,생활소비재,-0.0956107688888938,0.464159945473134,0.06821975620823251,0.007438310348415689,0.047116741269914275,-0.16914154372090395,-0.007716380345206386,-0.22717685721862335,001680
17,오리온,2020,Q3,생활소비재,-0.106244623528609,0.464159945473134,1.9524001197350445,0.004958899181755294,0.07492009562557977,-0.03801718118595343,-1.0150307015455162e-05,-0.16134826788168088,001800
17,아모레G,2020,Q3,생활소비재,-0.20948628891499707,0.464159945473134,-0.29887945586487386,-0.018397838409001332,9.776784354009749e-05,-0.005612688184140513,0.0015592182792318887,0.07840385046972537,002790
17,부광약품,2020,Q3,헬스케어,-0.3780558573387964,0.464159945473134,-1.9074063077009447,-0.2034135803091176,-0.011228377208725049,-0.5102012243120686,-0.08372233760650749,-0.18219449129072096,003000
17,영진약품,2020,Q3,헬스케어,0.1597521371336741,0.464159945473134,-1.4388936052187993,0.016133346743887556,-0.017345914922574535,-0.05968522253457653,0.019177025389026214,-0.3949343437705028,003520
17,남양유업,2020,Q3,생활소비재,-0.14968522266609224,0.464159945473134,0.03402841079396679,-0.0045171715909141374,-0.010692903669605625,-0.04453763188130411,-0.05880168194070445,-0.14732050774956285,003920
17,농심,2020,Q3,생활소비재,-0.2445679544314452,0.464159945473134,-0.04142223066588324,-0.0536194603866158,0.010039833237831308,-0.04656591971369817,-0.005163022573595133,-0.28843649475978006,004370
17,빙그레,2020,Q3,생활소비재,-0.11754045855149031,0.464159945473134,-0.32625049630244507,0.05074869379909086,0.5208066782410921,0.1036873621057035,0.020017003719968063,-0.21460109103307198,005180
17,롯데칠성,2020,Q3,생활소비재,-0.13971310350803715,0.464159945473134,1.3088140513874293,0.03911992960028532,0.01673465017683018,-0.033668857651191986,0.0028243540137835588,0.10706371732283673,005300
17,현대그린푸드,2020,Q3,생활소비재,-0.11535265720144208,0.464159945473134,0.18366515657591376,0.11589402486510347,0.013676680334292923,0.6876103157256144,0.05968927470032748,0.14399937771059484,005440
17,삼립식품,2020,Q3,생활소비재,0.02835369520253319,0.464159945473134,-1.3282177942656017,-0.022449221303153744,-0.00148361074636294,0.02538217552498967,0.004776948048068608,-0.1952273252690914,005610
17,크라운제과,2020,Q3,생활소비재,0.007250828637337864,0.464159945473134,0.067048189675871,-0.0006513183949613532,-0.000853722701841364,0.0016221865622529918,-0.0001719707154733685,-0.1356658513429766,005740
17,녹십자,2020,Q3,헬스케어,0.28649081150276556,0.464159945473134,3.1607163567654144,0.010637960149118442,0.08313927461980875,-0.006345955264858705,-0.07764204732679192,-0.3312796150323131,006280
17,GS리테일,2020,Q3,생활소비재,-0.060562225089484875,0.464159945473134,0.24378186977052474,0.05370708849263339,0.030355258045368094,0.1430801012353804,-0.008462947187674263,-0.10572869048274586,007070
17,오뚜기,2020,Q3,생활소비재,-0.10735955595426544,0.464159945473134,0.7878996078404343,0.31974752116063976,0.043840336295208227,-0.15480519743259757,0.10144931722221484,-0.1773516323031457,007310
17,일양약품,2020,Q3,헬스케어,-0.20526474287899468,0.464159945473134,1.6889328108776325,0.016093988916435542,0.3202193163571443,0.06411075769994068,-0.008141587208436274,-0.7222240162038875,007570
