,name,year,quarter,sector,Relative Return,국제유가 변화율,법인세차감전 순이익 변화율,비유동부채 변화율,이익잉여금 변화율,유동부채 변화율,비유동자산 변화율,Label,Code
10,하이트진로,2022,Q2,생활소비재,-0.05541183527418489,0.13207484462760455,0.09420025551049438,-0.10949444394848495,0.10988968351355366,-0.19261584075039462,-0.00486814847886663,-0.08268146388369943,000080
10,유한양행,2022,Q2,헬스케어,0.055315837352818226,0.13207484462760455,-0.7752784303612399,0.01884576191501597,0.010316175491482893,-0.12041528267870116,0.000108760705929134,0.018610835921721084,000100
10,일동제약,2022,Q2,헬스케어,-0.24931722124724742,0.13207484462760455,-0.8379373938132425,0.4812745403808578,-0.010023660334367301,-0.2953504320849938,-0.00027647389530827127,-0.22730846938527113,000230
10,동아쏘시오홀딩스,2022,Q2,헬스케어,0.09800961785699948,0.13207484462760455,-1.3171255924305414,-0.30809078629576414,-0.015220679837598228,0.19817875205334712,0.008352839036259718,-0.04422912612361249,000640
10,CJ,2022,Q2,생활소비재,0.014524224541941813,0.13207484462760455,-0.8581785232192509,0.0068316136831265695,0.006281080295398311,-0.45921487289168916,0.0021656217953611723,-0.028630712774054167,001040
10,대상,2022,Q2,생활소비재,0.00908591641667051,0.13207484462760455,0.06588159702472218,0.06033884571001935,0.031961079673317405,0.006027646968464584,0.05538075129377629,-0.03113067350765521,001680
10,오리온,2022,Q2,생활소비재,0.11705508667435624,0.13207484462760455,-0.7067600880715197,-0.022999462649111346,0.008424818935703682,-0.6976804083716084,-0.000968387875192489,-0.0074771304231540416,001800
10,아모레G,2022,Q2,생활소비재,-0.1529368295026173,0.13207484462760455,-0.9205995623793068,0.026931841443550653,-0.0008303513930537632,-0.6334263301096036,0.004279962555753691,-0.1733895665421122,002790
10,부광약품,2022,Q2,헬스케어,-0.04615921172427973,0.13207484462760455,-8.72154141158692,-0.002875660638698485,0.005281148484232556,-0.15573070027536373,-0.009640781652547448,-0.12129372322350558,003000
10,영진약품,2022,Q2,헬스케어,-0.16226462242994275,0.13207484462760455,0.12937979025056334,0.2623020371109541,-1.0157041138233083,-0.14234791837120486,-0.01709989602456452,-0.19216797519823928,003520
10,남양유업,2022,Q2,생활소비재,0.01619361040473865,0.13207484462760455,-0.22897056375420288,-0.0011934618686342269,-0.013577851608926994,-0.0873444715650109,-0.00872844726875921,0.014653148954756496,003920
10,농심,2022,Q2,생활소비재,0.018852195521839837,0.13207484462760455,-0.7869008599527323,0.04821851607253591,0.002913364690631637,0.05097786032217666,0.00616677624591766,0.055899257977107306,004370
10,빙그레,2022,Q2,생활소비재,-0.056387606328970115,0.13207484462760455,2.6607116005899853,0.054633435406981734,2.8791704033515595,-0.07373993725140304,-0.009425828886711396,-0.1316149739804934,005180
10,롯데칠성,2022,Q2,생활소비재,-0.09264071438839692,0.13207484462760455,-0.06250315202253431,0.1349866741941097,0.02603014792888425,-0.09516544938811433,0.003930623710673986,-0.08574179890984965,005300
10,현대그린푸드,2022,Q2,생활소비재,-0.033150363955609836,0.13207484462760455,-0.3001885018300591,-0.08976694926055151,0.017017974307176553,0.35245353894095377,-0.010132513929525966,-0.11202923652357855,005440
10,삼립식품,2022,Q2,생활소비재,0.08237324862937995,0.13207484462760455,0.6932075964748527,-0.05382006031875408,0.041352562883605115,-0.011644997973584426,-0.01066706627582703,-0.15498852896185183,005610
10,크라운제과,2022,Q2,생활소비재,-0.17739734218451125,0.13207484462760455,-1.088080849810039,0.030530728751698488,-0.001920526801375666,-0.11214950381934008,-0.000561574948965804,-0.13351116239778008,005740
10,녹십자,2022,Q2,헬스케어,-0.004640842324293175,0.13207484462760455,2.016274410578361,0.0007799413689522083,0.021747135252938365,0.003184955600087358,-0.0032969629035789483,-0.21901211677481514,006280
10,GS리테일,2022,Q2,생활소비재,0.03112638205578504,0.13207484462760455,0.5643348581914494,0.12765147657258913,0.02539248880909728,-0.05773230025058229,0.01021545907737309,0.1348010876662948,007070
10,오뚜기,2022,Q2,생활소비재,0.08099068262893837,0.13207484462760455,-0.5193850595087538,-0.0525477586276768,0.02355430173066453,0.06421474092529955,0.04836815175794418,-0.01628628201500495,007310
10,일양약품,2022,Q2,헬스케어,0.06814209831938839,0.13207484462760455,-0.5761603746359265,-0.028667536251779646,0.1039181637468618,0.0008213142442439203,-0.00873116799308149,-0.19433139479695985,007570
10,서흥,2022,Q2,헬스케어,0.06490181462800876,0.13207484462760455,-0.3305198754978691,0.2556902928061533,0.025130901065968603,-0.277919571811181,0.06319800106779838,0.007213375163110887,008490
10,광동제약,2022,Q2,헬스케어,0.04427132528247556,0.13207484462760455,0.0007602595664393252,0.023887166460882847,0.011638069626423775,0.18926040584787684,0.04161374958702124,-0.07497466965076101,009290
