,name,sector,year,quarter,Relative Return,영업이익변화율,자본총계변화율,비유동자산변화율,매출액변화율,비유동부채변화율,Label,Code
12,CJ_Logistics,Trading_&_Logistics,2021,Q3,-0.08253632441499362,-0.25490321498809165,-0.010103910820872253,0.03818183816579801,-0.05141722741837773,0.05894582120977443,-0.04969540479947375,000120
12,Hankook_Tire_Worldwide,Automotive_&_Parts,2021,Q3,0.03583595600402332,-0.018463786548466254,-0.0063421630272382234,0.007497527513126601,-0.004320848521885079,-0.03697285723286203,-0.1327754031337094,000240
13,Kia_Corp,Automotive_&_Parts,2021,Q3,0.01937099681460592,0.5870921424398033,-0.006051265195789135,-0.00542031561485512,0.10157667849251051,-0.02419915513577764,-0.0048076715825511734,000270
12,Hyundai_E&C,Construction_&_Real_Estate,2021,Q3,0.26661007939596815,-4.391591182784439,-0.025269856708739047,0.000436338650939061,-0.012737583524205398,-0.0017765219807404087,-0.017194248395717898,000720
12,SK_Networks,Consumer_Services,2021,Q3,0.01497654841119895,0.9926448663154755,-0.0027193420074183017,0.025147292069251925,-0.15184690408697454,0.06035649473511573,-0.05553313287979188,001740
12,Nexen_Tire,Automotive_&_Parts,2021,Q3,0.3460175484299119,3.921294513114895,0.004315612589757434,0.0011451644619034917,-0.043447673323031344,-0.009978238154288555,-0.17760929346523002,002350
12,Korean_Air,Automotive_&_Parts,2021,Q3,0.1056888971804939,-1.2274086087857614,0.007760783174828201,0.01445696632066984,-0.14158085625182038,0.05556790196250727,0.14564624321246528,003490
12,SsangYong_Motor,Automotive_&_Parts,2021,Q3,0.0,0.3396259155620748,0.029577367591348214,0.020043528861781956,-0.01629161946245339,-0.004543396608551964,0.0,003620
12,SEBANG_Global_Battery,Automotive_&_Parts,2021,Q3,0.18326945169529346,0.3799464371313851,-0.013809007542230356,-0.020613914889676233,0.039324029374169234,0.017708649042048608,-0.033936895204292356,004490
12,Hyundai_Motor,Automotive_&_Parts,2021,Q3,0.033768462339890996,1.7529748425083378,0.005098661725606357,-0.00448511118368744,0.15080167235262065,0.013870111142487374,-0.07552776098040685,005380
12,Dong-A_Tire,Automotive_&_Parts,2021,Q3,0.2886411243141219,0.6008284379239308,-0.7184521675117588,-0.4995485257144807,0.0899249881769475,0.17305126990085573,0.20426077938630563,007340
12,Seoyon,Automotive_&_Parts,2021,Q3,-0.240182143543488,-0.09150872709266089,-0.0015511795214941948,0.0013309039021529578,0.14841397190757877,-0.07332799459646289,-0.24928223986215275,007860
12,Seohung,Automotive_&_Parts,2021,Q3,0.02557337143803317,0.49538051454374443,-0.020948409612433494,-0.05277548967700807,0.04822279939894791,-6.599799564093941,0.024303612640958573,008490
12,Hotel_Shilla,Consumer_Services,2021,Q3,0.05617209045780482,0.5898003243405328,-0.007099986436121641,0.015240969046193986,-0.02031112095617793,0.026297728887336613,-0.025897056255362497,008770
12,Motonic,Automotive_&_Parts,2021,Q3,-0.11009164580593145,0.44436945328207056,-0.00816856155020762,0.009808574377639045,0.12881984741936547,-0.035752392670122646,-0.02065956150967102,009680
12,Hwashin,Automotive_&_Parts,2021,Q3,0.996530325494939,-3.715954569498905,-0.05128650452043271,-0.03917146152349571,0.10618076155929046,0.006729522619451922,-0.056390741674421055,010690
12,Hyundai_Merchant_Marine,Transportation,2021,Q3,0.49337530977370025,-0.6430260647335981,-0.5060302464849251,-0.1255362787472425,-0.3850897233219446,0.005476323639075353,-0.1481930935513998,011200
13,Hyundai_Mobis,Automotive_&_Parts,2021,Q3,-0.06256882963904747,0.31191295847677336,-0.0011010219445446445,-0.018455104524653043,0.0360861012580429,-0.2794211805842328,-0.043189964150680035,012330
12,Hyundai_Development_Company,Construction_&_Real_Estate,2021,Q3,0.09871177299748737,-0.958627494164509,-0.004721235113633426,-0.016576407025364226,0.13012336345166864,-1.2572151984803264,-0.06794833830664455,012630
12,Hanon_Systems,Automotive_&_Parts,2021,Q3,-0.12781833252703156,0.06130502475434263,0.047004853625410736,-0.002077590498401838,0.09061917428719968,-0.21470981442457804,0.0286688998768587,018880
12,Daekyo,Consumer_Services,2021,Q3,0.16790054654612252,0.6230177302462687,0.005641150128493866,-0.0072943851566793505,0.008193482865844093,-0.06488339063168636,-0.08139897084990468,019680
12,Hansum,Automotive_&_Parts,2021,Q3,0.005482435285391031,-0.4858511263240368,-0.03258143440700678,-0.017556301434228594,0.050106496542637546,0.03861223033320682,0.01113146039932239,020000
13,Samsung_C&T,Construction_&_Real_Estate,2021,Q3,0.03960066188637625,2.2364938679279147,0.03907196358474063,0.05279804525457088,0.015951185271085966,0.09311215479526302,-0.006013949166373059,028260
