,name,year,quarter,sector,Relative Return,자본금 변화율,금리 변화율,실업률 변화율,국제유가 변화율,소비자물가지수 변화율,Label,Code
34,경방,2016,Q2,경기소비재,-0.03362986153695546,0.008469300826789983,-0.08606485539000996,-0.044642857142857095,0.3509743792660007,-0.027027232119385514,0.05179556550348005,000050
34,한국타이어월드와이드,2016,Q2,경기소비재,-0.19615148859336112,0.00846514359232553,-0.08606485539000996,-0.044642857142857095,0.3509743792660007,-0.027027232119385514,0.07960487395138752,000240
34,기아차,2016,Q2,경기소비재,-0.1652028683202031,0.004178356719855003,-0.08606485539000996,-0.044642857142857095,0.3509743792660007,-0.027027232119385514,-0.08762965356279914,000270
34,조선내화,2016,Q2,철강_소재,-0.08654563593707543,0.008471175022480626,-0.08606485539000996,-0.044642857142857095,0.3509743792660007,-0.027027232119385514,0.05567980570589828,000480
34,영풍,2016,Q2,철강_소재,0.06880518513613608,0.008465576106987172,-0.08606485539000996,-0.044642857142857095,0.3509743792660007,-0.027027232119385514,-0.025629221514891963,000670
34,동국제강,2016,Q2,철강_소재,-0.005391806288754623,0.00018940929399735573,-0.08606485539000996,-0.044642857142857095,0.3509743792660007,-0.027027232119385514,-0.011003397168905325,001230
34,세아베스틸,2016,Q2,철강_소재,0.0023905876431774414,0.008461716139875675,-0.08606485539000996,-0.044642857142857095,0.3509743792660007,-0.027027232119385514,-0.055046075965483075,001430
34,SK네트웍스,2016,Q2,경기소비재,-0.03633542185878209,0.0,-0.08606485539000996,-0.044642857142857095,0.3509743792660007,-0.027027232119385514,0.10632868286939529,001740
34,고려제강,2016,Q2,철강_소재,-0.14269111829559356,0.008469222480148808,-0.08606485539000996,-0.044642857142857095,0.3509743792660007,-0.027027232119385514,0.10708222189381547,002240
34,넥센타이어,2016,Q2,경기소비재,-0.07092765019682944,0.008472641912565138,-0.08606485539000996,-0.044642857142857095,0.3509743792660007,-0.027027232119385514,0.0014462235565562281,002350
34,세아제강,2016,Q2,철강_소재,-0.1667984971551173,0.008469152756188203,-0.08606485539000996,-0.044642857142857095,0.3509743792660007,-0.027027232119385514,0.2198907026207437,003030
34,일신방직,2016,Q2,경기소비재,-0.17687116393707397,0.0,-0.08606485539000996,-0.044642857142857095,0.3509743792660007,-0.027027232119385514,0.12247796958830226,003200
34,쌍용차,2016,Q2,경기소비재,-0.09437374569527021,0.008494343368256496,-0.08606485539000996,-0.044642857142857095,0.3509743792660007,-0.027027232119385514,0.03183520841879381,003620
34,현대제철,2016,Q2,철강_소재,-0.11226360628855261,0.003061814593926959,-0.08606485539000996,-0.044642857142857095,0.3509743792660007,-0.027027232119385514,0.0024716832453822515,004020
34,한솔홀딩스,2016,Q2,경기소비재,-0.1427248246727712,0.008471875797686934,-0.08606485539000996,-0.044642857142857095,0.3509743792660007,-0.027027232119385514,-0.10595135441227563,004150
34,신세계,2016,Q2,경기소비재,-0.19409109127495283,0.0085032147888775,-0.08606485539000996,-0.044642857142857095,0.3509743792660007,-0.027027232119385514,0.027715898034637036,004170
34,세방전지,2016,Q2,경기소비재,-0.14113277323642356,0.008474133682824458,-0.08606485539000996,-0.044642857142857095,0.3509743792660007,-0.027027232119385514,-0.006007403880872824,004490
34,조광피혁,2016,Q2,경기소비재,0.22462035887204101,0.0,-0.08606485539000996,-0.044642857142857095,0.3509743792660007,-0.027027232119385514,-0.1192573210191688,004700
34,삼광글라스,2016,Q2,철강_소재,-0.1894427391157933,0.0,-0.08606485539000996,-0.044642857142857095,0.3509743792660007,-0.027027232119385514,-0.22475170242234596,005090
34,현대차,2016,Q2,경기소비재,-0.07099353155767482,0.027094903734451004,-0.08606485539000996,-0.044642857142857095,0.3509743792660007,-0.027027232119385514,-0.013784868880418563,005380
34,POSCO,2016,Q2,철강_소재,0.034913861132760265,0.00831870862305184,-0.08606485539000996,-0.044642857142857095,0.3509743792660007,-0.027027232119385514,0.13813744713118786,005490
34,에스엘,2016,Q2,경기소비재,-0.08397489055776919,0.008473950999350777,-0.08606485539000996,-0.044642857142857095,0.3509743792660007,-0.027027232119385514,0.039512190933739505,005850
34,동아타이어,2016,Q2,경기소비재,-0.11504316027811913,0.0,-0.08606485539000996,-0.044642857142857095,0.3509743792660007,-0.027027232119385514,-0.0994539219401365,007340
34,서연,2016,Q2,경기소비재,-0.13455741865097368,0.008471232088010039,-0.08606485539000996,-0.044642857142857095,0.3509743792660007,-0.027027232119385514,-0.034268062157729484,007860
34,호텔신라,2016,Q2,경기소비재,-0.1644319771700335,0.0,-0.08606485539000996,-0.044642857142857095,0.3509743792660007,-0.027027232119385514,-0.1358966335863009,008770
34,한샘,2016,Q2,경기소비재,-0.1103412805828432,0.008472235273388806,-0.08606485539000996,-0.044642857142857095,0.3509743792660007,-0.027027232119385514,0.06692241403274671,009240
34,무림P&P,2016,Q2,철강_소재,-0.049888667429554875,0.0,-0.08606485539000996,-0.044642857142857095,0.3509743792660007,-0.027027232119385514,-0.053589572082884056,009580
34,모토닉,2016,Q2,경기소비재,-0.0662575665212806,0.00847108220651105,-0.08606485539000996,-0.044642857142857095,0.3509743792660007,-0.027027232119385514,0.015020711167446407,009680
34,고려아연,2016,Q2,철강_소재,-0.003854981588739842,0.00847758885140304,-0.08606485539000996,-0.044642857142857095,0.3509743792660007,-0.027027232119385514,-0.021792523997259818,010130
34,화신,2016,Q2,경기소비재,0.19175891665319145,0.008472524364196987,-0.08606485539000996,-0.044642857142857095,0.3509743792660007,-0.027027232119385514,-0.15055245051399357,010690
