,name,year,quarter,sector,Relative Return,비유동자산 변화율,유동자산 변화율,이익잉여금 변화율,비유동부채 변화율,법인세차감전 순이익 변화율,금리 변화율,Label,Code
22,CJ대한통운,2019,Q2,산업재,-0.00792598073606629,0.00860717587598181,0.12920312928607802,0.012994166420410957,-0.04718831995253214,-1.3035539452491922,-0.10064059339177356,0.013238908120392273,000120
22,두산,2019,Q2,산업재,-0.006592791977423865,0.04994652471968197,-0.02312048707961556,0.0029833352975170424,0.06544280133980429,0.6160751755546987,-0.10064059339177356,-0.1135768162663077,000150
22,LG상사,2019,Q2,산업재,-0.05394123799949756,-0.006806549732941147,0.09573899659720886,0.09321860689664674,-0.13405468692525202,2.8109742634246677,-0.10064059339177356,-0.14225060387512825,001120
22,대한항공,2019,Q2,산업재,-0.2534840681909607,9.880591987787568e-05,-0.036028477191877406,-0.8745599173262337,0.010867230515806403,10.977356261844195,-0.10064059339177356,0.025140861976313933,003490
22,S&T중공업,2019,Q2,산업재,-0.12988144895052395,0.02579387503769137,0.017687671807372185,0.006636261233698537,0.009243796633550128,0.3300159649559917,-0.10064059339177356,-0.12905589489096198,003570
22,LS,2019,Q2,산업재,-0.023392594361714578,0.011511617606812186,0.9964959453081423,-0.0004577118272092173,5.997296494355318,-1.0083647543360983,-0.10064059339177356,0.06602178898043175,006260
22,LS산전,2019,Q2,산업재,0.017106090577377338,-0.006766926379574656,0.014570929865522997,0.019495686728327355,-0.22496529981052615,-0.13323868888205614,-0.10064059339177356,0.030747183579599116,010120
22,현대상선,2019,Q2,산업재,-0.0499526210732302,0.08343471028312255,-0.11257685559411901,0.08667008940705623,0.04635729810770095,0.16259511637933444,-0.10064059339177356,-0.04180474946374182,011200
22,한국단자,2019,Q2,산업재,0.1215726834160632,0.03360903666423387,-0.07244968006792651,0.0017613397322313595,0.026980878113850304,-0.8576738220241287,-0.10064059339177356,-0.3661595562443917,025540
22,대우인터내셔널,2019,Q2,산업재,0.06384430868480663,0.0036463737290093334,-0.06621267187636504,0.06470031554280586,0.0016988051897266487,0.16978657177185763,-0.10064059339177356,-0.0314484796623951,047050
22,한국항공우주,2019,Q2,산업재,0.3056376231813287,0.06798099184029316,-0.11426120995458466,0.20276677588719316,-0.12606998063901198,2.300558673227198,-0.10064059339177356,-0.11891766769815537,047810
22,한전KPS,2019,Q2,산업재,-0.03296196451065521,-0.05160108254537732,-0.03182018967177136,0.032164368968176094,0.5811233320013653,1.676924259102484,-0.10064059339177356,-0.03653392241118429,051600
22,현대글로비스,2019,Q2,산업재,0.06795842970710879,0.01035894182630015,-0.0020559639903856564,0.02284774589106897,0.0034681097646802606,-0.22015672968586553,-0.10064059339177356,-0.11566459207068017,086280
