,name,year,quarter,sector,Relative Return,자산총계 변화율,비유동자산 변화율,Relative Return,자본총계 변화율,비유동부채 변화율,영업이익 변화율,Label,Code
19,CJ대한통운,2020,Q1,산업재,0.025137678403095942,0.032028375788886176,0.011582653188511705,0.025137678403095942,0.003107517116688996,-0.0022332347108954265,-0.18897907595675878,-0.20805324300341949,000120
19,두산,2020,Q1,산업재,-0.0619823979223777,0.045186653488663575,0.007964542966585553,-0.0619823979223777,-0.00067448751846233,0.2209012925595808,0.24103008673221038,-0.0912061080882638,000150
19,LG상사,2020,Q1,산업재,0.4870411980598478,0.1291536446782835,-0.01812853130547676,0.4870411980598478,0.19337362805709923,-0.13878819716181412,-1.0245016662455115,-0.040930749715722164,001120
19,대한항공,2020,Q1,산업재,-0.06711625460812101,-0.007390397605075538,-0.020635772963722765,-0.06711625460812101,-0.25874860818285805,0.03089223890475168,-1.4652670215172108,-0.006374697562021692,003490
19,S&T중공업,2020,Q1,산업재,-0.025693149455158534,-0.01953769345161116,0.03254657743619083,-0.025693149455158534,-0.012151772734218746,0.005230206189875464,-0.5047376111859138,-0.32487189387740756,003570
19,LS,2020,Q1,산업재,0.08320297003764945,0.010703243002982976,-0.012948388014689671,0.08320297003764945,-0.003004986306272661,0.0020146080515739406,-1.3247043783956536,-0.019981619898667646,006260
19,LS산전,2020,Q1,산업재,0.10776428213565153,0.023107160978835806,0.017720138530211704,0.10776428213565153,-0.005975035053892741,0.01911811388561624,-0.07219499985185562,0.19135469755845652,010120
19,현대상선,2020,Q1,산업재,0.32902914131778693,-0.01573264467018043,0.04798741021853048,0.32902914131778693,-0.034806370638689965,-0.030824004186026932,-0.8261804799668273,0.5189624782432478,011200
19,한국단자,2020,Q1,산업재,0.19886250430183489,0.01708121869543322,-0.005734829983197298,0.19886250430183489,0.008985437391902273,0.039887393858172304,0.5425743933553284,0.44472922095051354,025540
19,대우인터내셔널,2020,Q1,산업재,0.20168576799466376,0.06462716249614808,-0.006135903294681722,0.20168576799466376,0.008644855498662007,-0.0791663054844911,0.5163410387699447,-0.20957517109628587,047050
19,한국항공우주,2020,Q1,산업재,0.038400743840074414,0.09369245657681313,-0.004016130560730025,0.038400743840074414,0.03329597887902569,-0.05372809144716151,-0.14842302904185056,-0.20230653622420403,047810
19,한전KPS,2020,Q1,산업재,-0.018563262419706503,0.006985332672297284,0.04267672478840656,-0.018563262419706503,-0.0481396033041529,-0.13763383150054898,-0.6307581161784259,-0.2758570856223525,051600
19,현대글로비스,2020,Q1,산업재,0.05401192526478418,0.09345173445438348,-0.017481630773585,0.05401192526478418,-0.008075675085746248,0.2601453106323419,-0.16078195455300281,-0.042376978566364826,086280
