,name,year,quarter,sector,Relative Return,비유동자산 변화율,자산총계 변화율,매출액 변화율,금리 변화율,자본총계 변화율,유동부채 변화율,Label,Code
10,CJ대한통운,2022,Q2,산업재,0.02343612097174363,-0.010194508024086169,0.005050970100246133,0.09859737334604102,0.2746673361787626,-0.011571595836462945,0.06468933825408518,-0.2919578137856079,000120
10,두산,2022,Q2,산업재,0.06110258333314108,0.014187148863769483,0.025794871894208926,0.05648965206093037,0.2746673361787626,0.009279818119856342,-0.11888327390865072,0.12457118079094609,000150
10,LG상사,2022,Q2,산업재,-0.020619585210161863,0.03478598835723301,0.013214624154462618,-0.03287698299501984,0.2746673361787626,0.10977707349994037,-0.09993544200776205,0.17330242061976894,001120
10,대한항공,2022,Q2,산업재,-0.05682996607649239,0.03369747966968473,0.05105752443380873,0.18793260089765695,0.2746673361787626,0.057391931069744384,0.12320969905638557,-0.0026048099319513143,003490
10,S&T중공업,2022,Q2,산업재,0.07463939620829756,0.0028872896911866786,-0.028221160802129996,0.09885845369624091,0.2746673361787626,-0.00012367586757566773,-0.22937058959552525,-0.011735503194118632,003570
10,LS,2022,Q2,산업재,0.10199314310659517,-0.0005128679171578776,0.008456268964329272,0.05648951498965693,0.2746673361787626,0.019615248488342063,-0.13848019270206047,0.1240645951779775,006260
10,LS산전,2022,Q2,산업재,0.2320632259623455,0.10892819060491021,0.001631353794277146,0.3006432477380907,0.2746673361787626,0.008061331408740102,0.23326148731063068,-0.06192980258112614,010120
10,현대상선,2022,Q2,산업재,-0.15884063555464187,0.11699318295947814,0.17747747320834106,0.02034386319543713,0.2746673361787626,0.2908778962966123,-0.09525422807787864,-0.13513238680086195,011200
10,한국단자,2022,Q2,산업재,-0.08217714884401714,0.020262189681091725,0.005215052223566108,0.04172500625233844,0.2746673361787626,-0.005280014212886708,0.042203454606946966,0.015174622806776462,025540
10,대우인터내셔널,2022,Q2,산업재,0.07333231369944908,0.01177746506315236,0.09672957847802377,0.15879546554917012,0.2746673361787626,0.036726141546550295,0.19528925417302156,-0.034828530860939094,047050
10,한국항공우주,2022,Q2,산업재,0.20520050444633672,0.05932074790913355,0.041134187059588934,0.04424746568809379,0.2746673361787626,0.03956958691610146,0.12173259444373086,-0.11021093321519795,047810
10,한전KPS,2022,Q2,산업재,0.17835880642878021,0.02321471340167247,-0.006416243115084486,0.27394360740195145,0.2746673361787626,0.03470026822461714,-0.11175543910788721,-0.15331635720297487,051600
10,현대글로비스,2022,Q2,산업재,-0.04074932541132024,0.005940707201569806,0.02984328156188587,0.08569675312723057,0.2746673361787626,0.06591457241719234,-0.02209859840828876,-0.033670246105912585,086280
