,name,year,quarter,sector,Relative Return,자산총계 변화율,비유동자산 변화율,자본총계 변화율,매출액 변화율,금리 변화율,Label,Code
23,CJ대한통운,2019,Q1,산업재,-0.057470813195633685,0.12037155633401375,0.15171321641475122,0.12534814941053085,-0.07106429404663805,-0.09282764948769218,-0.00792598073606629,000120
23,두산,2019,Q1,산업재,0.13127068222442065,0.039505369529618584,0.007640216997817362,-0.005296317867071965,-0.09858917918567611,-0.09282764948769218,-0.006592791977423865,000150
23,LG상사,2019,Q1,산업재,0.181306290981106,0.08537957807360019,0.019185810007892545,0.08366647538485283,0.0775909793658347,-0.09282764948769218,-0.05394123799949756,001120
23,대한항공,2019,Q1,산업재,0.07134702827584788,0.06375253267602843,0.06987330983599005,0.027038664776233956,-0.048731725471528264,-0.09282764948769218,-0.2534840681909607,003490
23,S&T중공업,2019,Q1,산업재,0.09586689637157052,-0.016903321321898868,-0.0036900429100323873,-0.004314485738651008,-0.334253571987988,-0.09282764948769218,-0.12988144895052395,003570
23,LS,2019,Q1,산업재,-0.1222036117494694,0.04028634749322868,0.007091943615963547,0.023244321684635638,-0.09870733344306548,-0.09282764948769218,-0.023392594361714578,006260
23,LS산전,2019,Q1,산업재,-0.01623538930656971,-0.007866010173783411,0.018980361576105942,-0.006495342579511787,-0.2106828808761444,-0.09282764948769218,0.017106090577377338,010120
23,현대상선,2019,Q1,산업재,0.025780716531796696,0.511046963044123,0.8983384135748713,-0.16672283264260135,-0.0897770715387658,-0.09282764948769218,-0.0499526210732302,011200
23,한국단자,2019,Q1,산업재,-0.0544419065567798,0.06165123910500636,0.011733064301259866,0.011980844059595652,-0.13532674603197625,-0.09282764948769218,0.1215726834160632,025540
23,대우인터내셔널,2019,Q1,산업재,0.004617301078611118,0.019926245489850114,0.039338943312192454,0.00046890301642488197,0.004840697528503135,-0.09282764948769218,0.06384430868480663,047050
23,한국항공우주,2019,Q1,산업재,-0.09533826011996684,0.17153776648542673,0.019361569821208846,0.02409427231586636,-0.27220893559669157,-0.09282764948769218,0.3056376231813287,047810
23,한전KPS,2019,Q1,산업재,0.015199673169765011,0.02837534883825943,-0.049303579280574716,-0.06896006721074555,-0.3711579353571305,-0.09282764948769218,-0.03296196451065521,051600
23,현대글로비스,2019,Q1,산업재,0.22141385748532166,0.07070443033776352,0.08450707870375962,-0.0007136902344508922,-0.05525810918984608,-0.09282764948769218,0.06795842970710879,086280
