,name,year,quarter,sector,Relative Return,비유동자산 변화율,유동자산 변화율,이익잉여금 변화율,비유동부채 변화율,법인세차감전 순이익 변화율,금리 변화율,Label,Code
17,CJ대한통운,2020,Q3,산업재,0.006497951974267023,0.012402360723750894,0.03855333193912536,0.038958214182631457,-0.02091729223725236,-0.06447120442528054,-0.01328671328671327,-0.1734431797319626,000120
17,두산,2020,Q3,산업재,0.05912799469855127,-0.13354666956976202,0.5457366516505857,0.06081238992559723,-0.20765384512709362,1.5311096020742974,-0.01328671328671327,-0.2441647329936938,000150
17,LG상사,2020,Q3,산업재,0.09286712153574087,0.002108457330733504,-0.130186597629955,0.021173076396086232,-0.05917176719860595,6.699034445639279,-0.01328671328671327,0.3772827007467857,001120
17,대한항공,2020,Q3,산업재,0.17104100964740387,-0.02018509542097202,0.12980479677936985,0.6326379525147829,-0.0231142558960038,-2.3109689053365594,-0.01328671328671327,0.31306399574872723,003490
17,S&T중공업,2020,Q3,산업재,0.03300732817132775,-0.0014608274774896568,0.033686675647992326,-0.007038726064381051,0.0038108552355724523,-1.0593523026920735,-0.01328671328671327,-0.033244466235610226,003570
17,LS,2020,Q3,산업재,0.29306525221584595,0.01718248628506358,0.0017877533131105405,0.00658746235088814,0.001392394047515344,-0.44727938321592986,-0.01328671328671327,-0.08982644558891265,006260
17,LS산전,2020,Q3,산업재,-0.055181088573991115,0.00016153785932693232,-0.006224280808212468,0.013866947697862786,-0.0804542356673934,0.16975414011006573,-0.01328671328671327,-0.16087907716786004,010120
17,현대상선,2020,Q3,산업재,1.129374017818932,0.08468473157248257,0.3771999242769848,-0.00016656053991437325,0.14448129806504162,-0.08280054501624567,-0.01328671328671327,0.29751064382928005,011200
17,한국단자,2020,Q3,산업재,-0.08292173028522107,0.0020307902112339793,0.11967610087701619,0.017481142876805578,-0.005220682581787317,3.6952268276144924,-0.01328671328671327,0.22373610366440966,025540
17,대우인터내셔널,2020,Q3,산업재,-0.06968509230355535,-0.005521771466656777,-0.0475954608271103,0.03387815916192349,-0.051483393582663295,-0.28670830739119113,-0.01328671328671327,0.28923200291135587,047050
17,한국항공우주,2020,Q3,산업재,-0.08757324543673621,0.03811367169497326,-0.15374752195807007,0.024924553933377558,-0.09950007090044055,-0.7024065181127654,-0.01328671328671327,0.2665721644326363,047810
17,한전KPS,2020,Q3,산업재,-0.08752129738478817,0.038843259973241784,0.025523426554628026,-0.0179938584038829,1.6147723436333323,-0.937711544085766,-0.01328671328671327,-0.25791104063817966,051600
17,현대글로비스,2020,Q3,산업재,0.5231407766437507,0.0005153298032249953,0.20074392275107433,0.02806164200671546,-0.030755398610382123,0.09748029132877778,-0.01328671328671327,-0.23305742144876557,086280
