,name,year,quarter,sector,Relative Return,부채총계 변화율,자본총계 변화율,법인세차감전 순이익 변화율,금리 변화율,Label,Code
21,CJ대한통운,2019,Q3,산업재,0.013238908120392273,-0.0030307244811095257,-0.005784524366220345,0.06185372720825999,-0.21649484536082508,-0.012301943884613586,000120
21,두산,2019,Q3,산업재,-0.1135768162663077,0.32268365880658156,-0.378271472160737,-0.9090418737892,-0.21649484536082508,-0.2979587451550505,000150
21,LG상사,2019,Q3,산업재,-0.14225060387512825,-0.11487977938299831,0.019040078484291456,-1.0487497745221304,-0.21649484536082508,-0.2911200836905169,001120
21,대한항공,2019,Q3,산업재,0.025140861976313933,0.01123942160977065,-0.0207320966954031,-0.3622159676179143,-0.21649484536082508,-0.1087596196296142,003490
21,S&T중공업,2019,Q3,산업재,-0.12905589489096198,-0.06866413995196474,0.011092061711404755,0.813590097965684,-0.21649484536082508,0.037368526319802337,003570
21,LS,2019,Q3,산업재,0.06602178898043175,-0.12128513196888813,0.0014683960265031715,-7.346740638002774,-0.21649484536082508,-0.2392233589271565,006260
21,LS산전,2019,Q3,산업재,0.030747183579599116,-0.022620106051046807,0.02696221784729147,0.43382689097976956,-0.21649484536082508,-0.18167880305954145,010120
21,현대상선,2019,Q3,산업재,-0.04180474946374182,0.040663005362150395,-0.1167971047376507,-0.42984357240555593,-0.21649484536082508,-0.03853545725645083,011200
21,한국단자,2019,Q3,산업재,-0.3661595562443917,-0.10597006374926221,-0.0026960039816248393,2.141461606618415,-0.21649484536082508,-0.28201623370976314,025540
21,대우인터내셔널,2019,Q3,산업재,-0.0314484796623951,-0.032972679355273815,0.005332265794047331,-0.8860362486257235,-0.21649484536082508,-0.2579080727714995,047050
21,한국항공우주,2019,Q3,산업재,-0.11891766769815537,0.10078021468856835,0.03285181226373024,-0.6147425340257879,-0.21649484536082508,-0.27274543248236127,047810
21,한전KPS,2019,Q3,산업재,-0.03653392241118429,0.06940960366925641,0.04401518764416701,-0.017659416245913828,-0.21649484536082508,0.08113376551161337,051600
21,현대글로비스,2019,Q3,산업재,-0.11566459207068017,0.09813533846694411,0.0022336223919243725,-0.5619451682573946,-0.21649484536082508,-0.24324388512739695,086280
